Gi,GVhel,mag,Type,Type II Label
46.0,6789.0,16.0,II,Type II
90.0,3614.0,17.2,II,Type II
57.0,4418.0,17.7,IIn,Type II
57.0,2472.0,16.4,II,Type II
57.0,2472.0,16.4,II,Type II
24.0,10218.0,18.5,II,Type II
50.0,6703.0,17.5,II,Type II
30.0,2407.0,18.4,II,Type II
32.0,6962.0,15.7,IIn,Type II
62.0,5802.0,17.8,II,Type II
30.0,4963.0,17.2,IIn,Type II
66.0,5396.0,15.0,IIPec:,Type II
73.0,6939.0,18.8,II,Type II
51.0,4337.0,16.8,II,Type II
73.0,4941.0,16.9,II,Type II
73.0,4629.0,17.0,II,Type II
24.0,10423.0,18.4,II,Type II
38.0,5179.0,16.8,II,Type II
72.0,5189.0,17.7,II,Type II
56.0,5124.0,15.6,IIP,Type II
36.0,13491.0,18.4,II,Type II
70.0,4244.0,18.0,II,Type II
44.0,518.0,12.3,IIPec,Type II
84.0,8018.0,18.1,II,Type II
40.0,6132.0,17.8,II,Type II
30.0,5118.0,17.1,II:,Type II
57.0,10203.0,18.5,II,Type II
65.0,5429.0,16.2,II,Type II
32.0,14810.0,18.1,II,Type II
79.0,5231.0,17.7,II,Type II
38.0,6115.0,17.1,II:,Type II
34.0,4699.0,18.2,II,Type II
44.0,4939.0,17.7,II,Type II
69.0,3978.0,17.1,II,Type II
34.0,3900.0,17.5,II,Type II
41.0,6663.0,17.8,II,Type II
61.0,3582.0,17.3,II,Type II
47.0,6017.0,18.5,II,Type II
27.0,8368.0,17.8,II,Type II
48.0,3730.0,15.3,II,Type II
59.0,10079.0,16.9,II,Type II
44.0,8520.0,17.7,II,Type II
38.0,4099.0,16.2,II:,Type II
65.0,3582.0,18.0,II,Type II
36.0,3870.0,15.9,II,Type II
47.0,8067.0,17.5,II,Type II
21.0,2094.0,16.0,II,Type II
59.0,7529.0,17.9,II,Type II
63.0,1334.0,16.0,II,Type II
62.0,6537.0,18.7,IIb,Type II
24.0,1534.0,18.0,IIn:,Type II
27.0,1376.0,16.4,II,Type II
76.0,705.0,13.9,IIb,Type II
58.0,1586.0,17.2,II,Type II
61.0,1586.0,16.0,II,Type II
84.0,11300.0,19.0,IIn,Type II
71.0,2009.0,16.0,II,Type II
70.0,10193.0,18.4,II,Type II
52.0,14090.0,17.4,II,Type II
81.0,616.0,17.4,IIn,Type II
41.0,7392.0,16.5,II,Type II
82.0,895.0,12.1,IIn,Type II
55.0,800.0,13.6,II,Type II
44.0,1082.0,18.2,II,Type II
83.0,1478.0,13.0,IIPec,Type II
66.0,6176.0,18.2,IIn,Type II
30.0,5144.0,16.2,IIP,Type II
17.0,592.0,14.6,II,Type II
52.0,4787.0,17.0,II,Type II
90.0,2260.0,16.4,II,Type II
47.0,2562.0,15.9,IIn,Type II
90.0,4152.0,15.9,II,Type II
44.0,8004.0,18.2,II,Type II
36.0,6437.0,17.5,II,Type II
34.0,1156.0,17.6,IIPec,Type II
71.0,1185.0,14.5,IIP,Type II
