recno,SN,n_SN,Gname,RAG,DEG,Gi,GVhel,Gtype,mag,l_mag,Type,RA2000,DE2000,Disc
1010,"1995ay", ,"ANON",45.28249999999999,0.35666666666666663,,143900," ",22.7,>,"I:",45.28133333333333,0.35538888888888887,"Supernova Cosmology Project"
1432,"1998fc", ,"ANON",44.802499999999995,3.4983333333333326,,32078," ",20.5,>,"Ia",44.80254166666666,3.494166666666666,"Gal-Yam, Maoz"
1809,"2000fs", ,"N 1218",47.10999999999999,4.111666666666666,36,8590,".S..0.",18.7,>,"Ia",47.109333333333325,4.111083333333333,"Martel et al."
1641,"2000F", ,"I  302",48.214999999999996,4.704999999999999,41,5904,".SBT4.",17.5,>," ",48.21962499999999,4.709555555555555,"Lick Observatory Supernova Search"
2674,"2003hm", ,"U 2295",42.245,3.168333333333333,71,4172,".S..3.",17.7,>,"Ia",42.243291666666664,3.1687777777777772,"Boles"
996,"1995ak", ,"I 1844",41.425,3.2433333333333327,70,6811,".S..4.",16.2,=,"Ia",41.45345833333333,3.2305833333333327,"Pollas"
2672,"2003hk", ,"N 1085",41.605,3.606666666666666,46,6789,".S..4.",16.0,>,"II",41.60733333333333,3.608944444444444,"Moore, Li+; Boles"
2341,"2002hj", ,"LEDA3092113",44.53999999999999,4.686666666666666,,7075," ",17.4,>,"II",44.53891666666666,4.684388888888888,"Wood-Vasey, Aldering, Nugent, K.Li"
1575,"1999eo", ,"ANON",40.05499999999999,4.914999999999999,,23983," ",19.6,>,"Ia",40.05499999999999,4.914805555555555,"Nearby Galaxies Supernova Search team"
2330,"2002gy", ,"U 2701",50.64999999999999,9.473333333333333,90,7285,".S..4.",17.6,>,"Ib/c",50.65187499999999,9.472777777777777,"Beutler, Li+"
2389,"2002jf", ,"ANON",38.647499999999994,12.29,,23683," ",17.8,>,"Ia",38.647625,12.290388888888888,"Wood-Vasey, Aldering, Nugent, Rudas"
1943,"2001dw", ,"N 1168",45.19499999999999,11.771666666666665,60,7627,".SXT3*",16.6,>,"Ia",45.19949999999999,11.774305555555554,"Boles"
2709,"2003iv", ,"P10738",42.537499999999994,12.843333333333332,,10285," ",17.1,>,"Ia",42.53020833333333,12.846249999999998,"Burket, Li+"
956,"1994al", ,"ANON",46.592499999999994,17.31,,125913," ",22.6,>,"Ia",46.59354166666666,17.30936111111111,"Supernova Cosmology Project"
