_RAJ2000,_DEJ2000,_tabname,_ID,sed_freq,sed_flux,sed_eflux,sed_filter
317.8771389,-2.0363,I/297/out,"NOMAD1===0879-0836421&-c=317.8771389 -02.0363000,eq=J2000&-c.rs=",181750.0,0.000726,,2MASS:H
317.8771389,-2.0363,I/297/out,"NOMAD1===0879-0836421&-c=317.8771389 -02.0363000,eq=J2000&-c.rs=",241960.0,0.0023,,2MASS:J
317.8774194,-2.0354778,I/297/out,"NOMAD1===0879-0836424&-c=317.8774194 -02.0354778,eq=J2000&-c.rs=",181750.0,0.000942,,2MASS:H
317.8774194,-2.0354778,I/297/out,"NOMAD1===0879-0836424&-c=317.8774194 -02.0354778,eq=J2000&-c.rs=",241960.0,0.00294,,2MASS:J
317.8760639,-2.033,I/297/out,"NOMAD1===0879-0836412&-c=317.8760639 -02.0330000,eq=J2000&-c.rs=",181750.0,0.012,,2MASS:H
317.8760639,-2.033,I/297/out,"NOMAD1===0879-0836412&-c=317.8760639 -02.0330000,eq=J2000&-c.rs=",241960.0,0.00874,,2MASS:J
317.8767444,-2.0331778,I/297/out,"NOMAD1===0879-0836417&-c=317.8767444 -02.0331778,eq=J2000&-c.rs=",181750.0,0.0146,,2MASS:H
317.8767444,-2.0331778,I/297/out,"NOMAD1===0879-0836417&-c=317.8767444 -02.0331778,eq=J2000&-c.rs=",241960.0,0.0107,,2MASS:J
317.8769667,-2.0323139,I/297/out,"NOMAD1===0879-0836418&-c=317.8769667 -02.0323139,eq=J2000&-c.rs=",181750.0,0.00647,,2MASS:H
317.8769667,-2.0323139,I/297/out,"NOMAD1===0879-0836418&-c=317.8769667 -02.0323139,eq=J2000&-c.rs=",241960.0,0.00516,,2MASS:J
317.8777083,-2.0317639,I/297/out,"NOMAD1===0879-0836426&-c=317.8777083 -02.0317639,eq=J2000&-c.rs=",181750.0,0.0135,,2MASS:H
317.8777083,-2.0317639,I/297/out,"NOMAD1===0879-0836426&-c=317.8777083 -02.0317639,eq=J2000&-c.rs=",241960.0,0.0104,,2MASS:J
