_RAJ2000,_DEJ2000,_tabname,_ID,sed_freq,sed_flux,sed_eflux,sed_filter
77.7964417,-9.3847944,I/297/out,"NOMAD1===0806-0055074&-c=077.7964417 -09.3847944,eq=J2000&-c.rs=",181750.0,0.00368,,2MASS:H
77.7964417,-9.3847944,I/297/out,"NOMAD1===0806-0055074&-c=077.7964417 -09.3847944,eq=J2000&-c.rs=",241960.0,0.00312,,2MASS:J
77.796352,-9.384778,I/305/out,"GSC2.3===S1N5002967&-c=077.796352 -09.384778,eq=J2000&-c.rs=0.00",382540.0,0.00187,0.00065,POSS-II:i
77.796352,-9.384778,I/305/out,"GSC2.3===S1N5002967&-c=077.796352 -09.384778,eq=J2000&-c.rs=0.00",468430.0,0.000719,0.000264,POSS-II:F
77.796352,-9.384778,I/305/out,"GSC2.3===S1N5002967&-c=077.796352 -09.384778,eq=J2000&-c.rs=0.00",640580.0,0.000162,5.6e-05,POSS-II:J
77.796352,-9.384778,I/305/out,"GSC2.3===S1N5002967&-c=077.796352 -09.384778,eq=J2000&-c.rs=0.00",674900.0,9.67e-05,3.93e-05,Johnson:B
77.802478,-9.39264,I/305/out,"GSC2.3===S1N5002886&-c=077.802478 -09.392640,eq=J2000&-c.rs=0.00",468430.0,1.47e-05,7.2e-06,POSS-II:F
77.802478,-9.39264,I/305/out,"GSC2.3===S1N5002886&-c=077.802478 -09.392640,eq=J2000&-c.rs=0.00",640580.0,4.71e-06,2.29e-06,POSS-II:J
77.798315,-9.396844,I/305/out,"GSC2.3===S1N5002849&-c=077.798315 -09.396844,eq=J2000&-c.rs=0.00",468430.0,1.46e-05,7.1e-06,POSS-II:F
77.798315,-9.396844,I/305/out,"GSC2.3===S1N5002849&-c=077.798315 -09.396844,eq=J2000&-c.rs=0.00",640580.0,9.05e-06,3.5e-06,POSS-II:J
77.8015,-9.390298,I/305/out,"GSC2.3===S1N5018604&-c=077.801500 -09.390298,eq=J2000&-c.rs=0.00",382540.0,0.000324,0.000135,POSS-II:i
77.8015,-9.390298,I/305/out,"GSC2.3===S1N5018604&-c=077.801500 -09.390298,eq=J2000&-c.rs=0.00",674900.0,0.000707,0.000287,Johnson:B
77.79888,-9.389658,I/305/out,"GSC2.3===S1N5018603&-c=077.798880 -09.389658,eq=J2000&-c.rs=0.00",382540.0,0.000117,5.4e-05,POSS-II:i
77.79648805,-9.38481998,I/317/sample,"PPMXL=2578736541145174380&-c=077.796488 -09.384820,eq=J2000&-c.r",138550.0,0.0032,1e-04,2MASS:Ks
77.79648805,-9.38481998,I/317/sample,"PPMXL=2578736541145174380&-c=077.796488 -09.384820,eq=J2000&-c.r",181750.0,0.00368,1e-04,2MASS:H
77.79648805,-9.38481998,I/317/sample,"PPMXL=2578736541145174380&-c=077.796488 -09.384820,eq=J2000&-c.r",241960.0,0.00312,8e-05,2MASS:J
77.7964859,-9.38481498,I/319/xpm,"-c=077.796486 -09.384815,eq=ICRS&-c.rs=0.004",138550.0,0.0032,1e-04,2MASS:Ks
77.7964859,-9.38481498,I/319/xpm,"-c=077.796486 -09.384815,eq=ICRS&-c.rs=0.004",181750.0,0.00367,1e-04,2MASS:H
77.7964859,-9.38481498,I/319/xpm,"-c=077.796486 -09.384815,eq=ICRS&-c.rs=0.004",241960.0,0.00312,8e-05,2MASS:J
77.79655099,-9.38478005,I/327/cmc15,"-c=077.796551 -09.384780,eq=ICRS&-c.rs=0.004",138550.0,0.0032,,2MASS:Ks
77.79655099,-9.38478005,I/327/cmc15,"-c=077.796551 -09.384780,eq=ICRS&-c.rs=0.004",181750.0,0.00367,,2MASS:H
77.79655099,-9.38478005,I/327/cmc15,"-c=077.796551 -09.384780,eq=ICRS&-c.rs=0.004",241960.0,0.00312,,2MASS:J
