_RAJ2000,_DEJ2000,_tabname,_ID,sed_freq,sed_flux,sed_eflux,sed_filter
108.3264581,-51.6958467,I/297/out,"NOMAD1===0383-0088696&-c=108.3264581 -51.6958467,eq=J2000&-c.rs=",181750.0,0.00648,,2MASS:H
108.3264581,-51.6958467,I/297/out,"NOMAD1===0383-0088696&-c=108.3264581 -51.6958467,eq=J2000&-c.rs=",241960.0,0.00718,,2MASS:J
108.3264631,-51.6919078,I/297/out,"NOMAD1===0383-0088697&-c=108.3264631 -51.6919078,eq=J2000&-c.rs=",181750.0,0.0127,,2MASS:H
108.3264631,-51.6919078,I/297/out,"NOMAD1===0383-0088697&-c=108.3264631 -51.6919078,eq=J2000&-c.rs=",241960.0,0.0147,,2MASS:J
108.3289472,-51.6954667,I/297/out,"NOMAD1===0383-0088702&-c=108.3289472 -51.6954667,eq=J2000&-c.rs=",181750.0,0.00045,,2MASS:H
108.3289472,-51.6954667,I/297/out,"NOMAD1===0383-0088702&-c=108.3289472 -51.6954667,eq=J2000&-c.rs=",241960.0,0.000383,,2MASS:J
108.326498,-51.695828,I/305/out,"GSC2.3===S4DC000078&-c=108.326498 -51.695828,eq=J2000&-c.rs=0.00",382540.0,0.00927,0.00377,POSS-II:i
108.326498,-51.695828,I/305/out,"GSC2.3===S4DC000078&-c=108.326498 -51.695828,eq=J2000&-c.rs=0.00",468430.0,0.00833,0.00339,POSS-II:F
108.326498,-51.695828,I/305/out,"GSC2.3===S4DC000078&-c=108.326498 -51.695828,eq=J2000&-c.rs=0.00",640580.0,0.00344,0.00133,POSS-II:J
108.330015,-51.690103,I/305/out,"GSC2.3===S4DC019100&-c=108.330015 -51.690103,eq=J2000&-c.rs=0.00",382540.0,0.000166,7.1e-05,POSS-II:i
108.330015,-51.690103,I/305/out,"GSC2.3===S4DC019100&-c=108.330015 -51.690103,eq=J2000&-c.rs=0.00",468430.0,8.97e-05,3.73e-05,POSS-II:F
108.330015,-51.690103,I/305/out,"GSC2.3===S4DC019100&-c=108.330015 -51.690103,eq=J2000&-c.rs=0.00",640580.0,6.32e-05,2.51e-05,POSS-II:J
108.315102,-51.686531,I/305/out,"GSC2.3===S4DC028431&-c=108.315102 -51.686531,eq=J2000&-c.rs=0.00",468430.0,2.36e-05,1.3e-05,POSS-II:F
108.315102,-51.686531,I/305/out,"GSC2.3===S4DC028431&-c=108.315102 -51.686531,eq=J2000&-c.rs=0.00",640580.0,5.5e-06,3.43e-06,POSS-II:J
108.326455,-51.69193,I/305/out,"GSC2.3===S4DC000076&-c=108.326455 -51.691930,eq=J2000&-c.rs=0.00",382540.0,0.017,0.0069,POSS-II:i
108.326455,-51.69193,I/305/out,"GSC2.3===S4DC000076&-c=108.326455 -51.691930,eq=J2000&-c.rs=0.00",468430.0,0.0157,0.0064,POSS-II:F
108.326455,-51.69193,I/305/out,"GSC2.3===S4DC000076&-c=108.326455 -51.691930,eq=J2000&-c.rs=0.00",640580.0,0.0117,0.0045,POSS-II:J
