_RAJ2000,_DEJ2000,_tabname,_ID,sed_freq,sed_flux,sed_eflux,sed_filter
217.5603611,-36.9671611,I/297/out,"NOMAD1===0530-0377147&-c=217.5603611 -36.9671611,eq=J2000&-c.rs=",181750.0,0.000583,,2MASS:H
217.5603611,-36.9671611,I/297/out,"NOMAD1===0530-0377147&-c=217.5603611 -36.9671611,eq=J2000&-c.rs=",241960.0,0.00053,,2MASS:J
217.560902,-36.967311,I/305/out,"GSC2.3===S9GT000484&-c=217.560902 -36.967311,eq=J2000&-c.rs=0.00",382540.0,0.00807,0.00304,POSS-II:i
217.560902,-36.967311,I/305/out,"GSC2.3===S9GT000484&-c=217.560902 -36.967311,eq=J2000&-c.rs=0.00",468430.0,0.00905,0.00332,POSS-II:F
217.560902,-36.967311,I/305/out,"GSC2.3===S9GT000484&-c=217.560902 -36.967311,eq=J2000&-c.rs=0.00",640580.0,0.0184,0.0069,POSS-II:J
217.56069398,-36.96726799,I/317/sample,"PPMXL=3837845233375517042&-c=217.560694 -36.967268,eq=J2000&-c.r",138550.0,0.000324,,2MASS:Ks
217.56069398,-36.96726799,I/317/sample,"PPMXL=3837845233375517042&-c=217.560694 -36.967268,eq=J2000&-c.r",181750.0,0.000583,8e-05,2MASS:H
217.56069398,-36.96726799,I/317/sample,"PPMXL=3837845233375517042&-c=217.560694 -36.967268,eq=J2000&-c.r",241960.0,0.00053,5.4e-05,2MASS:J
217.5609473,-36.9672802,I/320/spm4,"-c=217.5609473 -36.9672802,eq=J2000&-c.rs=0.004",138550.0,0.000324,,2MASS:Ks
217.5609473,-36.9672802,I/320/spm4,"-c=217.5609473 -36.9672802,eq=J2000&-c.rs=0.004",181750.0,0.000583,,2MASS:H
217.5609473,-36.9672802,I/320/spm4,"-c=217.5609473 -36.9672802,eq=J2000&-c.rs=0.004",241960.0,0.00053,,2MASS:J
217.5609473,-36.9672802,I/320/spm4,"-c=217.5609473 -36.9672802,eq=J2000&-c.rs=0.004",541430.0,0.000399,,Johnson:V
217.5609473,-36.9672802,I/320/spm4,"-c=217.5609473 -36.9672802,eq=J2000&-c.rs=0.004",674900.0,0.000266,,Johnson:B
217.5609545,-36.967247,I/322A/out,"UCAC4===266-074472&-c=217.5609545 -36.9672470,eq=J2000&-c.rs=0.0",138550.0,0.000324,0.000338,2MASS:Ks
217.5609545,-36.967247,I/322A/out,"UCAC4===266-074472&-c=217.5609545 -36.9672470,eq=J2000&-c.rs=0.0",181750.0,0.000583,8.1e-05,2MASS:H
217.5609545,-36.967247,I/322A/out,"UCAC4===266-074472&-c=217.5609545 -36.9672470,eq=J2000&-c.rs=0.0",241960.0,0.00053,5.4e-05,2MASS:J
217.56084394,-36.96727097,I/327/cmc15,"-c=217.560844 -36.967271,eq=ICRS&-c.rs=0.004",241960.0,0.000529,,2MASS:J
217.560837280114,-36.967263742036,I/337/gaia,"-c=217.5608372801 -36.9672637420,eq=ICRS&-c.rs=0.004",445460.0,0.000412,,Gaia:G
217.5607746533,-36.967267014,I/339/hsoy,"-c=217.5607746533 -36.9672670140,eq=J2000&-c.rs=0.004",181750.0,0.000583,8e-05,2MASS:H
