_RAJ2000,_DEJ2000,_tabname,_ID,sed_freq,sed_flux,sed_eflux,sed_filter
21.7892389,14.7743472,I/297/out,"NOMAD1===1047-0014460&-c=021.7892389 +14.7743472,eq=J2000&-c.rs=",181750.0,0.000934,,2MASS:H
21.7892389,14.7743472,I/297/out,"NOMAD1===1047-0014460&-c=021.7892389 +14.7743472,eq=J2000&-c.rs=",241960.0,0.00272,,2MASS:J
21.7898472,14.7761139,I/297/out,"NOMAD1===1047-0014463&-c=021.7898472 +14.7761139,eq=J2000&-c.rs=",181750.0,0.00366,,2MASS:H
21.7898472,14.7761139,I/297/out,"NOMAD1===1047-0014463&-c=021.7898472 +14.7761139,eq=J2000&-c.rs=",241960.0,0.00315,,2MASS:J
21.78982,14.77633,I/305/out,"GSC2.3===NBTD000008&-c=021.789820 +14.776330,eq=J2000&-c.rs=0.00",382540.0,0.684,0.278,POSS-II:i
21.78982,14.77633,I/305/out,"GSC2.3===NBTD000008&-c=021.789820 +14.776330,eq=J2000&-c.rs=0.00",468430.0,0.545,0.216,POSS-II:F
21.78982,14.77633,I/305/out,"GSC2.3===NBTD000008&-c=021.789820 +14.776330,eq=J2000&-c.rs=0.00",640580.0,0.242,0.094,POSS-II:J
21.78982,14.77633,I/305/out,"GSC2.3===NBTD000008&-c=021.789820 +14.776330,eq=J2000&-c.rs=0.00",674900.0,0.657,0.267,Johnson:B
21.789057,14.779582,I/305/out,"GSC2.3===NBTD005321&-c=021.789057 +14.779582,eq=J2000&-c.rs=0.00",640580.0,0.00767,0.00296,POSS-II:J
21.789712,14.782514,I/305/out,"GSC2.3===NBTD005326&-c=021.789712 +14.782514,eq=J2000&-c.rs=0.00",640580.0,0.000245,9.5e-05,POSS-II:J
21.787773,14.781425,I/305/out,"GSC2.3===NBTD005322&-c=021.787773 +14.781425,eq=J2000&-c.rs=0.00",468430.0,0.000484,0.000192,POSS-II:F
21.787773,14.781425,I/305/out,"GSC2.3===NBTD005322&-c=021.787773 +14.781425,eq=J2000&-c.rs=0.00",640580.0,0.00012,4.7e-05,POSS-II:J
21.787773,14.781425,I/305/out,"GSC2.3===NBTD005322&-c=021.787773 +14.781425,eq=J2000&-c.rs=0.00",674900.0,0.000158,6.4e-05,Johnson:B
21.785825,14.772983,I/305/out,"GSC2.3===NBTD005323&-c=021.785825 +14.772983,eq=J2000&-c.rs=0.00",640580.0,0.00035,0.000135,POSS-II:J
21.78905892,14.774351,I/317/sample,"PPMXL=2076813005651716577&-c=021.789059 +14.774351,eq=J2000&-c.r",138550.0,0.00227,,2MASS:Ks
21.78905892,14.774351,I/317/sample,"PPMXL=2076813005651716577&-c=021.789059 +14.774351,eq=J2000&-c.r",181750.0,0.000934,9.7e-05,2MASS:H
21.78905892,14.774351,I/317/sample,"PPMXL=2076813005651716577&-c=021.789059 +14.774351,eq=J2000&-c.r",241960.0,0.00272,,2MASS:J
21.78974009,14.77624297,I/317/sample,"PPMXL=2076813011983236346&-c=021.789740 +14.776243,eq=J2000&-c.r",138550.0,0.0031,0.00019,2MASS:Ks
21.78974009,14.77624297,I/317/sample,"PPMXL=2076813011983236346&-c=021.789740 +14.776243,eq=J2000&-c.r",181750.0,0.00366,0.00018,2MASS:H
21.78974009,14.77624297,I/317/sample,"PPMXL=2076813011983236346&-c=021.789740 +14.776243,eq=J2000&-c.r",241960.0,0.00314,0.00015,2MASS:J
21.78922701,14.77454603,I/327/cmc15,"-c=021.789227 +14.774546,eq=ICRS&-c.rs=0.004",241960.0,0.00272,,2MASS:J
21.78987968,14.776089728,I/331/apop,"-c=021.7898797 +14.7760897,eq=ICRS&-c.rs=0.004",138550.0,0.0031,,2MASS:Ks
21.78987968,14.776089728,I/331/apop,"-c=021.7898797 +14.7760897,eq=ICRS&-c.rs=0.004",181750.0,0.00366,,2MASS:H
21.78987968,14.776089728,I/331/apop,"-c=021.7898797 +14.7760897,eq=ICRS&-c.rs=0.004",241960.0,0.00314,,2MASS:J
21.78975135,14.7764709,I/342/f3,recno=4745660,674900.0,0.0111,0.0016,Johnson:B
21.79000005,14.7758541,I/342/f3,recno=4745661,674900.0,0.00411,0.00103,Johnson:B
21.79300776597,14.77252504248,I/343/gps1,"-c=021.792998707 +14.772676979,eq=ICRS&-c.rs=0.004",312400.0,3.09e-05,3.3e-06,PAN-STARRS/PS1:y
21.79300776597,14.77252504248,I/343/gps1,"-c=021.792998707 +14.772676979,eq=ICRS&-c.rs=0.004",400800.0,2.45e-05,1e-06,PAN-STARRS/PS1:i
21.79300776597,14.77252504248,I/343/gps1,"-c=021.792998707 +14.772676979,eq=ICRS&-c.rs=0.004",489400.0,4.26e-05,3e-06,PAN-STARRS/PS1:r
21.79300776597,14.77252504248,I/343/gps1,"-c=021.792998707 +14.772676979,eq=ICRS&-c.rs=0.004",628200.0,6.8e-05,2e-06,PAN-STARRS/PS1:g
21.7897014064,14.77630449889,I/343/gps1,"-c=021.789687266 +14.776312704,eq=ICRS&-c.rs=0.004",138550.0,0.0031,0.00019,2MASS:Ks
21.7897014064,14.77630449889,I/343/gps1,"-c=021.789687266 +14.776312704,eq=ICRS&-c.rs=0.004",181750.0,0.00366,0.00017,2MASS:H
21.7897014064,14.77630449889,I/343/gps1,"-c=021.789687266 +14.776312704,eq=ICRS&-c.rs=0.004",241960.0,0.00314,0.00014,2MASS:J
21.7897014064,14.77630449889,I/343/gps1,"-c=021.789687266 +14.776312704,eq=ICRS&-c.rs=0.004",312400.0,0.00056,2.8e-05,PAN-STARRS/PS1:y
21.7897014064,14.77630449889,I/343/gps1,"-c=021.789687266 +14.776312704,eq=ICRS&-c.rs=0.004",400800.0,0.000314,2.4e-05,PAN-STARRS/PS1:i
21.7897014064,14.77630449889,I/343/gps1,"-c=021.789687266 +14.776312704,eq=ICRS&-c.rs=0.004",489400.0,0.000486,3.4e-05,PAN-STARRS/PS1:r
21.7897014064,14.77630449889,I/343/gps1,"-c=021.789687266 +14.776312704,eq=ICRS&-c.rs=0.004",628200.0,0.000373,2.5e-05,PAN-STARRS/PS1:g
21.7897144953873,14.7762793181217,I/350/gaiaedr3,"-c=021.78971449539 +14.77627931812,eq=ICRS&-c.rs=0.004",393400.0,0.000889,6e-06,GAIA/GAIA3:Grp
