_RAJ2000,_DEJ2000,_tabname,_ID,sed_freq,sed_flux,sed_eflux,sed_filter
214.5983639,-43.384725,I/297/out,"NOMAD1===0466-0345176&-c=214.5983639 -43.3847250,eq=J2000&-c.rs=",181750.0,0.00115,,2MASS:H
214.5983639,-43.384725,I/297/out,"NOMAD1===0466-0345176&-c=214.5983639 -43.3847250,eq=J2000&-c.rs=",241960.0,0.00114,,2MASS:J
214.6012389,-43.3783611,I/297/out,"NOMAD1===0466-0345181&-c=214.6012389 -43.3783611,eq=J2000&-c.rs=",181750.0,0.0023,,2MASS:H
214.6012389,-43.3783611,I/297/out,"NOMAD1===0466-0345181&-c=214.6012389 -43.3783611,eq=J2000&-c.rs=",241960.0,0.00218,,2MASS:J
214.6136019,-43.38818,I/297/out,"NOMAD1===0466-0345220&-c=214.6136019 -43.3881800,eq=J2000&-c.rs=",181750.0,0.00323,,2MASS:H
214.6136019,-43.38818,I/297/out,"NOMAD1===0466-0345220&-c=214.6136019 -43.3881800,eq=J2000&-c.rs=",241960.0,0.00306,,2MASS:J
214.6154669,-43.3772978,I/297/out,"NOMAD1===0466-0345226&-c=214.6154669 -43.3772978,eq=J2000&-c.rs=",181750.0,0.0037,,2MASS:H
214.6154669,-43.3772978,I/297/out,"NOMAD1===0466-0345226&-c=214.6154669 -43.3772978,eq=J2000&-c.rs=",241960.0,0.00374,,2MASS:J
214.604519,-43.38361,I/305/out,"GSC2.3===S95E001579&-c=214.604519 -43.383610,eq=J2000&-c.rs=0.00",382540.0,0.356,0.145,POSS-II:i
214.601077,-43.377722,I/305/out,"GSC2.3===S95E001570&-c=214.601077 -43.377722,eq=J2000&-c.rs=0.00",382540.0,0.0444,0.018,POSS-II:i
214.598303,-43.384874,I/305/out,"GSC2.3===S95E074860&-c=214.598303 -43.384874,eq=J2000&-c.rs=0.00",382540.0,0.00601,0.00244,POSS-II:i
214.615326,-43.377172,I/305/out,"GSC2.3===S95E001567&-c=214.615326 -43.377172,eq=J2000&-c.rs=0.00",382540.0,0.0205,0.0083,POSS-II:i
214.59812093,-43.38482702,I/317/sample,"PPMXL=5796229572963555173&-c=214.598121 -43.384827,eq=J2000&-c.r",138550.0,0.000676,8.4e-05,2MASS:Ks
214.59812093,-43.38482702,I/317/sample,"PPMXL=5796229572963555173&-c=214.598121 -43.384827,eq=J2000&-c.r",181750.0,0.00115,4e-05,2MASS:H
214.59812093,-43.38482702,I/317/sample,"PPMXL=5796229572963555173&-c=214.598121 -43.384827,eq=J2000&-c.r",241960.0,0.00114,4e-05,2MASS:J
214.60094404,-43.37831402,I/317/sample,"PPMXL=5796229550472690993&-c=214.600944 -43.378314,eq=J2000&-c.r",138550.0,0.00158,9e-05,2MASS:Ks
214.60094404,-43.37831402,I/317/sample,"PPMXL=5796229550472690993&-c=214.600944 -43.378314,eq=J2000&-c.r",181750.0,0.0023,1e-04,2MASS:H
214.60094404,-43.37831402,I/317/sample,"PPMXL=5796229550472690993&-c=214.600944 -43.378314,eq=J2000&-c.r",241960.0,0.00218,8e-05,2MASS:J
214.61551595,-43.37724602,I/317/sample,"PPMXL=5796229507527848792&-c=214.615516 -43.377246,eq=J2000&-c.r",138550.0,0.0025,0.00012,2MASS:Ks
214.61551595,-43.37724602,I/317/sample,"PPMXL=5796229507527848792&-c=214.615516 -43.377246,eq=J2000&-c.r",181750.0,0.0037,8e-05,2MASS:H
214.61551595,-43.37724602,I/317/sample,"PPMXL=5796229507527848792&-c=214.615516 -43.377246,eq=J2000&-c.r",241960.0,0.00374,1e-04,2MASS:J
214.5981587,-43.3848102,I/320/spm4,"-c=214.5981587 -43.3848102,eq=J2000&-c.rs=0.004",138550.0,0.000676,,2MASS:Ks
214.5981587,-43.3848102,I/320/spm4,"-c=214.5981587 -43.3848102,eq=J2000&-c.rs=0.004",181750.0,0.00115,,2MASS:H
214.5981587,-43.3848102,I/320/spm4,"-c=214.5981587 -43.3848102,eq=J2000&-c.rs=0.004",241960.0,0.00114,,2MASS:J
214.5981587,-43.3848102,I/320/spm4,"-c=214.5981587 -43.3848102,eq=J2000&-c.rs=0.004",541430.0,0.000775,,Johnson:V
214.5981587,-43.3848102,I/320/spm4,"-c=214.5981587 -43.3848102,eq=J2000&-c.rs=0.004",674900.0,0.000645,,Johnson:B
214.6010034,-43.3783354,I/320/spm4,"-c=214.6010034 -43.3783354,eq=J2000&-c.rs=0.004",138550.0,0.00158,,2MASS:Ks
214.6010034,-43.3783354,I/320/spm4,"-c=214.6010034 -43.3783354,eq=J2000&-c.rs=0.004",181750.0,0.0023,,2MASS:H
214.6010034,-43.3783354,I/320/spm4,"-c=214.6010034 -43.3783354,eq=J2000&-c.rs=0.004",241960.0,0.00218,,2MASS:J
214.6010034,-43.3783354,I/320/spm4,"-c=214.6010034 -43.3783354,eq=J2000&-c.rs=0.004",541430.0,0.00105,,Johnson:V
214.6010034,-43.3783354,I/320/spm4,"-c=214.6010034 -43.3783354,eq=J2000&-c.rs=0.004",674900.0,0.000567,,Johnson:B
214.6136474,-43.3880291,I/320/spm4,"-c=214.6136474 -43.3880291,eq=J2000&-c.rs=0.004",138550.0,0.00295,,2MASS:Ks
214.6136474,-43.3880291,I/320/spm4,"-c=214.6136474 -43.3880291,eq=J2000&-c.rs=0.004",181750.0,0.00323,,2MASS:H
214.6136474,-43.3880291,I/320/spm4,"-c=214.6136474 -43.3880291,eq=J2000&-c.rs=0.004",241960.0,0.00306,,2MASS:J
214.6136474,-43.3880291,I/320/spm4,"-c=214.6136474 -43.3880291,eq=J2000&-c.rs=0.004",541430.0,0.000733,,Johnson:V
214.6136474,-43.3880291,I/320/spm4,"-c=214.6136474 -43.3880291,eq=J2000&-c.rs=0.004",674900.0,0.000236,,Johnson:B
214.6154931,-43.3772645,I/320/spm4,"-c=214.6154931 -43.3772645,eq=J2000&-c.rs=0.004",138550.0,0.0025,,2MASS:Ks
214.6154931,-43.3772645,I/320/spm4,"-c=214.6154931 -43.3772645,eq=J2000&-c.rs=0.004",181750.0,0.0037,,2MASS:H
214.6154931,-43.3772645,I/320/spm4,"-c=214.6154931 -43.3772645,eq=J2000&-c.rs=0.004",241960.0,0.00374,,2MASS:J
214.6154931,-43.3772645,I/320/spm4,"-c=214.6154931 -43.3772645,eq=J2000&-c.rs=0.004",541430.0,0.00266,,Johnson:V
214.6154931,-43.3772645,I/320/spm4,"-c=214.6154931 -43.3772645,eq=J2000&-c.rs=0.004",674900.0,0.00131,,Johnson:B
214.5980353,-43.3848673,I/322A/out,"UCAC4===234-072076&-c=214.5980353 -43.3848673,eq=J2000&-c.rs=0.0",138550.0,0.000676,8.1e-05,2MASS:Ks
214.5980353,-43.3848673,I/322A/out,"UCAC4===234-072076&-c=214.5980353 -43.3848673,eq=J2000&-c.rs=0.0",181750.0,0.00115,4e-05,2MASS:H
214.5980353,-43.3848673,I/322A/out,"UCAC4===234-072076&-c=214.5980353 -43.3848673,eq=J2000&-c.rs=0.0",241960.0,0.00114,4e-05,2MASS:J
