_RAJ2000,_DEJ2000,_tabname,_ID,sed_freq,sed_flux,sed_eflux,sed_filter
338.424523,-6.370089,I/305/out,"GSC2.3===SBSR006838&-c=338.424523 -06.370089,eq=J2000&-c.rs=0.00",468430.0,4.14e-05,2.1e-05,POSS-II:F
338.424523,-6.370089,I/305/out,"GSC2.3===SBSR006838&-c=338.424523 -06.370089,eq=J2000&-c.rs=0.00",640580.0,7.12e-06,3.18e-06,POSS-II:J
338.424523,-6.370089,I/305/out,"GSC2.3===SBSR006838&-c=338.424523 -06.370089,eq=J2000&-c.rs=0.00",674900.0,2.1e-05,8.9e-06,Johnson:B
338.439045,-6.369833,I/305/out,"GSC2.3===SBSR008199&-c=338.439045 -06.369833,eq=J2000&-c.rs=0.00",468430.0,1.63e-05,7.9e-06,POSS-II:F
338.439045,-6.369833,I/305/out,"GSC2.3===SBSR008199&-c=338.439045 -06.369833,eq=J2000&-c.rs=0.00",674900.0,2.1e-05,9.4e-06,Johnson:B
338.43243579385,-6.369027822114,I/337/gaia,"-c=338.4324357939 -06.3690278221,eq=ICRS&-c.rs=0.004",445460.0,0.000184,,Gaia:G
338.424429872144,-6.37027182209,I/337/gaia,"-c=338.4244298721 -06.3702718221,eq=ICRS&-c.rs=0.004",445460.0,3.44e-05,,Gaia:G
338.4244626167,-6.3701852975,I/339/hsoy,"-c=338.4244626167 -06.3701852975,eq=J2000&-c.rs=0.004",445460.0,3.44e-05,4e-07,Gaia:G
338.42443566564,-6.3701716636,I/343/gps1,"-c=338.424417922 -06.370233892,eq=ICRS&-c.rs=0.004",312400.0,5.81e-05,1.5e-06,PAN-STARRS/PS1:y
338.42443566564,-6.3701716636,I/343/gps1,"-c=338.424417922 -06.370233892,eq=ICRS&-c.rs=0.004",400800.0,4.42e-05,2e-07,PAN-STARRS/PS1:i
338.42443566564,-6.3701716636,I/343/gps1,"-c=338.424417922 -06.370233892,eq=ICRS&-c.rs=0.004",445460.0,3.44e-05,4e-07,Gaia:G
338.42443566564,-6.3701716636,I/343/gps1,"-c=338.424417922 -06.370233892,eq=ICRS&-c.rs=0.004",489400.0,3.3e-05,4e-07,PAN-STARRS/PS1:r
338.42443566564,-6.3701716636,I/343/gps1,"-c=338.424417922 -06.370233892,eq=ICRS&-c.rs=0.004",628200.0,1.56e-05,7e-07,PAN-STARRS/PS1:g
338.4244569771944,-6.3702171968379,I/345/gaia2,"-c=338.42442691252 -06.37027626874,eq=ICRS&-c.rs=0.004",388100.0,6.91e-05,4.5e-06,GAIA/GAIA2:Grp
338.4244569771944,-6.3702171968379,I/345/gaia2,"-c=338.42442691252 -06.37027626874,eq=ICRS&-c.rs=0.004",481500.0,3.36e-05,3e-07,GAIA/GAIA2:G
338.4244569771944,-6.3702171968379,I/345/gaia2,"-c=338.42442691252 -06.37027626874,eq=ICRS&-c.rs=0.004",594100.0,1.78e-05,2.8e-06,GAIA/GAIA2:Gbp
338.4390253162385,-6.3698877649674,I/345/gaia2,"-c=338.43902531624 -06.36988776497,eq=ICRS&-c.rs=0.004",481500.0,1.25e-05,5e-07,GAIA/GAIA2:G
338.4324353440585,-6.369028673019,I/345/gaia2,"-c=338.43243534406 -06.36902867302,eq=ICRS&-c.rs=0.004",388100.0,0.000211,1.5e-05,GAIA/GAIA2:Grp
338.4324353440585,-6.369028673019,I/345/gaia2,"-c=338.43243534406 -06.36902867302,eq=ICRS&-c.rs=0.004",481500.0,0.000151,4e-06,GAIA/GAIA2:G
338.4324353440585,-6.369028673019,I/345/gaia2,"-c=338.43243534406 -06.36902867302,eq=ICRS&-c.rs=0.004",594100.0,0.000111,1.9e-05,GAIA/GAIA2:Gbp
338.4390277540685,-6.369886536269,I/350/gaiaedr3,"-c=338.43902775407 -06.36988653627,eq=ICRS&-c.rs=0.004",393400.0,3.08e-05,5e-06,GAIA/GAIA3:Grp
