_RAJ2000,_DEJ2000,_tabname,_ID,sed_freq,sed_flux,sed_eflux,sed_filter
21.2556639,-4.6517361,I/297/out,"NOMAD1===0853-0013025&-c=021.2556639 -04.6517361,eq=J2000&-c.rs=",181750.0,0.000801,,2MASS:H
21.2556639,-4.6517361,I/297/out,"NOMAD1===0853-0013025&-c=021.2556639 -04.6517361,eq=J2000&-c.rs=",241960.0,0.000576,,2MASS:J
21.2677333,-4.6496833,I/297/out,"NOMAD1===0853-0013042&-c=021.2677333 -04.6496833,eq=J2000&-c.rs=",181750.0,0.00499,,2MASS:H
21.2677333,-4.6496833,I/297/out,"NOMAD1===0853-0013042&-c=021.2677333 -04.6496833,eq=J2000&-c.rs=",241960.0,0.00388,,2MASS:J
21.2665,-4.647724,I/305/out,"GSC2.3===S0NG005543&-c=021.266500 -04.647724,eq=J2000&-c.rs=0.00",640580.0,0.0024,0.00047,POSS-II:J
21.2665,-4.647724,I/305/out,"GSC2.3===S0NG005543&-c=021.266500 -04.647724,eq=J2000&-c.rs=0.00",674900.0,0.000734,0.000212,Johnson:B
21.267997,-4.649756,I/305/out,"GSC2.3===S0NG000055&-c=021.267997 -04.649756,eq=J2000&-c.rs=0.00",382540.0,0.0792,0.0237,POSS-II:i
21.267997,-4.649756,I/305/out,"GSC2.3===S0NG000055&-c=021.267997 -04.649756,eq=J2000&-c.rs=0.00",468430.0,0.193,0.056,POSS-II:F
21.267997,-4.649756,I/305/out,"GSC2.3===S0NG000055&-c=021.267997 -04.649756,eq=J2000&-c.rs=0.00",640580.0,0.169,0.031,POSS-II:J
21.267997,-4.649756,I/305/out,"GSC2.3===S0NG000055&-c=021.267997 -04.649756,eq=J2000&-c.rs=0.00",674900.0,0.0768,0.0222,Johnson:B
21.265399,-4.644777,I/305/out,"GSC2.3===S0NG003307&-c=021.265399 -04.644777,eq=J2000&-c.rs=0.00",468430.0,9.22e-05,3.2e-05,POSS-II:F
21.265399,-4.644777,I/305/out,"GSC2.3===S0NG003307&-c=021.265399 -04.644777,eq=J2000&-c.rs=0.00",640580.0,3.41e-05,1.12e-05,POSS-II:J
21.263177,-4.649701,I/305/out,"GSC2.3===S0NG003302&-c=021.263177 -04.649701,eq=J2000&-c.rs=0.00",468430.0,5.98e-05,2.43e-05,POSS-II:F
21.263177,-4.649701,I/305/out,"GSC2.3===S0NG003302&-c=021.263177 -04.649701,eq=J2000&-c.rs=0.00",640580.0,0.000561,0.000125,POSS-II:J
21.255753,-4.651663,I/305/out,"GSC2.3===S0NG003268&-c=021.255753 -04.651663,eq=J2000&-c.rs=0.00",382540.0,0.000324,1e-04,POSS-II:i
21.255753,-4.651663,I/305/out,"GSC2.3===S0NG003268&-c=021.255753 -04.651663,eq=J2000&-c.rs=0.00",468430.0,0.000196,6.1e-05,POSS-II:F
21.255753,-4.651663,I/305/out,"GSC2.3===S0NG003268&-c=021.255753 -04.651663,eq=J2000&-c.rs=0.00",640580.0,3.38e-05,9.1e-06,POSS-II:J
21.255753,-4.651663,I/305/out,"GSC2.3===S0NG003268&-c=021.255753 -04.651663,eq=J2000&-c.rs=0.00",674900.0,2.3e-05,8e-06,Johnson:B
21.25580502,-4.65166104,I/317/sample,"PPMXL=1653418256511440367&-c=021.255805 -04.651661,eq=J2000&-c.r",138550.0,0.000477,8e-05,2MASS:Ks
21.25580502,-4.65166104,I/317/sample,"PPMXL=1653418256511440367&-c=021.255805 -04.651661,eq=J2000&-c.r",181750.0,0.000801,7.5e-05,2MASS:H
21.25580502,-4.65166104,I/317/sample,"PPMXL=1653418256511440367&-c=021.255805 -04.651661,eq=J2000&-c.r",241960.0,0.000576,4e-05,2MASS:J
21.26802397,-4.64970803,I/317/sample,"PPMXL=1653418313912127021&-c=021.268024 -04.649708,eq=J2000&-c.r",138550.0,0.00526,0.00033,2MASS:Ks
21.26802397,-4.64970803,I/317/sample,"PPMXL=1653418313912127021&-c=021.268024 -04.649708,eq=J2000&-c.r",181750.0,0.00499,0.00048,2MASS:H
21.26802397,-4.64970803,I/317/sample,"PPMXL=1653418313912127021&-c=021.268024 -04.649708,eq=J2000&-c.r",241960.0,0.00388,0.00029,2MASS:J
21.25585008,-4.65165496,I/319/xpm,"-c=021.255850 -04.651655,eq=ICRS&-c.rs=0.004",138550.0,0.000477,8e-05,2MASS:Ks
21.25585008,-4.65165496,I/319/xpm,"-c=021.255850 -04.651655,eq=ICRS&-c.rs=0.004",181750.0,0.000801,7.5e-05,2MASS:H
21.25585008,-4.65165496,I/319/xpm,"-c=021.255850 -04.651655,eq=ICRS&-c.rs=0.004",241960.0,0.000576,4e-05,2MASS:J
21.2679542,-4.6498445,I/322A/out,"UCAC4===427-001686&-c=021.2679542 -04.6498445,eq=J2000&-c.rs=0.0",138550.0,0.00526,0.00034,2MASS:Ks
21.2679542,-4.6498445,I/322A/out,"UCAC4===427-001686&-c=021.2679542 -04.6498445,eq=J2000&-c.rs=0.0",181750.0,0.00499,0.00046,2MASS:H
21.2679542,-4.6498445,I/322A/out,"UCAC4===427-001686&-c=021.2679542 -04.6498445,eq=J2000&-c.rs=0.0",241960.0,0.00388,0.00029,2MASS:J
21.26803493,-4.64982402,I/327/cmc15,"-c=021.268035 -04.649824,eq=ICRS&-c.rs=0.004",138550.0,0.00526,,2MASS:Ks
21.26803493,-4.64982402,I/327/cmc15,"-c=021.268035 -04.649824,eq=ICRS&-c.rs=0.004",181750.0,0.00499,,2MASS:H
21.26803493,-4.64982402,I/327/cmc15,"-c=021.268035 -04.649824,eq=ICRS&-c.rs=0.004",241960.0,0.00388,,2MASS:J
21.268056154,-4.649828613,I/331/apop,"-c=021.2680562 -04.6498286,eq=ICRS&-c.rs=0.004",138550.0,0.00526,,2MASS:Ks
21.268056154,-4.649828613,I/331/apop,"-c=021.2680562 -04.6498286,eq=ICRS&-c.rs=0.004",181750.0,0.00499,,2MASS:H
21.268056154,-4.649828613,I/331/apop,"-c=021.2680562 -04.6498286,eq=ICRS&-c.rs=0.004",241960.0,0.00388,,2MASS:J
21.255767822,-4.651660025,I/331/apop,"-c=021.2557678 -04.6516600,eq=ICRS&-c.rs=0.004",138550.0,0.000477,,2MASS:Ks
21.255767822,-4.651660025,I/331/apop,"-c=021.2557678 -04.6516600,eq=ICRS&-c.rs=0.004",181750.0,0.000801,,2MASS:H
21.255767822,-4.651660025,I/331/apop,"-c=021.2557678 -04.6516600,eq=ICRS&-c.rs=0.004",241960.0,0.000576,,2MASS:J
21.26805732283,-4.649762234947,I/337/gaia,"-c=021.2680573228 -04.6497622349,eq=ICRS&-c.rs=0.004",445460.0,0.000332,,Gaia:G
21.255884356472,-4.651701495552,I/337/gaia,"-c=021.2558843565 -04.6517014956,eq=ICRS&-c.rs=0.004",445460.0,0.000133,,Gaia:G
21.2558187711,-4.6516849804,I/339/hsoy,"-c=021.2558187711 -04.6516849804,eq=J2000&-c.rs=0.004",181750.0,0.000801,7.5e-05,2MASS:H
21.2558187711,-4.6516849804,I/339/hsoy,"-c=021.2558187711 -04.6516849804,eq=J2000&-c.rs=0.004",241960.0,0.000576,4e-05,2MASS:J
21.2558187711,-4.6516849804,I/339/hsoy,"-c=021.2558187711 -04.6516849804,eq=J2000&-c.rs=0.004",445460.0,0.000133,1e-06,Gaia:G
21.2680489214,-4.6497501731,I/339/hsoy,"-c=021.2680489214 -04.6497501731,eq=J2000&-c.rs=0.004",181750.0,0.00499,0.00048,2MASS:H
21.2680489214,-4.6497501731,I/339/hsoy,"-c=021.2680489214 -04.6497501731,eq=J2000&-c.rs=0.004",241960.0,0.00388,0.00029,2MASS:J
21.2680489214,-4.6497501731,I/339/hsoy,"-c=021.2680489214 -04.6497501731,eq=J2000&-c.rs=0.004",445460.0,0.000332,9e-06,Gaia:G
21.267956193,-4.649847058,I/340/ucac5,"-c=021.2679553 -04.6498478,eq=J2000&-c.rs=0.004",445460.0,0.000332,,Gaia:G
21.25582241561,-4.65161902143,I/343/gps1,"-c=021.255854961 -04.651641238,eq=ICRS&-c.rs=0.004",138550.0,0.000477,8e-05,2MASS:Ks
21.25582241561,-4.65161902143,I/343/gps1,"-c=021.255854961 -04.651641238,eq=ICRS&-c.rs=0.004",181750.0,0.000801,7.5e-05,2MASS:H
21.25582241561,-4.65161902143,I/343/gps1,"-c=021.255854961 -04.651641238,eq=ICRS&-c.rs=0.004",241960.0,0.000576,4e-05,2MASS:J
21.25582241561,-4.65161902143,I/343/gps1,"-c=021.255854961 -04.651641238,eq=ICRS&-c.rs=0.004",312400.0,0.00028,4e-06,PAN-STARRS/PS1:y
21.25582241561,-4.65161902143,I/343/gps1,"-c=021.255854961 -04.651641238,eq=ICRS&-c.rs=0.004",400800.0,0.000189,1e-06,PAN-STARRS/PS1:i
21.25582241561,-4.65161902143,I/343/gps1,"-c=021.255854961 -04.651641238,eq=ICRS&-c.rs=0.004",445460.0,0.000133,1e-06,Gaia:G
21.25582241561,-4.65161902143,I/343/gps1,"-c=021.255854961 -04.651641238,eq=ICRS&-c.rs=0.004",489400.0,0.000111,1e-06,PAN-STARRS/PS1:r
21.25582241561,-4.65161902143,I/343/gps1,"-c=021.255854961 -04.651641238,eq=ICRS&-c.rs=0.004",628200.0,4.58e-05,4e-07,PAN-STARRS/PS1:g
