_RAJ2000,_DEJ2000,_tabname,_ID,sed_freq,sed_flux,sed_eflux,sed_filter
27.760355,-9.7060203,I/297/out,"NOMAD1===0802-0017851&-c=027.7603550 -09.7060203,eq=J2000&-c.rs=",181750.0,0.00294,,2MASS:H
27.760355,-9.7060203,I/297/out,"NOMAD1===0802-0017851&-c=027.7603550 -09.7060203,eq=J2000&-c.rs=",241960.0,0.00116,,2MASS:J
27.76133,-9.705995,I/297/out,"NOMAD1===0802-0017852&-c=027.7613300 -09.7059950,eq=J2000&-c.rs=",181750.0,0.00164,,2MASS:H
27.76133,-9.705995,I/297/out,"NOMAD1===0802-0017852&-c=027.7613300 -09.7059950,eq=J2000&-c.rs=",241960.0,0.00345,,2MASS:J
27.7616728,-9.7050931,I/297/out,"NOMAD1===0802-0017853&-c=027.7616728 -09.7050931,eq=J2000&-c.rs=",181750.0,0.00133,,2MASS:H
27.7616728,-9.7050931,I/297/out,"NOMAD1===0802-0017853&-c=027.7616728 -09.7050931,eq=J2000&-c.rs=",241960.0,0.00322,,2MASS:J
27.7619458,-9.7047542,I/297/out,"NOMAD1===0802-0017854&-c=027.7619458 -09.7047542,eq=J2000&-c.rs=",181750.0,0.00446,,2MASS:H
27.7619458,-9.7047542,I/297/out,"NOMAD1===0802-0017854&-c=027.7619458 -09.7047542,eq=J2000&-c.rs=",241960.0,0.00102,,2MASS:J
27.7625558,-9.7048642,I/297/out,"NOMAD1===0802-0017855&-c=027.7625558 -09.7048642,eq=J2000&-c.rs=",181750.0,0.00525,,2MASS:H
27.7625558,-9.7048642,I/297/out,"NOMAD1===0802-0017855&-c=027.7625558 -09.7048642,eq=J2000&-c.rs=",241960.0,0.00228,,2MASS:J
27.7629839,-9.7045172,I/297/out,"NOMAD1===0802-0017857&-c=027.7629839 -09.7045172,eq=J2000&-c.rs=",181750.0,0.00264,,2MASS:H
27.7629839,-9.7045172,I/297/out,"NOMAD1===0802-0017857&-c=027.7629839 -09.7045172,eq=J2000&-c.rs=",241960.0,0.00464,,2MASS:J
27.7648508,-9.7012481,I/297/out,"NOMAD1===0802-0017861&-c=027.7648508 -09.7012481,eq=J2000&-c.rs=",181750.0,0.00421,,2MASS:H
27.7648508,-9.7012481,I/297/out,"NOMAD1===0802-0017861&-c=027.7648508 -09.7012481,eq=J2000&-c.rs=",241960.0,0.000788,,2MASS:J
27.7649694,-9.7031111,I/297/out,"NOMAD1===0802-0017863&-c=027.7649694 -09.7031111,eq=J2000&-c.rs=",181750.0,0.00791,,2MASS:H
27.7649694,-9.7031111,I/297/out,"NOMAD1===0802-0017863&-c=027.7649694 -09.7031111,eq=J2000&-c.rs=",241960.0,0.0103,,2MASS:J
27.7653769,-9.7057311,I/297/out,"NOMAD1===0802-0017865&-c=027.7653769 -09.7057311,eq=J2000&-c.rs=",181750.0,0.00329,,2MASS:H
27.7653769,-9.7057311,I/297/out,"NOMAD1===0802-0017865&-c=027.7653769 -09.7057311,eq=J2000&-c.rs=",241960.0,0.000639,,2MASS:J
27.7657908,-9.7052081,I/297/out,"NOMAD1===0802-0017866&-c=027.7657908 -09.7052081,eq=J2000&-c.rs=",181750.0,0.0036,,2MASS:H
27.7657908,-9.7052081,I/297/out,"NOMAD1===0802-0017866&-c=027.7657908 -09.7052081,eq=J2000&-c.rs=",241960.0,0.000506,,2MASS:J
27.7659139,-9.7027139,I/297/out,"NOMAD1===0802-0017867&-c=027.7659139 -09.7027139,eq=J2000&-c.rs=",181750.0,0.00906,,2MASS:H
27.7659139,-9.7027139,I/297/out,"NOMAD1===0802-0017867&-c=027.7659139 -09.7027139,eq=J2000&-c.rs=",241960.0,0.0111,,2MASS:J
27.7670528,-9.7021,I/297/out,"NOMAD1===0802-0017872&-c=027.7670528 -09.7021000,eq=J2000&-c.rs=",181750.0,0.00406,,2MASS:H
27.7670528,-9.7021,I/297/out,"NOMAD1===0802-0017872&-c=027.7670528 -09.7021000,eq=J2000&-c.rs=",241960.0,0.00909,,2MASS:J
27.7676222,-9.6995278,I/297/out,"NOMAD1===0803-0017917&-c=027.7676222 -09.6995278,eq=J2000&-c.rs=",181750.0,0.00356,,2MASS:H
