_RAJ2000,_DEJ2000,_tabname,_ID,sed_freq,sed_flux,sed_eflux,sed_filter
196.1798944,-49.5744889,I/297/out,"NOMAD1===0404-0326913&-c=196.1798944 -49.5744889,eq=J2000&-c.rs=",181750.0,0.00069,,2MASS:H
196.1798944,-49.5744889,I/297/out,"NOMAD1===0404-0326913&-c=196.1798944 -49.5744889,eq=J2000&-c.rs=",241960.0,0.00037,,2MASS:J
196.1851056,-49.5696111,I/297/out,"NOMAD1===0404-0326927&-c=196.1851056 -49.5696111,eq=J2000&-c.rs=",181750.0,0.00257,,2MASS:H
196.1851056,-49.5696111,I/297/out,"NOMAD1===0404-0326927&-c=196.1851056 -49.5696111,eq=J2000&-c.rs=",241960.0,0.00259,,2MASS:J
196.1890556,-49.5667611,I/297/out,"NOMAD1===0404-0326939&-c=196.1890556 -49.5667611,eq=J2000&-c.rs=",181750.0,0.00107,,2MASS:H
196.1890556,-49.5667611,I/297/out,"NOMAD1===0404-0326939&-c=196.1890556 -49.5667611,eq=J2000&-c.rs=",241960.0,0.000864,,2MASS:J
196.1952156,-49.5682044,I/297/out,"NOMAD1===0404-0326954&-c=196.1952156 -49.5682044,eq=J2000&-c.rs=",181750.0,0.0127,,2MASS:H
196.1952156,-49.5682044,I/297/out,"NOMAD1===0404-0326954&-c=196.1952156 -49.5682044,eq=J2000&-c.rs=",241960.0,0.0121,,2MASS:J
196.1729833,-49.5635611,I/297/out,"NOMAD1===0404-0326888&-c=196.1729833 -49.5635611,eq=J2000&-c.rs=",181750.0,0.00104,,2MASS:H
196.1729833,-49.5635611,I/297/out,"NOMAD1===0404-0326888&-c=196.1729833 -49.5635611,eq=J2000&-c.rs=",241960.0,0.000879,,2MASS:J
196.195325,-49.56821,I/305/out,"GSC2.3===S93M000047&-c=196.195325 -49.568210,eq=J2000&-c.rs=0.00",382540.0,0.0142,0.0049,POSS-II:i
196.179468,-49.565483,I/305/out,"GSC2.3===S93M085542&-c=196.179468 -49.565483,eq=J2000&-c.rs=0.00",382540.0,0.000195,7.2e-05,POSS-II:i
196.190265,-49.566537,I/305/out,"GSC2.3===S93M085540&-c=196.190265 -49.566537,eq=J2000&-c.rs=0.00",382540.0,0.00275,0.00095,POSS-II:i
196.185195,-49.569575,I/305/out,"GSC2.3===S93M085535&-c=196.185195 -49.569575,eq=J2000&-c.rs=0.00",382540.0,0.00307,0.00107,POSS-II:i
196.179776,-49.574484,I/305/out,"GSC2.3===S93M085524&-c=196.179776 -49.574484,eq=J2000&-c.rs=0.00",382540.0,0.0005,0.000174,POSS-II:i
196.177627,-49.571067,I/305/out,"GSC2.3===S93M085528&-c=196.177627 -49.571067,eq=J2000&-c.rs=0.00",382540.0,0.000262,9.4e-05,POSS-II:i
196.178873,-49.560986,I/305/out,"GSC2.3===S93X027227&-c=196.178873 -49.560986,eq=J2000&-c.rs=0.00",468430.0,2.29e-05,1.16e-05,POSS-II:F
196.171281,-49.566517,I/305/out,"GSC2.3===S93X027022&-c=196.171281 -49.566517,eq=J2000&-c.rs=0.00",468430.0,9.13e-05,3.26e-05,POSS-II:F
196.171281,-49.566517,I/305/out,"GSC2.3===S93X027022&-c=196.171281 -49.566517,eq=J2000&-c.rs=0.00",640580.0,4.93e-06,2.5e-06,POSS-II:J
196.183062,-49.560542,I/305/out,"GSC2.3===S93X067483&-c=196.183062 -49.560542,eq=J2000&-c.rs=0.00",382540.0,0.000216,7.9e-05,POSS-II:i
196.183062,-49.560542,I/305/out,"GSC2.3===S93X067483&-c=196.183062 -49.560542,eq=J2000&-c.rs=0.00",640580.0,0.00012,3.9e-05,POSS-II:J
196.173462,-49.56357,I/305/out,"GSC2.3===S93X075233&-c=196.173462 -49.563570,eq=J2000&-c.rs=0.00",382540.0,0.000405,0.000141,POSS-II:i
196.17977309,-49.57445395,I/317/sample,"PPMXL=5864449900960864445&-c=196.179773 -49.574454,eq=J2000&-c.r",138550.0,0.000515,,2MASS:Ks
196.17977309,-49.57445395,I/317/sample,"PPMXL=5864449900960864445&-c=196.179773 -49.574454,eq=J2000&-c.r",181750.0,0.00069,,2MASS:H
196.17977309,-49.57445395,I/317/sample,"PPMXL=5864449900960864445&-c=196.179773 -49.574454,eq=J2000&-c.r",241960.0,0.00037,5.1e-05,2MASS:J
196.18505597,-49.56957197,I/317/sample,"PPMXL=5864449871641334596&-c=196.185056 -49.569572,eq=J2000&-c.r",138550.0,0.00172,1e-04,2MASS:Ks
196.18505597,-49.56957197,I/317/sample,"PPMXL=5864449871641334596&-c=196.185056 -49.569572,eq=J2000&-c.r",181750.0,0.00257,8e-05,2MASS:H
196.18505597,-49.56957197,I/317/sample,"PPMXL=5864449871641334596&-c=196.185056 -49.569572,eq=J2000&-c.r",241960.0,0.00259,9e-05,2MASS:J
196.18982196,-49.566679,I/317/sample,"PPMXL=5864449852613999610&-c=196.189822 -49.566679,eq=J2000&-c.r",138550.0,0.000702,,2MASS:Ks
196.18982196,-49.566679,I/317/sample,"PPMXL=5864449852613999610&-c=196.189822 -49.566679,eq=J2000&-c.r",181750.0,0.00107,,2MASS:H
196.18982196,-49.566679,I/317/sample,"PPMXL=5864449852613999610&-c=196.189822 -49.566679,eq=J2000&-c.r",241960.0,0.000864,5.9e-05,2MASS:J
196.18986106,-49.56666899,I/317/sample,"PPMXL=5864449852367859594&-c=196.189861 -49.566669,eq=J2000&-c.r",138550.0,0.000702,,2MASS:Ks
196.18986106,-49.56666899,I/317/sample,"PPMXL=5864449852367859594&-c=196.189861 -49.566669,eq=J2000&-c.r",181750.0,0.00107,,2MASS:H
196.18986106,-49.56666899,I/317/sample,"PPMXL=5864449852367859594&-c=196.189861 -49.566669,eq=J2000&-c.r",241960.0,0.000864,5.9e-05,2MASS:J
196.19519091,-49.56819105,I/317/sample,"PPMXL=5864449857770346789&-c=196.195191 -49.568191,eq=J2000&-c.r",138550.0,0.00899,0.00017,2MASS:Ks
196.19519091,-49.56819105,I/317/sample,"PPMXL=5864449857770346789&-c=196.195191 -49.568191,eq=J2000&-c.r",181750.0,0.0127,0.0002,2MASS:H
196.19519091,-49.56819105,I/317/sample,"PPMXL=5864449857770346789&-c=196.195191 -49.568191,eq=J2000&-c.r",241960.0,0.0121,0.0003,2MASS:J
196.17332101,-49.56361997,I/317/sample,"PPMXL=5864448398873042212&-c=196.173321 -49.563620,eq=J2000&-c.r",138550.0,0.000847,8.9e-05,2MASS:Ks
