_RAJ2000,_DEJ2000,_tabname,_ID,sed_freq,sed_flux,sed_eflux,sed_filter
312.3729083,-0.0011556,I/297/out,"NOMAD1===0899-0635378&-c=312.3729083 -00.0011556,eq=J2000&-c.rs=",181750.0,0.00353,,2MASS:H
312.3729083,-0.0011556,I/297/out,"NOMAD1===0899-0635378&-c=312.3729083 -00.0011556,eq=J2000&-c.rs=",241960.0,0.00294,,2MASS:J
312.3804972,0.0020722,I/297/out,"NOMAD1===0900-0631563&-c=312.3804972 +00.0020722,eq=J2000&-c.rs=",181750.0,0.000484,,2MASS:H
312.3804972,0.0020722,I/297/out,"NOMAD1===0900-0631563&-c=312.3804972 +00.0020722,eq=J2000&-c.rs=",241960.0,0.000353,,2MASS:J
312.372922,-0.001188,I/305/out,"GSC2.3===S9VL019493&-c=312.372922 -00.001188,eq=J2000&-c.rs=0.00",382540.0,0.00242,0.00103,POSS-II:i
312.372922,-0.001188,I/305/out,"GSC2.3===S9VL019493&-c=312.372922 -00.001188,eq=J2000&-c.rs=0.00",468430.0,0.00143,0.00063,POSS-II:F
312.372922,-0.001188,I/305/out,"GSC2.3===S9VL019493&-c=312.372922 -00.001188,eq=J2000&-c.rs=0.00",640580.0,0.000402,0.000172,POSS-II:J
312.372922,-0.001188,I/305/out,"GSC2.3===S9VL019493&-c=312.372922 -00.001188,eq=J2000&-c.rs=0.00",674900.0,0.000303,0.00012,Johnson:B
312.373239,0.003254,I/305/out,"GSC2.3===N1S2000819&-c=312.373239 +00.003254,eq=J2000&-c.rs=0.00",468430.0,1.98e-05,1.3e-05,POSS-II:F
312.371626,0.006803,I/305/out,"GSC2.3===N1S2000917&-c=312.371626 +00.006803,eq=J2000&-c.rs=0.00",468430.0,4.41e-05,2.06e-05,POSS-II:F
312.371626,0.006803,I/305/out,"GSC2.3===N1S2000917&-c=312.371626 +00.006803,eq=J2000&-c.rs=0.00",640580.0,4.33e-05,1.89e-05,POSS-II:J
312.371626,0.006803,I/305/out,"GSC2.3===N1S2000917&-c=312.371626 +00.006803,eq=J2000&-c.rs=0.00",674900.0,3.23e-05,1.38e-05,Johnson:B
312.38052,0.00206,I/305/out,"GSC2.3===N1S2000796&-c=312.380520 +00.002060,eq=J2000&-c.rs=0.00",382540.0,0.00031,0.000135,POSS-II:i
312.38052,0.00206,I/305/out,"GSC2.3===N1S2000796&-c=312.380520 +00.002060,eq=J2000&-c.rs=0.00",468430.0,0.000399,0.000174,POSS-II:F
312.38052,0.00206,I/305/out,"GSC2.3===N1S2000796&-c=312.380520 +00.002060,eq=J2000&-c.rs=0.00",640580.0,0.000177,7.6e-05,POSS-II:J
312.38052,0.00206,I/305/out,"GSC2.3===N1S2000796&-c=312.380520 +00.002060,eq=J2000&-c.rs=0.00",674900.0,0.000178,7e-05,Johnson:B
312.372614,0.004485,I/305/out,"GSC2.3===N1S2000850&-c=312.372614 +00.004485,eq=J2000&-c.rs=0.00",468430.0,2.03e-05,1.29e-05,POSS-II:F
312.372614,0.004485,I/305/out,"GSC2.3===N1S2000850&-c=312.372614 +00.004485,eq=J2000&-c.rs=0.00",640580.0,2.89e-05,1.32e-05,POSS-II:J
312.37293911,-0.00119102,I/317/sample,"PPMXL=5186932547596688110&-c=312.372939 -00.001191,eq=J2000&-c.r",138550.0,0.0025,0.00011,2MASS:Ks
312.37293911,-0.00119102,I/317/sample,"PPMXL=5186932547596688110&-c=312.372939 -00.001191,eq=J2000&-c.r",181750.0,0.00353,0.00012,2MASS:H
312.37293911,-0.00119102,I/317/sample,"PPMXL=5186932547596688110&-c=312.372939 -00.001191,eq=J2000&-c.r",241960.0,0.00294,8e-05,2MASS:J
312.38053107,0.00201797,I/317/sample,"PPMXL=5571239733825935587&-c=312.380531 +00.002018,eq=J2000&-c.r",138550.0,0.000363,7.3e-05,2MASS:Ks
312.38053107,0.00201797,I/317/sample,"PPMXL=5571239733825935587&-c=312.380531 +00.002018,eq=J2000&-c.r",181750.0,0.000484,7.9e-05,2MASS:H
312.38053107,0.00201797,I/317/sample,"PPMXL=5571239733825935587&-c=312.380531 +00.002018,eq=J2000&-c.r",241960.0,0.000352,4.7e-05,2MASS:J
312.37294793,-0.00118506,I/319/xpm,"-c=312.372948 -00.001185,eq=ICRS&-c.rs=0.004",138550.0,0.0025,0.00011,2MASS:Ks
312.37294793,-0.00118506,I/319/xpm,"-c=312.372948 -00.001185,eq=ICRS&-c.rs=0.004",181750.0,0.00353,0.00012,2MASS:H
312.37294793,-0.00118506,I/319/xpm,"-c=312.372948 -00.001185,eq=ICRS&-c.rs=0.004",241960.0,0.00294,8e-05,2MASS:J
312.38060188,0.00196004,I/319/xpm,"-c=312.380602 +00.001960,eq=ICRS&-c.rs=0.004",138550.0,0.000363,7.3e-05,2MASS:Ks
312.38060188,0.00196004,I/319/xpm,"-c=312.380602 +00.001960,eq=ICRS&-c.rs=0.004",181750.0,0.000483,7.9e-05,2MASS:H
312.38060188,0.00196004,I/319/xpm,"-c=312.380602 +00.001960,eq=ICRS&-c.rs=0.004",241960.0,0.000352,4.7e-05,2MASS:J
312.3729321,-0.0011439,I/322A/out,"UCAC4===450-129595&-c=312.3729321 -00.0011439,eq=J2000&-c.rs=0.0",138550.0,0.0025,0.00011,2MASS:Ks
312.3729321,-0.0011439,I/322A/out,"UCAC4===450-129595&-c=312.3729321 -00.0011439,eq=J2000&-c.rs=0.0",181750.0,0.00353,0.00013,2MASS:H
312.3729321,-0.0011439,I/322A/out,"UCAC4===450-129595&-c=312.3729321 -00.0011439,eq=J2000&-c.rs=0.0",241960.0,0.00294,8e-05,2MASS:J
312.37297797,-0.00122404,I/327/cmc15,"-c=312.372978 -00.001224,eq=ICRS&-c.rs=0.004",138550.0,0.0025,,2MASS:Ks
312.37297797,-0.00122404,I/327/cmc15,"-c=312.372978 -00.001224,eq=ICRS&-c.rs=0.004",181750.0,0.00353,,2MASS:H
312.37297797,-0.00122404,I/327/cmc15,"-c=312.372978 -00.001224,eq=ICRS&-c.rs=0.004",241960.0,0.00294,,2MASS:J
312.37314,-0.00124194,I/332/kmac2,recno=975330,541430.0,0.000992,0.000268,Johnson:V
