_RAJ2000,_DEJ2000,_tabname,_ID,sed_freq,sed_flux,sed_eflux,sed_filter
11.3776917,-26.5759528,I/297/out,"NOMAD1===0634-0013285&-c=011.3776917 -26.5759528,eq=J2000&-c.rs=",181750.0,0.00116,,2MASS:H
11.3776917,-26.5759528,I/297/out,"NOMAD1===0634-0013285&-c=011.3776917 -26.5759528,eq=J2000&-c.rs=",241960.0,0.00111,,2MASS:J
11.3849139,-26.5652083,I/297/out,"NOMAD1===0634-0013321&-c=011.3849139 -26.5652083,eq=J2000&-c.rs=",181750.0,0.00109,,2MASS:H
11.3849139,-26.5652083,I/297/out,"NOMAD1===0634-0013321&-c=011.3849139 -26.5652083,eq=J2000&-c.rs=",241960.0,0.000839,,2MASS:J
11.37928,-26.573683,I/305/out,"GSC2.3===S0CU007933&-c=011.379280 -26.573683,eq=J2000&-c.rs=0.00",468430.0,4.1e-05,1.79e-05,POSS-II:F
11.386958,-26.574751,I/305/out,"GSC2.3===S0CU007927&-c=011.386958 -26.574751,eq=J2000&-c.rs=0.00",468430.0,1.98e-05,1.24e-05,POSS-II:F
11.386661,-26.574435,I/305/out,"GSC2.3===S0CU007925&-c=011.386661 -26.574435,eq=J2000&-c.rs=0.00",468430.0,2.11e-05,1.25e-05,POSS-II:F
11.385047,-26.565176,I/305/out,"GSC2.3===S0CU000012&-c=011.385047 -26.565176,eq=J2000&-c.rs=0.00",382540.0,0.151,0.06,POSS-II:i
11.385047,-26.565176,I/305/out,"GSC2.3===S0CU000012&-c=011.385047 -26.565176,eq=J2000&-c.rs=0.00",468430.0,0.297,0.115,POSS-II:F
11.385047,-26.565176,I/305/out,"GSC2.3===S0CU000012&-c=011.385047 -26.565176,eq=J2000&-c.rs=0.00",640580.0,0.0746,0.0187,POSS-II:J
11.385047,-26.565176,I/305/out,"GSC2.3===S0CU000012&-c=011.385047 -26.565176,eq=J2000&-c.rs=0.00",674900.0,0.186,0.079,Johnson:B
11.384552,-26.568553,I/305/out,"GSC2.3===S0CU004762&-c=011.384552 -26.568553,eq=J2000&-c.rs=0.00",640580.0,0.0576,0.0145,POSS-II:J
11.377786,-26.57596,I/305/out,"GSC2.3===S0CU004660&-c=011.377786 -26.575960,eq=J2000&-c.rs=0.00",382540.0,0.00103,0.00042,POSS-II:i
11.377786,-26.57596,I/305/out,"GSC2.3===S0CU004660&-c=011.377786 -26.575960,eq=J2000&-c.rs=0.00",468430.0,0.00103,0.0004,POSS-II:F
11.377786,-26.57596,I/305/out,"GSC2.3===S0CU004660&-c=011.377786 -26.575960,eq=J2000&-c.rs=0.00",640580.0,0.000545,0.000142,POSS-II:J
11.377786,-26.57596,I/305/out,"GSC2.3===S0CU004660&-c=011.377786 -26.575960,eq=J2000&-c.rs=0.00",674900.0,0.000503,0.000214,Johnson:B
11.388597,-26.576588,I/305/out,"GSC2.3===S0CU004656&-c=011.388597 -26.576588,eq=J2000&-c.rs=0.00",382540.0,7.23e-05,3.67e-05,POSS-II:i
11.388597,-26.576588,I/305/out,"GSC2.3===S0CU004656&-c=011.388597 -26.576588,eq=J2000&-c.rs=0.00",468430.0,6.09e-05,2.6e-05,POSS-II:F
11.388597,-26.576588,I/305/out,"GSC2.3===S0CU004656&-c=011.388597 -26.576588,eq=J2000&-c.rs=0.00",640580.0,1.49e-05,5.3e-06,POSS-II:J
11.37774992,-26.57601404,I/317/sample,"PPMXL=1494805345542771150&-c=011.377750 -26.576014,eq=J2000&-c.r",138550.0,0.000583,7.4e-05,2MASS:Ks
11.37774992,-26.57601404,I/317/sample,"PPMXL=1494805345542771150&-c=011.377750 -26.576014,eq=J2000&-c.r",181750.0,0.00116,8e-05,2MASS:H
11.37774992,-26.57601404,I/317/sample,"PPMXL=1494805345542771150&-c=011.377750 -26.576014,eq=J2000&-c.r",241960.0,0.00111,5e-05,2MASS:J
11.38499093,-26.56535304,I/317/sample,"PPMXL=1494805453502397539&-c=011.384991 -26.565353,eq=J2000&-c.r",138550.0,0.000949,0.000162,2MASS:Ks
11.38499093,-26.56535304,I/317/sample,"PPMXL=1494805453502397539&-c=011.384991 -26.565353,eq=J2000&-c.r",181750.0,0.00109,0.00025,2MASS:H
11.38499093,-26.56535304,I/317/sample,"PPMXL=1494805453502397539&-c=011.384991 -26.565353,eq=J2000&-c.r",241960.0,0.000838,0.00014,2MASS:J
11.37773395,-26.576015,I/319/xpm,"-c=011.377734 -26.576015,eq=ICRS&-c.rs=0.004",138550.0,0.000583,7.4e-05,2MASS:Ks
11.37773395,-26.576015,I/319/xpm,"-c=011.377734 -26.576015,eq=ICRS&-c.rs=0.004",181750.0,0.00116,8e-05,2MASS:H
11.37773395,-26.576015,I/319/xpm,"-c=011.377734 -26.576015,eq=ICRS&-c.rs=0.004",241960.0,0.00111,5e-05,2MASS:J
11.3778131,-26.5759463,I/320/spm4,"-c=011.3778131 -26.5759463,eq=J2000&-c.rs=0.004",138550.0,0.000583,,2MASS:Ks
11.3778131,-26.5759463,I/320/spm4,"-c=011.3778131 -26.5759463,eq=J2000&-c.rs=0.004",181750.0,0.00116,,2MASS:H
11.3778131,-26.5759463,I/320/spm4,"-c=011.3778131 -26.5759463,eq=J2000&-c.rs=0.004",241960.0,0.00111,,2MASS:J
11.3778131,-26.5759463,I/320/spm4,"-c=011.3778131 -26.5759463,eq=J2000&-c.rs=0.004",541430.0,0.00117,,Johnson:V
11.3778131,-26.5759463,I/320/spm4,"-c=011.3778131 -26.5759463,eq=J2000&-c.rs=0.004",674900.0,0.000976,,Johnson:B
11.385451,-26.5653678,I/320/spm4,"-c=011.3854510 -26.5653678,eq=J2000&-c.rs=0.004",138550.0,0.0107,,2MASS:Ks
11.385451,-26.5653678,I/320/spm4,"-c=011.3854510 -26.5653678,eq=J2000&-c.rs=0.004",181750.0,0.0141,,2MASS:H
11.385451,-26.5653678,I/320/spm4,"-c=011.3854510 -26.5653678,eq=J2000&-c.rs=0.004",241960.0,0.0115,,2MASS:J
11.385451,-26.5653678,I/320/spm4,"-c=011.3854510 -26.5653678,eq=J2000&-c.rs=0.004",541430.0,0.000206,,Johnson:V
11.385451,-26.5653678,I/320/spm4,"-c=011.3854510 -26.5653678,eq=J2000&-c.rs=0.004",674900.0,0.782,,Johnson:B
11.3778215,-26.5759864,I/322A/out,"UCAC4===318-000818&-c=011.3778215 -26.5759864,eq=J2000&-c.rs=0.0",138550.0,0.000583,7.5e-05,2MASS:Ks
11.3778215,-26.5759864,I/322A/out,"UCAC4===318-000818&-c=011.3778215 -26.5759864,eq=J2000&-c.rs=0.0",181750.0,0.00116,7e-05,2MASS:H
11.3778215,-26.5759864,I/322A/out,"UCAC4===318-000818&-c=011.3778215 -26.5759864,eq=J2000&-c.rs=0.0",241960.0,0.00111,5e-05,2MASS:J
11.37782788,-26.57593,I/327/cmc15,"-c=011.377828 -26.575930,eq=ICRS&-c.rs=0.004",181750.0,0.00116,,2MASS:H
