_RAJ2000,_DEJ2000,_tabname,_ID,sed_freq,sed_flux,sed_eflux,sed_filter
36.2728778,-24.7983083,I/297/out,"NOMAD1===0652-0027000&-c=036.2728778 -24.7983083,eq=J2000&-c.rs=",181750.0,0.00041,,2MASS:H
36.2728778,-24.7983083,I/297/out,"NOMAD1===0652-0027000&-c=036.2728778 -24.7983083,eq=J2000&-c.rs=",241960.0,0.000373,,2MASS:J
36.268637,-24.801848,I/305/out,"GSC2.3===S2MW003534&-c=036.268637 -24.801848,eq=J2000&-c.rs=0.00",468430.0,0.00109,0.00043,POSS-II:F
36.268637,-24.801848,I/305/out,"GSC2.3===S2MW003534&-c=036.268637 -24.801848,eq=J2000&-c.rs=0.00",674900.0,0.00085,0.000337,Johnson:B
36.261122,-24.802317,I/305/out,"GSC2.3===S2MW000230&-c=036.261122 -24.802317,eq=J2000&-c.rs=0.00",382540.0,6.12e-05,2.43e-05,POSS-II:i
36.261122,-24.802317,I/305/out,"GSC2.3===S2MW000230&-c=036.261122 -24.802317,eq=J2000&-c.rs=0.00",468430.0,0.000706,0.000266,POSS-II:F
36.261122,-24.802317,I/305/out,"GSC2.3===S2MW000230&-c=036.261122 -24.802317,eq=J2000&-c.rs=0.00",640580.0,0.00101,0.00024,POSS-II:J
36.261122,-24.802317,I/305/out,"GSC2.3===S2MW000230&-c=036.261122 -24.802317,eq=J2000&-c.rs=0.00",674900.0,0.000259,0.000103,Johnson:B
36.27301,-24.803864,I/305/out,"GSC2.3===S2MW003092&-c=036.273010 -24.803864,eq=J2000&-c.rs=0.00",468430.0,2.05e-05,1.11e-05,POSS-II:F
36.266369,-24.800748,I/305/out,"GSC2.3===S2MW003535&-c=036.266369 -24.800748,eq=J2000&-c.rs=0.00",468430.0,0.0143,0.0054,POSS-II:F
36.266369,-24.800748,I/305/out,"GSC2.3===S2MW003535&-c=036.266369 -24.800748,eq=J2000&-c.rs=0.00",640580.0,0.101,0.024,POSS-II:J
36.266369,-24.800748,I/305/out,"GSC2.3===S2MW003535&-c=036.266369 -24.800748,eq=J2000&-c.rs=0.00",674900.0,0.00342,0.00135,Johnson:B
36.274232,-24.803018,I/305/out,"GSC2.3===S2MW012416&-c=036.274232 -24.803018,eq=J2000&-c.rs=0.00",468430.0,2.11e-05,1.14e-05,POSS-II:F
36.271949,-24.798601,I/305/out,"GSC2.3===S2MW003529&-c=036.271949 -24.798601,eq=J2000&-c.rs=0.00",382540.0,0.0108,0.0016,POSS-II:i
36.271949,-24.798601,I/305/out,"GSC2.3===S2MW003529&-c=036.271949 -24.798601,eq=J2000&-c.rs=0.00",468430.0,0.055,0.0207,POSS-II:F
36.271949,-24.798601,I/305/out,"GSC2.3===S2MW003529&-c=036.271949 -24.798601,eq=J2000&-c.rs=0.00",640580.0,0.179,0.043,POSS-II:J
