_RAJ2000,_DEJ2000,_tabname,_ID,sed_freq,sed_flux,sed_eflux,sed_filter
187.7961472,-8.052975,I/297/out,"NOMAD1===0819-0293103&-c=187.7961472 -08.0529750,eq=J2000&-c.rs=",181750.0,0.000499,,2MASS:H
187.7961472,-8.052975,I/297/out,"NOMAD1===0819-0293103&-c=187.7961472 -08.0529750,eq=J2000&-c.rs=",241960.0,0.00043,,2MASS:J
187.794663,-8.044666,I/305/out,"GSC2.3===S6IK007914&-c=187.794663 -08.044666,eq=J2000&-c.rs=0.00",468430.0,2.45e-05,1.55e-05,POSS-II:F
187.796916,-8.050679,I/305/out,"GSC2.3===S6IK007911&-c=187.796916 -08.050679,eq=J2000&-c.rs=0.00",468430.0,2.34e-05,1.54e-05,POSS-II:F
187.793678,-8.052742,I/305/out,"GSC2.3===S6IK007909&-c=187.793678 -08.052742,eq=J2000&-c.rs=0.00",468430.0,3e-05,1.77e-05,POSS-II:F
187.796024,-8.052931,I/305/out,"GSC2.3===S6IK007908&-c=187.796024 -08.052931,eq=J2000&-c.rs=0.00",382540.0,0.000315,0.000131,POSS-II:i
187.796024,-8.052931,I/305/out,"GSC2.3===S6IK007908&-c=187.796024 -08.052931,eq=J2000&-c.rs=0.00",468430.0,6.74e-05,3.01e-05,POSS-II:F
187.794975,-8.042778,I/305/out,"GSC2.3===S6IK010533&-c=187.794975 -08.042778,eq=J2000&-c.rs=0.00",468430.0,2.19e-05,1.23e-05,POSS-II:F
187.789842,-8.054762,I/305/out,"GSC2.3===S6IK011316&-c=187.789842 -08.054762,eq=J2000&-c.rs=0.00",382540.0,0.000146,7.2e-05,POSS-II:i
187.790082,-8.044267,I/305/out,"GSC2.3===S6IK011173&-c=187.790082 -08.044267,eq=J2000&-c.rs=0.00",382540.0,0.000152,7.6e-05,POSS-II:i
187.791082,-8.052814,I/305/out,"GSC2.3===S6IK011168&-c=187.791082 -08.052814,eq=J2000&-c.rs=0.00",382540.0,0.000151,7.5e-05,POSS-II:i
187.789036,-8.047625,I/305/out,"GSC2.3===S6IK010991&-c=187.789036 -08.047625,eq=J2000&-c.rs=0.00",382540.0,0.000807,0.000134,POSS-II:i
187.787667,-8.044781,I/305/out,"GSC2.3===S6IK010981&-c=187.787667 -08.044781,eq=J2000&-c.rs=0.00",382540.0,7.29e-05,3.93e-05,POSS-II:i
187.795476,-8.048665,I/305/out,"GSC2.3===S6IK010527&-c=187.795476 -08.048665,eq=J2000&-c.rs=0.00",382540.0,8.15e-05,4.22e-05,POSS-II:i
187.795476,-8.048665,I/305/out,"GSC2.3===S6IK010527&-c=187.795476 -08.048665,eq=J2000&-c.rs=0.00",468430.0,1.76e-05,1.1e-05,POSS-II:F
187.790212,-8.056484,I/305/out,"GSC2.3===S6IK010522&-c=187.790212 -08.056484,eq=J2000&-c.rs=0.00",382540.0,0.000143,7.3e-05,POSS-II:i
187.790212,-8.056484,I/305/out,"GSC2.3===S6IK010522&-c=187.790212 -08.056484,eq=J2000&-c.rs=0.00",468430.0,3.14e-05,1.59e-05,POSS-II:F
187.789271,-8.046173,I/305/out,"GSC2.3===S6IK010746&-c=187.789271 -08.046173,eq=J2000&-c.rs=0.00",382540.0,7.43e-05,3.85e-05,POSS-II:i
187.790174,-8.045304,I/305/out,"GSC2.3===S6IK010749&-c=187.790174 -08.045304,eq=J2000&-c.rs=0.00",382540.0,0.000167,7.6e-05,POSS-II:i
187.791995,-8.05673,I/305/out,"GSC2.3===S6IK008921&-c=187.791995 -08.056730,eq=J2000&-c.rs=0.00",468430.0,3.44e-05,1.85e-05,POSS-II:F
187.796164751,-8.053355575,I/331/apop,"-c=187.7961648 -08.0533556,eq=ICRS&-c.rs=0.004",138550.0,0.000333,,2MASS:Ks
187.796164751,-8.053355575,I/331/apop,"-c=187.7961648 -08.0533556,eq=ICRS&-c.rs=0.004",181750.0,0.000499,,2MASS:H
187.796164751,-8.053355575,I/331/apop,"-c=187.7961648 -08.0533556,eq=ICRS&-c.rs=0.004",241960.0,0.00043,,2MASS:J
187.79604028983,-8.052963678492,I/337/gaia,"-c=187.7960402898 -08.0529636785,eq=ICRS&-c.rs=0.004",445460.0,6.89e-05,,Gaia:G
187.78950089369,-8.046355346292,I/337/gaia,"-c=187.7895008937 -08.0463553463,eq=ICRS&-c.rs=0.004",445460.0,7.91e-05,,Gaia:G
187.786701348168,-8.0482748751,I/337/gaia,"-c=187.7867013482 -08.0482748751,eq=ICRS&-c.rs=0.004",445460.0,3.06e-05,,Gaia:G
