recno,SN,n_SN,Gname,RAG,DEG,Gi,GVhel,Gtype,mag,l_mag,Type,RA2000,DE2000,Disc,Type II Label
2672,2003hk, ,N 1085,41.605,3.606666666666666,46.0,6789.0,.S..4.,16.0,>,II,41.60733333333333,3.608944444444444,"Moore, Li+; Boles",Type II
2341,2002hj, ,LEDA3092113,44.53999999999999,4.686666666666666,,7075.0, ,17.4,>,II,44.53891666666666,4.684388888888888,"Wood-Vasey, Aldering, Nugent, K.Li",Type II
1642,2000G, ,U 1773,34.56249999999999,13.204999999999998,90.0,3614.0,.SB.6.,17.2,>,II,34.563624999999995,13.205388888888889,Puckett,Type II
2702,2003io, ,U 1761,34.35999999999999,14.579999999999998,,4010.0,.I....,17.1,>,II,34.36195833333333,14.57675,"Puckett, Kerns",Type II
2254,2002ea, ,N  820,32.105,14.349999999999998,57.0,4418.0,.S..3.,17.7,>,IIn,32.104499999999994,14.347999999999995,"Puckett, Newton",Type II
2704,2003iq, ,N  772,29.8325,19.00833333333333,57.0,2472.0,.S..3.,16.4,>,II,29.833166666666664,18.99502777777777,Llapasset,Type II
2673,2003hl, ,N  772,29.8325,19.00833333333333,57.0,2472.0,.S..3.,16.4,>,II,29.83866666666666,19.00402777777777,"Moore, Li+",Type II
2681,2003ht, ,U 2457,44.98,24.225,24.0,10218.0,.S..5.,18.5,>,II,44.97987499999999,24.226888888888887,"Papenkova, Li+",Type II
1567,1999eg, ,I 1861,43.28,25.489999999999995,50.0,6703.0,.LA.0.,17.5,>,II,43.28495833333333,25.490055555555557,Armstrong,Type II
2927,2004eg, ,U 3053,67.03999999999999,21.655,30.0,2407.0,.S..5.,18.4,>,II,67.03441666666666,21.65508333333333,Young,Type II
868,1992be, ,LEDA1817897,60.63749999999999,27.785,,, ,17.0,>,II,60.63620833333332,27.78733333333333,Mueller,Type II
2500,2003as, ,M 08-10-7,82.18749999999999,49.883333333333326,32.0,6962.0,.S..5.,15.7,=,IIn,82.19087499999999,49.883083333333325,Boles,Type II
2129,2002F, ,U 2885,58.25999999999999,35.59,62.0,5802.0,.SAT5.,17.8,>,II,58.24383333333333,35.58355555555555,"Swift, Li +",Type II
2929,2004ei, ,U 2817,55.38499999999999,37.22666666666666,,5755.0,.S?...,17.9,>,II,55.38620833333333,37.22505555555555,Boles,Type II
1827,2001I, ,U 2836,55.98749999999999,39.295,30.0,4963.0,.L..-*,17.2,>,IIn,55.98866666666666,39.29427777777777,"Beckmann, Li +; A. Dimai",Type II
700,1989R, ,U 2912,59.88749999999999,42.615,66.0,5396.0,.S..0.,15.0,>,IIPec:,59.88583333333332,42.61916666666666,"Mueller, Brewer",Type II
1968,2001ev, ,U 2653,49.66,37.60833333333333,73.0,6939.0,.S..6.,18.8,>,II,49.66266666666666,37.60883333333333,"Papenkova, Li +",Type II
1619,1999gg, ,M 07-8-11,51.9975,39.905,51.0,4337.0,.S..5.,16.8,>,II,51.99529166666666,39.90519444444444,Boles,Type II
2472,2003O, ,U 2798,54.54249999999999,40.98333333333333,73.0,4941.0,.SB.4.,16.9,>,II,54.53804166666666,40.97722222222222,Rich,Type II
1748,2000dj, ,N  735,29.157499999999995,34.17666666666666,73.0,4629.0,.S..3.,17.0,>,II,29.169291666666663,34.170111111111105,Lick Observatory Supernova Search,Type II
2657,2003gv, ,M 05-3-66,17.217499999999998,32.099999999999994,24.0,10423.0,.S..2.,18.4,>,II,17.22158333333333,32.09980555555555,"Weisz, Li+",Type II
2931,2004ek, ,U  724,17.4975,32.36833333333333,38.0,5179.0,.S..3.,16.8,>,II,17.493791666666663,32.37991666666666,"Boles, Puckett, Cox",Type II
985,1995Z, ,U  937,20.905,32.629999999999995,,4748.0,.E?...,18.5,>,II,20.909791666666663,32.63141666666666,Mueller,Type II
239,1963N, ,N  536,21.59,34.703333333333326,72.0,5189.0,.SBR3.,17.7,>,II,21.580666666666666,34.70133333333333,Gates,Type II
1544,1999dj, ,P 6612,27.0475,35.398333333333326,,4497.0,D.....,17.4,>,II,27.045625,35.39644444444444,"Puckett, Langoussis",Type II
1931,2001dk, ,U  913,20.5625,34.66833333333333,56.0,5124.0,.S..5.,15.6,>,IIP,20.560791666666663,34.66980555555555,Boles,Type II
2696,2003ii, ,M 06-6-53,38.26749999999999,35.508333333333326,36.0,13491.0,.S..4.,18.4,>,II,38.27,35.50825,Boles,Type II
1639,2000D, ,U 1767,34.52,38.07666666666666,,5176.0,.I..9.,16.2,>,II,34.52016666666666,38.07427777777777,Boles,Type II
863,1992az, ,N  818,32.184999999999995,38.77666666666666,70.0,4244.0,.SB.5*,18.0,>,II,32.19570833333333,38.77258333333333,Pollas,Type II
2934,2004en, ,LEDA2073199,39.1075,35.989999999999995,,, ,18.2,>,II,39.11054166666666,35.99041666666666,Boles,Type II
207,1961V, ,N 1058,40.87499999999999,37.34166666666666,44.0,518.0,.SAT5.,12.3,=,IIPec,40.90174999999999,37.34544444444444,Wild,Type II
2664,2003hc, ,U 1993,37.9175,39.37833333333333,84.0,8018.0,.S..3.,18.1,>,II,37.92516666666666,39.36819444444444,Boles,Type II
2268,2002eo, ,N  710,28.225,36.05333333333333,40.0,6132.0,.S..5.,17.8,>,II,28.229916666666664,36.05616666666666,Li+,Type II
2714,2003ja, ,N  846,33.052499999999995,44.56833333333333,30.0,5118.0,.SB.2.,17.1,>,II:,33.049208333333326,44.57244444444444,"Moore, Li+",Type II
2659,2003gx, ,M 06-3-7,15.73,37.673333333333325,57.0,10203.0,.S..3.,18.5,>,II,15.729541666666664,37.66952777777777,Boles,Type II
1624,1999gl, ,N  317B,14.4175,43.79166666666666,65.0,5429.0,.SB.3.,16.2,>,II,14.416958333333332,43.79322222222222,Boles,Type II
1946,2001dz, ,U  471,11.175,45.42166666666666,32.0,14810.0,.SAS4.,18.1,>,II,11.179708333333332,45.41958333333333,Boles,Type II
1739,2000cz, ,I 1535,3.4899999999999998,48.15833333333333,79.0,5231.0,.S..2.,17.7,>,II,3.4926249999999994,48.15394444444444,Armstrong,Type II
2658,2003gw, ,U 3252,77.93749999999999,67.48833333333333,38.0,6115.0,.SB.5.,17.1,>,II:,77.94866666666665,67.48949999999999,Armstrong,Type II
1972,2001ez, ,P17642,85.65249999999999,69.23666666666665,,3872.0, ,17.6,>,II,85.65683333333332,69.23738888888887,"Hutchings, Li +",Type II
1550,1999dp, ,U 3046,67.32499999999999,69.51666666666665,34.0,4699.0,.S..3.,18.2,>,II,67.31941666666665,69.53349999999999,Lick Observatory Supernova Search,Type II
1929,2001di, ,U 3259,78.5675,72.335,44.0,4939.0,.SX.6.,17.7,>,II,78.57320833333333,72.34472222222222,Armstrong,Type II
1978,2001ff, ,U 4685,134.255,13.198333333333332,69.0,3978.0,.S..4.,17.1,>,II,134.25404166666664,13.19986111111111,Li +,Type II
1828,2001J, ,U 4729,135.17499999999998,17.621666666666663,34.0,3900.0,.SBS5.,17.5,>,II,135.18012499999998,17.621,"Beckmann, Li +",Type II
1644,2000I, ,N 2958,145.17499999999998,11.888333333333332,41.0,6663.0,.SBR4.,17.8,>,II,145.17308333333332,11.885694444444445,"Puckett, George",Type II
1298,1998W, ,N 3075,149.735,14.419999999999998,61.0,3582.0,.S..5.,17.3,>,II,149.72845833333332,14.423805555555552,"Li, Modjaz, Treffers, Filippenko",Type II
2979,2004gg, ,U 5234,146.70749999999998,16.04333333333333,47.0,6017.0,.S..5.,18.5,>,II,146.70458333333332,16.045694444444443,"Moore, Shimasaki, Li+",Type II
1140,1997ab,*,ANON,147.75249999999997,20.075,,3600.0,.Idwf.,14.7,>,II,147.75166666666664,20.07333333333333,Supernova Cosmology Project,Type II
1491,1999bd, ,ANON,142.61999999999998,16.435,,45269.0, ,17.7,>,II,142.62154166666664,16.435499999999998,"Supernova Cosmology Project, Near-Earth Asteroid Tracking project",Type II
2475,2003T, ,U 4864,138.55249999999998,16.741666666666664,27.0,8368.0,.S..2.,17.8,>,II,138.5460833333333,16.746666666666663,"Schwartz, Li +",Type II
1319,1998ar, ,N 2916,143.73999999999998,21.705,48.0,3730.0,.SAT3$,15.3,>,II,143.74524999999997,21.71597222222222,"Qiu, Qiao, Li, Hu",Type II
2850,2004bh, ,U 5161,145.235,27.77833333333333,59.0,10079.0,.S..5.,16.9,>,II,145.23529166666663,27.77961111111111,Armstrong,Type II
1759,2000du, ,U 3920,113.8275,19.046666666666663,44.0,8520.0,.SX.3.,17.7,>,II,113.83241666666665,19.045416666666664,Lick Observatory Supernova Search,Type II
1178,1997bn, ,U 4329,124.75749999999998,21.186666666666664,38.0,4099.0,.SAR5.,16.2,>,II:,124.75916666666664,21.18380555555555,"Qiao, Li, Qiu, Zhang, Hu",Type II
822,1992I, ,N 2565,124.95,22.026666666666664,65.0,3582.0,PSB.4*,18.0,>,II,124.94295833333332,22.03333333333333,Builu,Type II
2163,2002an, ,N 2575,125.6875,24.296666666666663,36.0,3870.0,.SAT5*,15.9,>,II,125.69899999999998,24.294916666666666,Sano,Type II
2560,2003db, ,M 05-23-021,144.24249999999998,31.331666666666663,47.0,8067.0,.S?.3.,17.5,>,II,144.24512499999997,31.33380555555555,"Boles; Schwartz, Holvorcem (LOTOSS)+",Type II
2206,2002ce, ,N 2604,128.34499999999997,29.53833333333333,21.0,2094.0,.SBT5.,16.0,>,II,128.3420833333333,29.533611111111107,Arbour,Type II
2718,2003je, ,N 2668,132.34249999999997,36.70833333333333,59.0,7529.0,.SB.2.,17.9,>,II,132.34266666666664,36.71572222222222,"Burket, Swift, Li+",Type II
1230,1997dn, ,N 3451,163.58749999999998,27.239999999999995,63.0,1334.0,.SB.6.,16.0,>,II,163.5789583333333,27.235361111111107,Hurst,Type II
2851,2004bi, ,U 5894,161.91499999999996,26.294999999999995,62.0,6537.0,.SB.2.,18.7,>,IIb,161.90604166666665,26.30333333333333,"Shimasaki, Li+",Type II
1847,2001ac, ,N 3504,165.795,27.975,24.0,1534.0,RSXS2.,18.0,>,IIn:,165.81404166666664,27.974861111111107,"Beckmann, Li +",Type II
1994,2001fv, ,N 3512,166.0125,28.03666666666666,27.0,1376.0,.SBT5.,16.4,>,II,166.00691666666663,28.032138888888884,Armstrong,Type II
2811,2004U, ,ANON,166.8275,28.54,,, ,17.7,>,II,166.82845833333332,28.53988888888889,"Graham, Swift, Li+",Type II
1097,1996cb,*,N 3510,165.93249999999998,28.884999999999994,76.0,705.0,.SBS7.,13.9,=,IIb,165.92491666666663,28.90380555555555,Aoki,Type II
2946,2004ez, ,N 3430,163.0475,32.95166666666666,58.0,1586.0,.SB.5.,17.2,>,II,163.0629583333333,32.95558333333333,Itagaki,Type II
