recno,SN,n_SN,Gname,RAG,DEG,Gi,GVhel,Gtype,mag,l_mag,Type,RA2000,DE2000,Disc,Type I Label
1010,1995ay, ,ANON,45.28249999999999,0.3566666666666666,,143900.0, ,22.7,>,I:,45.28133333333333,0.3553888888888888,Supernova Cosmology Project,Type I
1432,1998fc, ,ANON,44.8025,3.4983333333333326,,32078.0, ,20.5,>,Ia,44.80254166666666,3.494166666666666,"Gal-Yam, Maoz",Type I
1809,2000fs, ,N 1218,47.10999999999999,4.111666666666666,36.0,8590.0,.S..0.,18.7,>,Ia,47.109333333333325,4.111083333333333,Martel et al.,Type I
2674,2003hm, ,U 2295,42.245,3.168333333333333,71.0,4172.0,.S..3.,17.7,>,Ia,42.24329166666666,3.168777777777777,Boles,Type I
996,1995ak, ,I 1844,41.425,3.2433333333333327,70.0,6811.0,.S..4.,16.2,=,Ia,41.45345833333333,3.2305833333333327,Pollas,Type I
1575,1999eo, ,ANON,40.05499999999999,4.914999999999999,,23983.0, ,19.6,>,Ia,40.05499999999999,4.914805555555555,Nearby Galaxies Supernova Search team,Type I
2330,2002gy, ,U 2701,50.64999999999999,9.473333333333333,90.0,7285.0,.S..4.,17.6,>,Ib/c,50.65187499999999,9.472777777777775,"Beutler, Li+",Type I
2389,2002jf, ,ANON,38.6475,12.29,,23683.0, ,17.8,>,Ia,38.647625,12.290388888888888,"Wood-Vasey, Aldering, Nugent, Rudas",Type I
1943,2001dw, ,N 1168,45.19499999999999,11.771666666666665,60.0,7627.0,.SXT3*,16.6,>,Ia,45.19949999999999,11.774305555555554,Boles,Type I
2709,2003iv, ,P10738,42.5375,12.843333333333332,,10285.0, ,17.1,>,Ia,42.53020833333333,12.846249999999998,"Burket, Li+",Type I
956,1994al, ,ANON,46.5925,17.31,,125913.0, ,22.6,>,Ia,46.59354166666666,17.30936111111111,Supernova Cosmology Project,Type I
2767,2003lb, ,U 2850,56.26999999999999,20.761666666666663,71.0,5425.0,.S..9.,15.8,>,Ia,56.273625,20.760916666666663,Ory,Type I
1551,1999dq, ,N  976,38.49999999999999,20.976666666666663,32.0,4295.0,.SAT5.,14.7,>,IaPec,38.49866666666666,20.975111111111108,Lick Observatory Supernova Search,Type I
1579,1999es, ,LEDA1670133,38.185,22.451666666666664,,20985.0, ,18.5,>,Ia,38.180833333333325,22.45222222222222,Mueller,Type I
2708,2003iu, ,U 1393,28.8525,21.286666666666665,65.0,12320.0,.L..-.,16.4,>,Ia,28.852291666666662,21.285111111111107,Armstrong,Type I
699,1989Q, ,LEDA1663250,26.395,22.086666666666662,,17688.0, ,18.7,>,Ia,26.394041666666663,22.08797222222222,Pollas,Type I
1543,1999di, ,N  776,29.9775,23.645,17.0,4921.0,.SBT3.,18.0,>,Ib,29.97858333333333,23.63963888888889,"Puckett, Langoussis",Type I
2928,2004eh, ,U 1892,36.5525,27.603333333333328,38.0,9997.0,.SB.3.,17.1,>,Ib,36.54925,27.60669444444444,Boles,Type I
701,1989S, ,I  226,36.94,28.20833333333333,30.0,10894.0,.S..5.,19.0,>,Ia,36.94458333333333,28.20083333333333,Mueller,Type I
2261,2002eh, ,N  917,36.53249999999999,31.91333333333333,57.0,5388.0,.S..2.,16.4,>,Ia,36.53520833333333,31.91255555555555,"Swift, Li+; Boles",Type I
1995,2001fw, ,U 2116,39.54749999999999,30.84833333333333,32.0,8853.0,.S..7.,18.2,>,Ib,39.54354166666666,30.848499999999994,"Puckett, Marcus",Type I
2950,2004fd, ,N 1060,40.81249999999999,32.425,,5190.0,.L..-.,15.7,>,Ia,40.81354166666666,32.42377777777777,Boles,Type I
547,1982V, ,U 2156,40.07999999999999,32.26,30.0,4488.0,.SAR5.,15.1,=,I,40.07870833333333,32.26649999999999,Wild,Type I
1232,1997dp, ,N  969,38.53249999999999,32.946666666666665,43.0,4513.0,.L....,17.8,>,Ia,38.527,32.93705555555555,Christen,Type I
2684,2003hw, ,LEDA2069317,45.4575,35.743333333333325,,, ,18.3,>,Ia,45.45841666666666,35.74344444444444,"Graham, Li+",Type I
237,1963L, ,U 2259,41.9825,37.53833333333333,43.0,583.0,.SBS7.,15.0,>,I,41.973125,37.531277777777774,Reaves,Type I
2505,2003ay, ,ANON,61.85999999999999,28.129999999999995,,21885.0, ,19.1,>,Ia,61.85937499999999,28.132055555555556,"Wood-Vasey, Aldering, Nugent",Type I
2687,2003hz, ,P17866,87.03499999999998,46.255,,6047.0, ,16.7,>,Ia,87.03275,46.25633333333333,"Singer, Beutler, Swift, Li+",Type I
2001,2001gc, ,U 3375,88.85499999999999,51.91166666666666,62.0,5783.0,.SAT5.,15.5,>,Ia,88.85891666666666,51.9095,"Schwartz, Li +",Type I
2695,2003ih, ,U 2836,55.98749999999999,39.295,30.0,4963.0,.L..-.,18.1,>,Ib/c,55.99049999999999,39.295333333333325,Armstrong,Type I
2694,2003ig, ,U 2971,62.42999999999999,37.01,55.0,5881.0,.S..5.,18.2,>,Ic,62.43124999999999,37.012722222222216,"Graham, Li+",Type I
2272,2002es, ,U 2708,50.95249999999999,40.55833333333333,17.0,8523.0,.L....,16.0,=,IaPec,50.94679166666666,40.56486111111111,"Li, Swift, Ganeshalingam+",Type I
