JD,fqbol,fqbol_err,ircorr,ircorr_err,uvcorr,uvcorr_err,fbol,fbol_err
2453249.7,4.44e-13,7.787e-15,1.018e-13,2.412e-15,7.963e-14,2.5239999999999998e-29,6.254e-13,8.152e-15
2453250.6,4.405e-13,7.512e-15,1.004e-13,1.937e-15,8.209e-14,2.5239999999999998e-29,6.23e-13,7.757e-15
2453251.64,4.399e-13,7.341e-15,9.806e-14,2.08e-15,8.308e-14,1.2619999999999999e-29,6.21e-13,7.63e-15
2453253.6,4.482e-13,7.478e-15,1.042e-13,1.588e-15,8.315e-14,0.0,6.355e-13,7.645e-15
2453256.59,4.606e-13,7.953e-15,1.085e-13,1.783e-15,8.354e-14,1.2619999999999999e-29,6.527e-13,8.151e-15
2453257.59,4.632e-13,7.922e-15,1.076e-13,1.967e-15,8.392e-14,2.5239999999999998e-29,6.547e-13,8.163e-15
2453259.56,4.726e-13,8.067e-15,1.157e-13,1.858e-15,8.134e-14,2.5239999999999998e-29,6.697e-13,8.278e-15
2453260.57,4.658e-13,7.964e-15,1.111e-13,1.853e-15,8.007e-14,0.0,6.569e-13,8.177e-15
2453261.52,4.638e-13,7.8e-15,1.088e-13,1.623e-15,8.209e-14,2.5239999999999998e-29,6.547e-13,7.967e-15
2453262.53,4.612e-13,8.365e-15,1.105e-13,1.813e-15,8.015e-14,2.5239999999999998e-29,6.519e-13,8.56e-15
2453263.55,4.507e-13,7.971e-15,1.09e-13,1.905e-15,7.514e-14,1.2619999999999999e-29,6.349e-13,8.196e-15
2453264.56,4.521e-13,8.055e-15,1.136e-13,1.939e-15,7.276e-14,0.0,6.385e-13,8.285e-15
2453265.7,4.407e-13,8.003e-15,1.146e-13,1.883e-15,6.891e-14,2.5239999999999998e-29,6.243e-13,8.222e-15
2453266.58,4.409e-13,7.732e-15,1.185e-13,1.89e-15,6.828e-14,2.5239999999999998e-29,6.276e-13,7.96e-15
2453267.57,4.244e-13,7.651e-15,1.13e-13,1.926e-15,6.581e-14,1.2619999999999999e-29,6.033e-13,7.89e-15
2453268.58,4.029e-13,7.624e-15,9.829e-14,2.165e-15,6.515e-14,1.2619999999999999e-29,5.663e-13,7.926e-15
2453269.57,4.088e-13,6.981e-15,1.13e-13,1.134e-15,6.204e-14,0.0,5.838e-13,7.072e-15
2453272.6,3.697e-13,6.899e-15,9.712e-14,2.306e-15,5.721e-14,2.5239999999999998e-29,5.24e-13,7.274e-15
2453273.63,3.513e-13,7.47e-15,9.731e-14,3.404e-15,4.449e-14,1.2619999999999999e-29,4.931e-13,8.209e-15
2453274.58,3.477e-13,6.87e-15,7.038e-14,6.273e-15,4.861e-14,1.893e-29,4.667e-13,9.303e-15
2453275.61,3.395e-13,7.157e-15,7.447e-14,5.757e-15,4.198e-14,6.311000000000001e-30,4.559e-13,9.185e-15
2453276.7,2.952e-13,7.136e-15,5.792e-14,5.167e-15,4.328e-14,1.893e-29,3.964e-13,8.811e-15
2453277.55,3.103e-13,6.543e-15,7.163e-14,5.552e-15,3.518e-14,0.0,4.171e-13,8.581e-15
2453278.56,2.811e-13,6.221e-15,6.762e-14,5.229e-15,3.008e-14,6.311000000000001e-30,3.788e-13,8.126e-15
2453279.57,2.578e-13,5.778e-15,6.298e-14,4.834e-15,2.716e-14,9.466e-30,3.479e-13,7.533e-15
2453280.56,2.45e-13,5.467e-15,6.445e-14,4.952e-15,2.292e-14,3.155e-30,3.323e-13,7.377e-15
2453281.56,2.336e-13,5.374e-15,6.575e-14,5.034e-15,1.987e-14,6.311000000000001e-30,3.192e-13,7.364e-15
2453282.55,2.169e-13,5.216e-15,6.134e-14,4.951e-15,1.836e-14,6.311000000000001e-30,2.966e-13,7.191e-15
