JD,fqbol,fqbol_err,ircorr,ircorr_err,uvcorr,uvcorr_err,fbol,fbol_err
2453262.91,5.493e-12,8.86e-14,6.888e-13,7.71e-14,8.008e-13,1.01e-28,6.983e-12,1.174e-13
2453263.91,5.478e-12,8.194e-14,6.625e-13,1.52e-14,7.891e-13,0.0,6.93e-12,8.334e-14
2453264.9,5.467e-12,7.944e-14,6.652e-13,1.369e-14,7.711e-13,0.0,6.903e-12,8.061e-14
2453265.91,5.447e-12,8.272e-14,6.824e-13,1.814e-14,7.453e-13,1.01e-28,6.875e-12,8.468e-14
2453266.91,5.419e-12,8.848e-14,5.811e-13,2.439e-14,7.405e-13,2.019e-28,6.741e-12,9.178e-14
2453267.9,5.663e-12,1.284e-13,7.597e-13,4.358e-14,7.243e-13,1.01e-28,7.147e-12,1.356e-13
2453268.9,5.36e-12,8.071e-14,6.959e-13,1.778e-14,6.987e-13,0.0,6.754e-12,8.265e-14
2453271.9,5.279e-12,8.556e-14,7.221e-13,1.93e-14,6.612e-13,1.01e-28,6.662e-12,8.771e-14
2453272.9,5.265e-12,8.242e-14,7.168e-13,1.964e-14,6.449e-13,1.01e-28,6.626e-12,8.472e-14
2453273.9,5.263e-12,8.344e-14,7.495e-13,1.885e-14,6.074e-13,0.0,6.62e-12,8.554e-14
2453274.88,5.207e-12,8.351e-14,7.184e-13,1.849e-14,6.239e-13,1.01e-28,6.55e-12,8.553e-14
2453276.9,5.107e-12,8.196e-14,7.084e-13,2.038e-14,5.849e-13,0.0,6.4e-12,8.446e-14
2453277.89,5.122e-12,8.408e-14,7.339e-13,1.949e-14,5.711e-13,3.029e-28,6.427e-12,8.631e-14
2453279.89,5.003e-12,8.255e-14,7.137e-13,1.957e-14,5.474e-13,0.0,6.264e-12,8.484e-14
2453280.88,5.019e-12,7.933e-14,7.275e-13,1.856e-14,5.257e-13,1.01e-28,6.272e-12,8.147e-14
2453281.88,5.043e-12,8.353e-14,7.728e-13,1.973e-14,5.276e-13,0.0,6.344e-12,8.583e-14
2453282.87,5.023e-12,8.269e-14,7.589e-13,1.958e-14,5.189e-13,1.01e-28,6.3e-12,8.498e-14
2453287.84,4.925e-12,8.002e-14,7.777e-13,2.344e-14,4.79e-13,0.0,6.182e-12,8.338e-14
2453288.86,4.904e-12,8.545e-14,7.696e-13,1.984e-14,4.746e-13,0.0,6.149e-12,8.772e-14
2453291.89,4.831e-12,8.684e-14,7.93e-13,2.694e-14,4.449e-13,2.524e-28,6.069e-12,9.092e-14
2453295.86,4.744e-12,7.989e-14,8.171e-13,2.062e-14,4.099e-13,1.01e-28,5.971e-12,8.251e-14
