JD,fqbol,fqbol_err,ircorr,ircorr_err,uvcorr,uvcorr_err,fbol,fbol_err
2453274.76,2.386e-12,7.472e-15,2.405e-13,1.868e-15,1.139e-12,1.469e-14,3.765e-12,1.659e-14
2453275.78,2.583e-12,7.442e-15,2.971e-13,2.459e-15,1.005e-12,1.388e-14,3.886e-12,1.594e-14
2453276.78,2.761e-12,7.693e-15,3.499e-13,3.362e-15,9.461e-13,1.442e-14,4.057e-12,1.668e-14
2453277.75,3.158e-12,5.415e-15,1.815e-13,8.864e-16,1.015e-12,6.869e-15,4.354e-12,8.792e-15
2453277.75,3.185e-12,9.688e-15,1.876e-13,2.102e-15,1.002e-12,1.517e-14,4.375e-12,1.812e-14
2453278.79,3.33e-12,1.226e-14,2.172e-13,1.128e-15,1.039e-12,6.308e-15,4.586e-12,1.383e-14
2453279.74,3.446e-12,1.095e-14,2.212e-13,2.479e-15,9.342e-13,1.321e-14,4.602e-12,1.734e-14
2453280.75,3.591e-12,1.059e-14,2.35e-13,2.728e-15,9.431e-13,1.405e-14,4.77e-12,1.781e-14
2453281.76,3.672e-12,9.013e-15,2.462e-13,2.241e-15,9.185e-13,1.144e-14,4.837e-12,1.474e-14
2453281.76,3.683e-12,6.735e-15,2.552e-13,1.223e-15,8.619e-13,5.461e-15,4.8e-12,8.756e-15
2453282.73,3.719e-12,1.044e-14,2.645e-13,2.249e-15,8.214e-13,9.127e-15,4.805e-12,1.405e-14
2453284.88,3.771e-12,2.49e-14,2.499e-13,1.681e-15,9.079e-13,7.275e-15,4.929e-12,2.6e-14
2453287.75,3.795e-12,3.29e-14,3.247e-13,2.358e-15,6.251e-13,5.535e-15,4.745e-12,3.345e-14
2453289.83,3.765e-12,3.55e-14,3.333e-13,2.425e-15,5.839e-13,4.966e-15,4.682e-12,3.593e-14
2453291.81,3.749e-12,3.706e-14,3.635e-13,2.018e-15,5.088e-13,3.776e-15,4.621e-12,3.731e-14
2453295.83,3.678e-12,3.102e-14,4.197e-13,2.814e-15,3.337e-13,1.01e-28,4.432e-12,3.114e-14
2453299.75,3.634e-12,1.261e-14,4.806e-13,2.736e-15,2.252e-13,5.048999999999999e-29,4.34e-12,1.29e-14
