JD,fqbol,fqbol_err,ircorr,ircorr_err,uvcorr,uvcorr_err,fbol,fbol_err
2453298.65,9.454e-13,1.394e-14,1.467e-13,3.166e-15,1.388e-13,0.0,1.231e-12,1.43e-14
2453299.57,9.349e-13,1.491e-14,1.412e-13,6.891e-15,1.397e-13,0.0,1.216e-12,1.642e-14
2453314.52,8.176e-13,1.226e-14,1.213e-13,2.282e-15,9.018e-14,1.2619999999999999e-29,1.029e-12,1.247e-14
2453315.52,8.345e-13,1.252e-14,1.301e-13,2.513e-15,9.211e-14,2.5239999999999998e-29,1.057e-12,1.277e-14
2453316.53,8.319e-13,1.666e-14,1.323e-13,4.354e-15,8.943e-14,0.0,1.054e-12,1.722e-14
2453320.57,7.865e-13,1.259e-14,1.146e-13,8.432e-15,8.596e-14,1.2619999999999999e-29,9.871e-13,1.515e-14
2453330.54,7.707e-13,1.206e-14,1.172e-13,8.56e-15,8.03e-14,2.5239999999999998e-29,9.682e-13,1.479e-14
2453332.54,7.752e-13,1.283e-14,1.193e-13,9.068e-15,7.891e-14,3.7869999999999997e-29,9.734e-13,1.571e-14
2453335.58,7.886e-13,1.249e-14,1.233e-13,9.082e-15,7.364e-14,0.0,9.856e-13,1.545e-14
2453345.53,7.075e-13,1.167e-14,1.131e-13,7.681e-15,5.706e-14,1.2619999999999999e-29,8.777e-13,1.397e-14
2453353.55,6.248e-13,1.056e-14,1.089e-13,7.738e-15,4.612e-14,1.2619999999999999e-29,7.798e-13,1.309e-14
