JD,fqbol,fqbol_err,ircorr,ircorr_err,uvcorr,uvcorr_err,fbol,fbol_err
2453300.73,1.415e-11,5.147e-14,6.575e-13,9.029e-15,7.839e-12,1.476e-13,2.265e-11,1.566e-13
2453301.69,1.411e-11,2.633e-14,6.97e-13,5.026e-15,7.365e-12,7.092e-14,2.217e-11,7.582e-14
2453301.78,1.403e-11,2.271e-14,6.852e-13,3.669e-15,7.427e-12,5.144e-14,2.214e-11,5.635e-14
2453302.72,1.379e-11,2.66e-14,6.42e-13,5.587e-15,7.605e-12,8.285e-14,2.204e-11,8.719e-14
2453303.71,1.362e-11,2.884e-14,6.923e-13,6.186e-15,6.502e-12,6.956e-14,2.082e-11,7.556e-14
2453305.69,1.339e-11,3.114e-14,7.665e-13,7.785e-15,5.293e-12,6.005e-14,1.945e-11,6.809e-14
2453306.74,1.303e-11,4.193e-14,7.394e-13,6.721e-15,5.168e-12,4.396e-14,1.894e-11,6.112e-14
2453307.72,1.301e-11,2.556e-14,7.806e-13,7.247e-15,4.597e-12,4.735e-14,1.839e-11,5.429e-14
2453308.7,1.3e-11,3.116e-14,8.255e-13,1.619e-14,2.657e-12,4.875e-13,1.648e-11,4.888e-13
2453309.76,1.286e-11,2.691e-14,9.016e-13,1.058e-14,2.338e-12,4.039000000000001e-28,1.61e-11,2.891e-14
2453310.76,1.269e-11,2.611e-14,8.465e-13,8.548e-15,2.115e-12,4.039000000000001e-28,1.565e-11,2.747e-14
2453311.73,1.286e-11,2.594e-14,9.424e-13,7.811e-15,1.972e-12,0.0,1.577e-11,2.709e-14
2453311.76,1.292e-11,3.168e-14,8.941e-13,9.449e-15,1.967e-12,4.039000000000001e-28,1.578e-11,3.305e-14
2453312.67,1.289e-11,5.042e-14,1.132e-12,1.648e-14,1.784e-12,6.058e-28,1.581e-11,5.304e-14
2453313.72,1.269e-11,4.76e-14,9.094e-13,4.319e-15,1.861e-12,4.039000000000001e-28,1.546e-11,4.78e-14
2453314.72,1.257e-11,3.668e-14,8.842e-13,4.909e-15,1.473e-12,4.039000000000001e-28,1.493e-11,3.701e-14
2453315.69,1.244e-11,5.087e-14,8.707e-13,6.939e-15,1.349e-12,2.019e-28,1.466e-11,5.134e-14
2453316.77,1.223e-11,1.052e-13,8.958e-13,1.007e-14,1.224e-12,4.039000000000001e-28,1.435e-11,1.057e-13
2453320.68,1.171e-11,5.34e-14,9.162e-13,6.962e-15,7.967e-13,3.029e-28,1.343e-11,5.385e-14
2453321.72,1.151e-11,6.021e-14,9.277e-13,6.908e-15,7.004e-13,0.0,1.314e-11,6.061e-14
2453323.69,1.105e-11,3.363e-14,9.865e-13,7.167e-15,4.986e-13,1.01e-28,1.254e-11,3.439e-14
2453328.63,1.057e-11,8.633e-14,1.179e-12,6.951e-15,3.371e-13,5.048999999999999e-29,1.209e-11,8.661e-14
