JD,fqbol,fqbol_err,ircorr,ircorr_err,uvcorr,uvcorr_err,fbol,fbol_err
2453320.78,2.707e-12,2.522e-14,1.665e-13,2.554e-15,4.399e-13,1.01e-28,3.314e-12,2.534e-14
2453321.85,2.694e-12,2.107e-14,1.724e-13,2.281e-15,3.957e-13,0.0,3.262e-12,2.119e-14
2453323.85,2.652e-12,1.451e-14,1.888e-13,2.023e-15,3.346e-13,1.01e-28,3.175e-12,1.465e-14
2453324.85,2.639e-12,1.315e-14,1.935e-13,2.338e-15,2.952e-13,5.048999999999999e-29,3.127e-12,1.335e-14
2453325.81,2.583e-12,1.198e-14,2.004e-13,2.275e-15,2.69e-13,5.048999999999999e-29,3.052e-12,1.219e-14
2453327.79,2.587e-12,6.955e-15,2.098e-13,1.513e-15,2.388e-13,5.048999999999999e-29,3.036e-12,7.118e-15
2453328.76,2.583e-12,5.439e-15,2.128e-13,1.262e-15,2.256e-13,5.048999999999999e-29,3.022e-12,5.584e-15
2453330.75,2.586e-12,6.482e-15,2.255e-13,1.329e-15,1.947e-13,5.048999999999999e-29,3.007e-12,6.617e-15
2453332.71,2.615e-12,7.921e-15,2.318e-13,1.639e-15,1.927e-13,7.573e-29,3.04e-12,8.088e-15
2453336.83,2.657e-12,8.514e-15,2.448e-13,1.434e-15,1.659e-13,5.048999999999999e-29,3.067e-12,8.634e-15
2453336.85,2.654e-12,7.654e-15,2.396e-13,1.984e-15,1.536e-13,0.0,3.047e-12,7.907e-15
2453338.84,2.667e-12,1.149e-14,2.542e-13,1.989e-15,1.449e-13,0.0,3.066e-12,1.166e-14
2453342.84,2.681e-12,1.555e-14,2.681e-13,2.493e-15,1.323e-13,0.0,3.082e-12,1.575e-14
2453345.79,2.679e-12,1.637e-14,2.695e-13,2.411e-15,1.244e-13,0.0,3.073e-12,1.655e-14
2453349.73,2.654e-12,2.534e-14,2.653e-13,2.61e-15,1.195e-13,0.0,3.039e-12,2.547e-14
2453362.7,2.479e-12,3.037e-14,2.573e-13,2.467e-15,8.817e-14,0.0,2.825e-12,3.047e-14
2453363.77,2.466e-12,2.992e-14,2.586e-13,2.991e-15,9.216e-14,2.5239999999999998e-29,2.817e-12,3.007e-14
2453369.65,2.353e-12,1.508e-14,2.491e-13,2.061e-15,8.436e-14,2.5239999999999998e-29,2.687e-12,1.522e-14
2453373.75,2.241e-12,7.255e-15,2.342e-13,1.637e-15,6.813e-14,1.2619999999999999e-29,2.543e-12,7.437e-15
2453375.66,2.187e-12,7.274e-15,2.239e-13,1.659e-15,6.639e-14,1.2619999999999999e-29,2.477e-12,7.461e-15
2453380.63,2.016e-12,6.905e-15,2.093e-13,1.57e-15,5.719e-14,1.2619999999999999e-29,2.283e-12,7.082e-15
2453386.7,1.766e-12,5.251e-15,1.801e-13,1.198e-15,4.761e-14,1.893e-29,1.993e-12,5.386e-15
2453387.66,1.726e-12,6.008e-15,1.737e-13,1.274e-15,4.683e-14,0.0,1.947e-12,6.141e-15
2453394.7,1.323e-12,5.503e-15,1.48e-13,1.204e-15,2.535e-13,1.01e-28,1.725e-12,5.633e-15
2453396.64,1.23e-12,4.645e-15,1.383e-13,1.067e-15,2.333e-13,5.048999999999999e-29,1.602e-12,4.766e-15
2453398.62,1.147e-12,3.99e-15,1.277e-13,9.718e-16,2.056e-13,5.048999999999999e-29,1.48e-12,4.107e-15
2453398.63,1.136e-12,3.215e-15,1.27e-13,9.209e-16,2.045e-13,5.048999999999999e-29,1.468e-12,3.344e-15
2453399.62,1.079e-12,3.984e-15,1.224e-13,9.991e-16,1.921e-13,7.573e-29,1.393e-12,4.107e-15
2453401.64,9.972e-13,4.598e-15,1.14e-13,1.153e-15,1.678e-13,2.5239999999999998e-29,1.279e-12,4.74e-15
2453404.65,8.374e-13,4.095e-15,9.665e-14,1.148e-15,1.366e-13,0.0,1.071e-12,4.253e-15
2453406.63,7.14e-13,4.047e-15,8.893e-14,1.174e-15,1.111e-13,2.5239999999999998e-29,9.141e-13,4.214e-15
2453408.61,5.827e-13,3.52e-15,8.3e-14,1.151e-15,8.772e-14,2.5239999999999998e-29,7.534e-13,3.703e-15
2453409.61,5.232e-13,3.543e-15,7.999e-14,1.224e-15,7.196e-14,1.2619999999999999e-29,6.751e-13,3.748e-15
2453410.62,4.582e-13,3.231e-15,7.494e-14,1.237e-15,5.627e-14,1.893e-29,5.894e-13,3.46e-15
2453411.59,4.206e-13,3.168e-15,7.403e-14,1.222e-15,4.776e-14,0.0,5.424e-13,3.396e-15
2453412.59,3.837e-13,2.869e-15,7.183e-14,1.169e-15,3.473e-14,6.311000000000001e-30,4.902e-13,3.098e-15
2453413.64,3.68e-13,2.629e-15,6.793e-14,1.068e-15,4.073e-14,1.2619999999999999e-29,4.766e-13,2.837e-15
2453414.61,3.51e-13,2.256e-15,6.319e-14,9.577e-16,3.541e-14,6.311000000000001e-30,4.496e-13,2.451e-15
2453416.6,3.244e-13,2.259e-15,5.773e-14,8.056e-16,3.118e-14,0.0,4.133e-13,2.398e-15
2453417.62,3.206e-13,2.051e-15,5.514e-14,7.357e-16,3.492e-14,6.311000000000001e-30,4.106e-13,2.179e-15
2453418.61,3.218e-13,2.917e-15,5.339e-14,9.042e-16,0.0,0.0,3.752e-13,3.054e-15
2453418.63,3.124e-13,1.318e-15,4.989e-14,5.436e-16,0.0,0.0,3.623e-13,1.426e-15
2453419.62,3.073e-13,2.337e-15,5.2e-14,7.115e-16,0.0,0.0,3.593e-13,2.443e-15
2453420.59,3.124e-13,3.058e-15,4.903e-14,5.496e-16,0.0,0.0,3.614e-13,3.107e-15
2453421.62,3.073e-13,3.079e-15,5.12e-14,9.587e-16,0.0,0.0,3.585e-13,3.225e-15
2453422.56,2.991e-13,2.119e-15,4.933e-14,7.122e-16,0.0,0.0,3.484e-13,2.236e-15
2453423.63,2.957e-13,5.124e-15,4.907e-14,6.745e-16,0.0,0.0,3.447e-13,5.168e-15
2453424.58,2.907e-13,2.678e-15,4.833e-14,6.187e-16,0.0,0.0,3.39e-13,2.748e-15
2453425.58,2.851e-13,3.666e-15,5.278e-14,9.492e-16,0.0,0.0,3.379e-13,3.787e-15
2453426.59,2.907e-13,2.876e-15,4.9e-14,7.976e-16,0.0,0.0,3.397e-13,2.984e-15
2453427.59,2.878e-13,2.727e-15,4.916e-14,7.791e-16,0.0,0.0,3.369e-13,2.836e-15
2453428.54,2.82e-13,2.176e-15,4.695e-14,5.84e-16,0.0,0.0,3.29e-13,2.253e-15
2453428.54,2.834e-13,1.31e-15,4.693e-14,5.322e-16,0.0,0.0,3.304e-13,1.414e-15
2453430.59,2.762e-13,2.229e-15,4.825e-14,7.029e-16,0.0,0.0,3.244e-13,2.337e-15
2453431.57,2.77e-13,2.15e-15,4.657e-14,6.706e-16,0.0,0.0,3.236e-13,2.252e-15
2453444.52,2.529e-13,3.223e-15,4.385e-14,1.042e-15,0.0,0.0,2.967e-13,3.388e-15
2453445.54,2.527e-13,2.986e-15,4.18e-14,9.973e-16,0.0,0.0,2.945e-13,3.148e-15
2453446.54,2.448e-13,2.829e-15,4.123e-14,1.04e-15,0.0,0.0,2.86e-13,3.014e-15
2453451.51,2.383e-13,2.533e-15,3.686e-14,8.885e-16,0.0,0.0,2.752e-13,2.684e-15
2453452.51,2.306e-13,2.305e-15,3.648e-14,7.538e-16,0.0,0.0,2.671e-13,2.425e-15
2453453.52,2.341e-13,2.422e-15,3.624e-14,7.718e-16,0.0,0.0,2.703e-13,2.542e-15
2453454.52,2.285e-13,1.608e-15,3.357e-14,7.883e-16,0.0,0.0,2.621e-13,1.791e-15
2453454.54,2.249e-13,2.947e-15,3.721e-14,1.035e-15,0.0,0.0,2.621e-13,3.123e-15
2453455.51,2.296e-13,2.857e-15,3.788e-14,9.795e-16,0.0,0.0,2.675e-13,3.02e-15
2453456.52,2.244e-13,2.153e-15,3.668e-14,9.814e-16,0.0,0.0,2.611e-13,2.367e-15
2453457.5,2.217e-13,2.127e-15,3.497e-14,9.12e-16,0.0,0.0,2.567e-13,2.315e-15
2453461.53,2.203e-13,1.917e-15,2.772e-14,9.288e-16,0.0,0.0,2.48e-13,2.13e-15
