JD,fqbol,fqbol_err,ircorr,ircorr_err,uvcorr,uvcorr_err,fbol,fbol_err
2453389.79,4.655e-12,1.183e-14,1.59e-13,1.414e-15,4.907e-12,8.733e-14,9.721e-12,8.814e-14
2453390.81,4.686e-12,1.333e-14,1.644e-13,1.78e-15,4.696e-12,1.029e-13,9.546e-12,1.038e-13
2453391.74,4.569e-12,1.151e-14,1.726e-13,1.561e-15,3.98e-12,6.655e-14,8.721e-12,6.756e-14
2453393.79,4.435e-12,1.327e-14,1.771e-13,2.286e-15,3.421e-12,6.849e-14,8.033e-12,6.98e-14
2453393.85,4.466e-12,6.661e-15,1.82e-13,8.556e-16,3.354e-12,3.011e-14,8.002e-12,3.085e-14
2453395.77,4.309e-12,1.36e-14,1.891e-13,2.477e-15,2.818e-12,5.78e-14,7.315e-12,5.943e-14
2453397.81,4.174e-12,1.245e-14,1.997e-13,2.732e-15,9.957e-13,2.019e-28,5.369e-12,1.275e-14
2453402.79,3.832e-12,1.058e-14,2.249e-13,2.049e-15,6e-13,0.0,4.657e-12,1.078e-14
2453403.78,3.766e-12,9.8e-15,2.273e-13,1.949e-15,5.25e-13,0.0,4.518e-12,9.992e-15
2453404.8,3.714e-12,1.095e-14,2.31e-13,1.988e-15,4.766e-13,1.01e-28,4.422e-12,1.113e-14
2453406.8,3.521e-12,1.062e-14,2.325e-13,2e-15,3.575e-13,1.01e-28,4.111e-12,1.081e-14
2453407.81,3.473e-12,1.046e-14,2.363e-13,2.075e-15,3.337e-13,1.01e-28,4.043e-12,1.066e-14
2453408.78,3.385e-12,1.083e-14,2.419e-13,2.116e-15,2.843e-13,1.01e-28,3.911e-12,1.104e-14
2453409.78,3.354e-12,1.085e-14,2.406e-13,2.217e-15,2.727e-13,1.01e-28,3.868e-12,1.108e-14
2453410.8,3.279e-12,9.992e-15,2.49e-13,2.197e-15,2.285e-13,5.048999999999999e-29,3.756e-12,1.023e-14
2453411.83,3.223e-12,9.196e-15,2.505e-13,1.982e-15,2.061e-13,2.5239999999999998e-29,3.68e-12,9.407e-15
2453412.8,3.181e-12,9.375e-15,2.559e-13,2.095e-15,1.901e-13,5.048999999999999e-29,3.627e-12,9.606e-15
2453413.79,3.163e-12,1.183e-14,2.585e-13,2.182e-15,2.073e-13,2.5239999999999998e-29,3.629e-12,1.203e-14
2453414.8,3.078e-12,8.682e-15,2.628e-13,1.879e-15,1.697e-13,2.5239999999999998e-29,3.511e-12,8.883e-15
2453415.83,3.067e-12,1.023e-14,2.644e-13,1.954e-15,1.478e-13,2.5239999999999998e-29,3.479e-12,1.041e-14
2453416.88,2.996e-12,8.042e-15,2.668e-13,1.839e-15,1.506e-13,0.0,3.413e-12,8.25e-15
2453417.82,2.982e-12,9.073e-15,2.689e-13,1.713e-15,1.33e-13,2.5239999999999998e-29,3.384e-12,9.233e-15
2453418.8,2.945e-12,4.511e-15,2.759e-13,1.273e-15,1.264e-13,5.048999999999999e-29,3.347e-12,4.687e-15
2453418.83,2.95e-12,1.1e-14,2.715e-13,1.564e-15,1.287e-13,2.5239999999999998e-29,3.351e-12,1.111e-14
2453419.83,2.916e-12,8.328e-15,2.761e-13,1.51e-15,1.168e-13,2.5239999999999998e-29,3.309e-12,8.463e-15
2453420.8,2.866e-12,8.52e-15,2.779e-13,1.451e-15,1.097e-13,2.5239999999999998e-29,3.253e-12,8.643e-15
2453421.84,2.852e-12,8.429e-15,2.787e-13,1.342e-15,1.152e-13,2.5239999999999998e-29,3.246e-12,8.535e-15
2453422.78,2.853e-12,2.349e-14,2.806e-13,1.394e-15,1.025e-13,5.048999999999999e-29,3.236e-12,2.353e-14
2453422.82,2.827e-12,4.797e-15,2.836e-13,1.258e-15,1.017e-13,1.2619999999999999e-29,3.213e-12,4.959e-15
2453424.78,2.783e-12,1.159e-14,2.815e-13,1.726e-15,8.545e-14,1.2619999999999999e-29,3.15e-12,1.171e-14
2453425.72,2.715e-12,1.147e-14,2.805e-13,1.742e-15,8.833e-14,3.7869999999999997e-29,3.084e-12,1.161e-14
2453426.8,2.703e-12,1.941e-14,2.881e-13,2.173e-15,7.602e-14,0.0,3.067e-12,1.953e-14
2453427.76,2.678e-12,4.675e-15,2.644e-13,2.217e-15,8.026e-14,1.2619999999999999e-29,3.023e-12,5.174e-15
2453427.8,2.702e-12,1.59e-14,2.895e-13,2.221e-15,8.012e-14,1.2619999999999999e-29,3.071e-12,1.605e-14
2453428.75,2.668e-12,8.845e-15,2.785e-13,1.942e-15,7.686e-14,1.2619999999999999e-29,3.023e-12,9.055e-15
2453428.82,2.673e-12,5.39e-15,2.765e-13,2.431e-15,7.637e-14,0.0,3.026e-12,5.913e-15
