JD,fqbol,fqbol_err,ircorr,ircorr_err,uvcorr,uvcorr_err,fbol,fbol_err
2453404.76,2.541e-12,5.672e-15,2.244e-13,3.643e-15,4.276e-13,5.965e-15,3.193e-12,9.001e-15
2453404.81,2.527e-12,5.026e-15,2.192e-13,2.123e-15,4.282e-13,4.497e-15,3.174e-12,7.07e-15
2453406.77,2.468e-12,6.62e-15,2.289e-13,2.905e-15,3.048e-13,1.368e-14,3.001e-12,1.547e-14
2453407.79,2.408e-12,6.547e-15,2.207e-13,2.259e-15,2.99e-13,5.048999999999999e-29,2.928e-12,6.926e-15
2453408.76,2.393e-12,7.75e-15,2.184e-13,2.543e-15,2.685e-13,0.0,2.88e-12,8.157e-15
2453409.75,2.352e-12,7.492e-15,2.267e-13,2.636e-15,2.386e-13,5.048999999999999e-29,2.817e-12,7.942e-15
2453410.77,2.328e-12,7.236e-15,2.305e-13,2.701e-15,2.341e-13,5.048999999999999e-29,2.792e-12,7.724e-15
2453411.79,2.29e-12,7.562e-15,2.565e-13,1.091e-15,1.84e-13,5.048999999999999e-29,2.73e-12,7.64e-15
2453412.77,2.297e-12,7.488e-15,2.521e-13,9.983e-16,1.949e-13,7.573e-29,2.744e-12,7.555e-15
2453413.76,2.26e-12,7.859e-15,2.538e-13,1.085e-15,1.633e-13,2.5239999999999998e-29,2.677e-12,7.934e-15
2453414.76,2.243e-12,6.492e-15,2.583e-13,1.019e-15,1.463e-13,5.048999999999999e-29,2.648e-12,6.571e-15
2453415.79,2.203e-12,7.224e-15,2.58e-13,1.041e-15,1.183e-13,0.0,2.579e-12,7.299e-15
2453416.82,2.174e-12,5.767e-15,2.611e-13,1.019e-15,1.208e-13,0.0,2.556e-12,5.856e-15
2453417.78,2.131e-12,5.729e-15,2.625e-13,1.025e-15,9.064e-14,2.5239999999999998e-29,2.484e-12,5.82e-15
2453418.75,2.121e-12,3.134e-15,2.721e-13,1.016e-15,8.94e-14,1.2619999999999999e-29,2.482e-12,3.294e-15
2453418.8,2.127e-12,5.055e-15,2.698e-13,1.03e-15,9.19e-14,0.0,2.489e-12,5.159e-15
2453419.79,2.1e-12,4.981e-15,2.62e-13,1.165e-15,8.078e-14,2.5239999999999998e-29,2.443e-12,5.115e-15
2453420.77,2.076e-12,5.706e-15,2.62e-13,1.312e-15,7.327e-14,2.5239999999999998e-29,2.411e-12,5.855e-15
2453421.81,1.925e-12,5.483e-15,2.648e-13,1.366e-15,2.652e-13,5.048999999999999e-29,2.455e-12,5.65e-15
2453422.72,1.922e-12,1.411e-14,2.705e-13,2.556e-15,2.608e-13,0.0,2.454e-12,1.434e-14
2453423.77,1.914e-12,6.113e-15,2.67e-13,9.773e-16,2.481e-13,1.01e-28,2.429e-12,6.191e-15
2453424.75,1.919e-12,1.091e-14,2.778e-13,2.272e-15,2.376e-13,0.0,2.434e-12,1.114e-14
2453426.72,1.87e-12,6.728e-15,2.786e-13,1.585e-15,2.318e-13,0.0,2.381e-12,6.912e-15
2453426.78,1.85e-12,3.424e-15,2.873e-13,1.251e-15,2.157e-13,5.048999999999999e-29,2.353e-12,3.645e-15
2453427.72,1.818e-12,5.075e-15,2.672e-13,1.519e-15,2.134e-13,2.5239999999999998e-29,2.299e-12,5.297e-15
2453428.69,1.779e-12,5.658e-15,2.746e-13,1.52e-15,1.987e-13,2.5239999999999998e-29,2.253e-12,5.859e-15
2453428.72,1.782e-12,4.846e-15,2.663e-13,1.408e-15,1.978e-13,2.5239999999999998e-29,2.246e-12,5.046e-15
2453429.71,1.772e-12,5.096e-15,2.529e-13,2.059e-15,1.9e-13,0.0,2.215e-12,5.496e-15
2453430.77,1.72e-12,4.85e-15,2.635e-13,2.351e-15,1.828e-13,5.048999999999999e-29,2.166e-12,5.39e-15
2453431.72,1.702e-12,6.278e-15,2.689e-13,2.877e-15,1.749e-13,2.5239999999999998e-29,2.146e-12,6.906e-15
2453436.69,1.632e-12,7.068e-15,2.44e-13,2.446e-15,1.487e-13,0.0,2.025e-12,7.479e-15
2453438.67,1.6e-12,7.793e-15,2.488e-13,3.567e-15,1.412e-13,2.5239999999999998e-29,1.99e-12,8.571e-15
2453445.7,1.5e-12,9.028e-15,2.351e-13,2.862e-15,1.274e-13,2.5239999999999998e-29,1.862e-12,9.471e-15
2453446.7,1.442e-12,7.056e-15,2.391e-13,2.435e-15,1.15e-13,0.0,1.796e-12,7.464e-15
2453452.63,1.374e-12,8.788e-15,2.318e-13,3.599e-15,1.126e-13,1.2619999999999999e-29,1.719e-12,9.496e-15
2453454.66,1.346e-12,5.91e-15,2.208e-13,3.142e-15,9.842e-14,3.7869999999999997e-29,1.665e-12,6.693e-15
2453455.66,1.331e-12,7.431e-15,2.328e-13,1.791e-15,9.417e-14,1.2619999999999999e-29,1.658e-12,7.644e-15
2453455.68,1.322e-12,5.865e-15,2.429e-13,2.003e-15,8.316e-14,1.2619999999999999e-29,1.648e-12,6.198e-15
2453456.7,1.301e-12,4.482e-15,2.159e-13,2.604e-15,9.186e-14,5.048999999999999e-29,1.609e-12,5.183e-15
2453457.63,1.294e-12,4.523e-15,2.041e-13,2.386e-15,9.135e-14,2.5239999999999998e-29,1.59e-12,5.114e-15
2453458.62,1.287e-12,5.363e-15,2.028e-13,2.887e-15,9.093e-14,0.0,1.581e-12,6.091e-15
2453460.63,1.244e-12,4.371e-15,1.96e-13,2.218e-15,7.501e-14,0.0,1.515e-12,4.902e-15
2453462.64,1.218e-12,3.557e-15,2.082e-13,2.477e-15,7.993e-14,2.5239999999999998e-29,1.506e-12,4.335e-15
2453464.64,1.184e-12,4.173e-15,1.877e-13,2.015e-15,7.761e-14,1.2619999999999999e-29,1.449e-12,4.634e-15
2453465.65,1.175e-12,4.876e-15,1.828e-13,2.046e-15,7.473e-14,1.2619999999999999e-29,1.432e-12,5.288e-15
2453466.64,1.131e-12,5.5e-15,1.941e-13,2.44e-15,7.494e-14,1.2619999999999999e-29,1.4e-12,6.017e-15
2453475.6,1.014e-12,5.575e-15,1.579e-13,2.09e-15,6.024e-14,0.0,1.232e-12,5.953e-15
2453480.57,9.738e-13,1.31e-14,2.152e-13,6.45e-15,5.571e-14,1.893e-29,1.245e-12,1.46e-14
2453483.56,9.516e-13,1.926e-14,1.932e-13,2.346e-15,5.325e-14,6.311000000000001e-30,1.198e-12,1.94e-14
