JD,fqbol,fqbol_err,ircorr,ircorr_err,uvcorr,uvcorr_err,fbol,fbol_err
2453413.8,2.834e-10,5.28e-12,5.528e-11,7.831e-13,1.276e-11,4.847e-27,3.514e-10,5.338e-12
2453414.82,2.861e-10,5.132e-12,5.573e-11,7.203e-13,1.286e-11,0.0,3.547e-10,5.183e-12
2453417.87,2.91e-10,5.499e-12,5.745e-11,1.134e-12,1.271e-11,3.231e-27,3.612e-10,5.615e-12
2453418.89,2.939e-10,5.657e-12,5.873e-11,1.155e-12,1.273e-11,3.231e-27,3.654e-10,5.774e-12
2453419.88,2.916e-10,5.438e-12,5.852e-11,1.184e-12,1.264e-11,0.0,3.628e-10,5.565e-12
2453420.87,2.924e-10,5.551e-12,5.884e-11,1.174e-12,1.271e-11,3.231e-27,3.639e-10,5.673e-12
2453421.85,2.961e-10,5.684e-12,6.096e-11,9.714e-13,1.256e-11,3.231e-27,3.696e-10,5.766e-12
2453422.8,2.935e-10,5.581e-12,6.004e-11,1.165e-12,1.24e-11,0.0,3.659e-10,5.701e-12
2453423.78,2.947e-10,5.523e-12,6.181e-11,1.134e-12,1.224e-11,4.847e-27,3.687e-10,5.638e-12
2453424.8,2.951e-10,5.97e-12,6.299e-11,1.34e-12,1.202e-11,1.616e-27,3.701e-10,6.119e-12
2453425.78,2.885e-10,5.62e-12,6.016e-11,8.462e-13,1.18e-11,0.0,3.605e-10,5.684e-12
2453426.82,2.937e-10,5.789e-12,6.635e-11,1.116e-12,1.141e-11,1.616e-27,3.714e-10,5.896e-12
2453427.81,2.896e-10,5.795e-12,6.323e-11,1.101e-12,1.091e-11,0.0,3.637e-10,5.898e-12
2453428.89,2.819e-10,5.534e-12,6.031e-11,8.557e-13,1.044e-11,1.616e-27,3.526e-10,5.6e-12
2453429.9,2.793e-10,5.429e-12,6.226e-11,8.775e-13,1.003e-11,1.616e-27,3.516e-10,5.499e-12
2453430.82,2.759e-10,5.602e-12,6.299e-11,1.206e-12,9.339e-12,0.0,3.482e-10,5.73e-12
2453431.8,2.661e-10,5.514e-12,6.052e-11,9.775e-13,8.668e-12,0.0,3.353e-10,5.6e-12
2453436.78,2.097e-10,4.526e-12,5.357e-11,8.224e-13,5.78e-12,0.0,2.691e-10,4.6e-12
2453444.83,1.143e-10,2.348e-12,6.798e-11,1.051e-12,0.0,0.0,1.823e-10,2.572e-12
2453445.79,1.143e-10,2.439e-12,6.898e-11,1.435e-12,0.0,0.0,1.833e-10,2.83e-12
2453446.8,1.137e-10,2.354e-12,7.221e-11,1.382e-12,0.0,0.0,1.859e-10,2.73e-12
2453452.74,1.057e-10,2.193e-12,6.557e-11,1.202e-12,0.0,0.0,1.712e-10,2.501e-12
2453453.69,1.028e-10,2.092e-12,6.179e-11,1.075e-12,0.0,0.0,1.646e-10,2.352e-12
2453454.73,1.021e-10,2.093e-12,6.075e-11,9.264e-13,0.0,0.0,1.628e-10,2.289e-12
2453455.77,1.001e-10,2.035e-12,5.711e-11,8.803e-13,0.0,0.0,1.572e-10,2.217e-12
2453456.78,1.004e-10,2.033e-12,5.852e-11,9.474e-13,0.0,0.0,1.589e-10,2.243e-12
2453457.75,9.887e-11,2.027e-12,5.7e-11,1.043e-12,0.0,0.0,1.559e-10,2.28e-12
2453458.74,9.724e-11,2.04e-12,5.613e-11,7.211e-13,0.0,0.0,1.534e-10,2.164e-12
2453460.7,9.495e-11,1.904e-12,5.384e-11,6.855e-13,0.0,0.0,1.488e-10,2.023e-12
2453461.67,9.418e-11,1.979e-12,5.564e-11,1.027e-12,0.0,0.0,1.498e-10,2.229e-12
2453464.78,9.142e-11,1.845e-12,5.116e-11,7.286e-13,0.0,0.0,1.426e-10,1.984e-12
2453465.78,1.217e-10,2.757e-12,2.936e-11,2.78e-13,0.0,0.0,1.511e-10,2.771e-12
2453466.79,8.894e-11,1.721e-12,4.869e-11,5.379e-13,0.0,0.0,1.376e-10,1.803e-12
2453467.77,8.803e-11,1.685e-12,4.947e-11,4.397e-13,0.0,0.0,1.375e-10,1.742e-12
2453468.71,8.751e-11,1.689e-12,4.902e-11,5.375e-13,0.0,0.0,1.365e-10,1.773e-12
2453474.75,8.179e-11,1.609e-12,4.454e-11,4.794e-13,0.0,0.0,1.263e-10,1.679e-12
2453477.59,8.005e-11,1.554e-12,4.347e-11,6.617e-13,0.0,0.0,1.235e-10,1.689e-12
2453481.7,7.665e-11,1.527e-12,4.096e-11,6.195e-13,0.0,0.0,1.176e-10,1.648e-12
2453483.72,9.964e-11,2.403e-12,2.37e-11,5.174e-13,0.0,0.0,1.233e-10,2.458e-12
