JD,fqbol,fqbol_err,ircorr,ircorr_err,uvcorr,uvcorr_err,fbol,fbol_err
2453436.75,6.342e-12,4.428e-14,2.57e-13,1.656e-15,4.556e-12,5.364e-14,1.115e-11,6.958e-14
2453444.77,6.006e-12,4.572e-14,3.374e-13,1.983e-15,2.515e-12,2.299e-14,8.859e-12,5.121e-14
2453445.77,5.822e-12,4.563e-14,3.348e-13,2.98e-15,2.256e-12,2.478e-14,8.413e-12,5.201e-14
2453446.78,5.688e-12,4.507e-14,3.32e-13,2.985e-15,1.15e-12,2.019e-28,7.17e-12,4.517e-14
2453452.7,5.112e-12,5.016e-14,3.902e-13,6.151e-15,5.417e-13,0.0,6.044e-12,5.054e-14
2453453.66,5.008e-12,4.997e-14,3.934e-13,6.583e-15,4.757e-13,2.019e-28,5.877e-12,5.04e-14
2453454.71,4.864e-12,4.737e-14,4.028e-13,5.15e-15,4.124e-13,1.515e-28,5.679e-12,4.765e-14
2453454.79,4.855e-12,9.348e-15,4.038e-13,1.975e-15,4.071e-13,1.01e-28,5.666e-12,9.555e-15
2453455.75,4.737e-12,4.787e-14,4.007e-13,5.453e-15,3.478e-13,5.048999999999999e-29,5.485e-12,4.818e-14
2453456.75,4.605e-12,4.895e-14,4.154e-13,5.455e-15,3.103e-13,1.01e-28,5.331e-12,4.925e-14
2453456.79,4.601e-12,8.512e-15,4.113e-13,1.72e-15,3.094e-13,5.048999999999999e-29,5.322e-12,8.684e-15
2453457.73,4.43e-12,4.709e-14,4.008e-13,5.133e-15,2.722e-13,0.0,5.103e-12,4.737e-14
2453458.7,4.35e-12,4.546e-14,4.092e-13,5.085e-15,2.487e-13,1.01e-28,5.007e-12,4.574e-14
2453459.74,4.24e-12,4.572e-14,4.2e-13,5.602e-15,1.965e-13,5.048999999999999e-29,4.857e-12,4.606e-14
2453460.67,4.116e-12,4.484e-14,4.163e-13,5.497e-15,1.95e-13,2.5239999999999998e-29,4.728e-12,4.518e-14
2453461.63,4.026e-12,4.596e-14,4.163e-13,5.432e-15,1.733e-13,0.0,4.616e-12,4.628e-14
2453461.76,4.062e-12,1.05e-14,4.267e-13,1.838e-15,1.666e-13,5.048999999999999e-29,4.655e-12,1.066e-14
2453464.7,3.771e-12,4.502e-14,4.303e-13,5.333e-15,1.239e-13,2.5239999999999998e-29,4.325e-12,4.533e-14
2453465.71,3.738e-12,4.723e-14,4.413e-13,7.427e-15,1.111e-13,1.2619999999999999e-29,4.29e-12,4.781e-14
2453466.7,3.601e-12,4.442e-14,4.21e-13,4.977e-15,1.026e-13,3.7869999999999997e-29,4.125e-12,4.47e-14
2453468.68,3.485e-12,4.332e-14,4.304e-13,5.527e-15,8.768e-14,1.2619999999999999e-29,4.003e-12,4.367e-14
2453472.73,3.261e-12,4.298e-14,4.481e-13,5.577e-15,6.536e-14,1.2619999999999999e-29,3.774e-12,4.334e-14
2453474.7,3.117e-12,4.02e-14,4.12e-13,4.352e-15,6.185e-14,1.2619999999999999e-29,3.591e-12,4.043e-14
2453476.73,3.01e-12,4.109e-14,4.066e-13,6.381e-15,5.288e-14,6.311000000000001e-30,3.47e-12,4.158e-14
2453483.75,2.687e-12,7.84e-15,3.421e-13,3.632e-15,3.828e-14,0.0,3.068e-12,8.64e-15
2453489.68,2.459e-12,3.233e-14,3.3e-13,2.253e-14,2.968e-14,0.0,2.818e-12,3.94e-14
2453491.67,2.399e-12,3.418e-14,3.284e-13,2.375e-14,2.732e-14,6.311000000000001e-30,2.755e-12,4.162e-14
2453512.73,1.364e-12,2.138e-14,2.129e-13,1.536e-14,9.236e-14,2.5239999999999998e-29,1.669e-12,2.632e-14
