JD,fqbol,fqbol_err,ircorr,ircorr_err,uvcorr,uvcorr_err,fbol,fbol_err
2453619.56,6.091e-12,1.076e-13,2.301e-13,1.429e-14,5.123e-12,4.025e-13,1.144e-11,4.169e-13
2453620.46,5.888e-12,8.059e-14,2.636e-13,1.314e-14,3.795e-12,2.173e-13,9.946e-12,2.321e-13
2453625.53,5.043e-12,9.741e-15,3.14e-13,1.608e-15,7.858e-13,2.019e-28,6.143e-12,9.873e-15
2453626.46,4.906e-12,9.979e-15,2.966e-13,4.083e-15,6.901e-13,2.019e-28,5.892e-12,1.078e-14
2453628.5,4.657e-12,9.007e-15,3.22e-13,1.657e-15,5.332e-13,1.01e-28,5.513e-12,9.159e-15
2453629.46,4.562e-12,7.676e-15,3.119e-13,2.122e-15,4.761e-13,1.01e-28,5.35e-12,7.964e-15
2453630.49,4.44e-12,8.715e-15,3.233e-13,1.455e-15,4.205e-13,1.515e-28,5.183e-12,8.836e-15
2453631.47,4.32e-12,7.533e-15,3.06e-13,1.8e-15,3.782e-13,5.048999999999999e-29,5.004e-12,7.745e-15
2453632.51,4.238e-12,7.341e-15,3.278e-13,1.322e-15,3.355e-13,1.01e-28,4.902e-12,7.459e-15
2453633.49,4.136e-12,5.579e-15,3.253e-13,1.191e-15,2.982e-13,5.048999999999999e-29,4.759e-12,5.705e-15
2453634.52,4.088e-12,1.019e-14,3.223e-13,2.065e-15,2.747e-13,5.048999999999999e-29,4.685e-12,1.039e-14
2453635.54,3.966e-12,6.338e-15,3.264e-13,1.36e-15,2.485e-13,1.01e-28,4.541e-12,6.482e-15
2453639.51,3.671e-12,7.66e-15,3.209e-13,1.361e-15,1.754e-13,2.5239999999999998e-29,4.168e-12,7.779e-15
2453640.47,3.61e-12,5.34e-15,3.14e-13,1.456e-15,1.621e-13,5.048999999999999e-29,4.086e-12,5.535e-15
2453641.49,3.553e-12,6.219e-15,3.142e-13,1.469e-15,1.565e-13,2.5239999999999998e-29,4.023e-12,6.39e-15
2453643.46,3.443e-12,1.124e-14,3.024e-13,2.188e-15,1.309e-13,2.5239999999999998e-29,3.876e-12,1.145e-14
2453644.5,3.384e-12,9.122e-15,3.133e-13,2.103e-15,1.245e-13,0.0,3.822e-12,9.362e-15
2453650.52,3.131e-12,1.222e-14,3.101e-13,2.509e-15,8.785e-14,1.2619999999999999e-29,3.529e-12,1.247e-14
2453654.5,3.001e-12,9.525e-15,3.04e-13,2.384e-15,7.729e-14,1.2619999999999999e-29,3.382e-12,9.819e-15
2453656.46,2.954e-12,7.375e-15,3.023e-13,2.252e-15,7.616e-14,2.5239999999999998e-29,3.332e-12,7.711e-15
2453658.49,2.754e-12,7.092e-15,3.019e-13,1.962e-15,4.05e-13,5.048999999999999e-29,3.461e-12,7.358e-15
2453659.49,2.734e-12,7.252e-15,3.043e-13,2.001e-15,4.183e-13,1.515e-28,3.457e-12,7.523e-15
2453661.48,2.705e-12,7.292e-15,3.027e-13,2.25e-15,3.922e-13,1.01e-28,3.4e-12,7.631e-15
2453663.51,2.666e-12,6.637e-15,3.011e-13,2.045e-15,3.808e-13,0.0,3.348e-12,6.945e-15
2453666.5,2.62e-12,7.504e-15,2.951e-13,2.703e-15,3.528e-13,1.01e-28,3.268e-12,7.976e-15
2453668.46,2.564e-12,6.045e-15,2.867e-13,3.238e-15,3.372e-13,5.048999999999999e-29,3.188e-12,6.858e-15
2453669.51,2.536e-12,5.69e-15,2.883e-13,2.252e-15,3.238e-13,5.048999999999999e-29,3.148e-12,6.12e-15
2453671.5,2.487e-12,6.054e-15,2.827e-13,2.171e-15,3.185e-13,5.048999999999999e-29,3.089e-12,6.431e-15
2453672.48,2.467e-12,6.261e-15,2.763e-13,3.414e-15,3.036e-13,1.01e-28,3.047e-12,7.131e-15
2453673.51,2.436e-12,5.402e-15,2.797e-13,2.227e-15,2.924e-13,0.0,3.008e-12,5.843e-15
2453674.47,2.407e-12,7.283e-15,2.739e-13,3.441e-15,2.881e-13,5.048999999999999e-29,2.969e-12,8.055e-15
2453680.47,2.243e-12,1.308e-14,2.683e-13,5.262e-15,2.466e-13,5.048999999999999e-29,2.758e-12,1.41e-14
2453684.52,2.097e-12,6.653e-15,2.575e-13,3.201e-15,2.151e-13,1.01e-28,2.569e-12,7.383e-15
2453686.47,2.012e-12,8.176e-15,2.511e-13,4.211e-15,1.999e-13,7.573e-29,2.463e-12,9.197e-15
2453690.52,1.824e-12,8.058e-15,2.219e-13,3.529e-15,1.729e-13,2.5239999999999998e-29,2.219e-12,8.797e-15
2453693.48,1.601e-12,7.999e-15,2.038e-13,5.078e-15,1.22e-13,0.0,1.927e-12,9.475e-15
2453695.53,1.352e-12,6.232e-15,1.707e-13,3.421e-15,9.636e-14,1.2619999999999999e-29,1.619e-12,7.11e-15
2453698.52,1.011e-12,9.121e-15,1.399e-13,4.059e-15,6.822e-14,0.0,1.219e-12,9.983e-15
2453700.48,7.564e-13,5.457e-15,1.238e-13,3.655e-15,5.052e-14,1.893e-29,9.308e-13,6.568e-15
2453701.47,6.712e-13,5.632e-15,1.162e-13,3.904e-15,4.328e-14,1.2619999999999999e-29,8.307e-13,6.853e-15
2453702.52,5.792e-13,6.041e-15,1.153e-13,4.678e-15,3.375e-14,6.311000000000001e-30,7.283e-13,7.641e-15
2453706.53,4.013e-13,8.824e-15,7.544e-14,5.712e-15,1.903e-14,0.0,4.958e-13,1.051e-14
