JD,fqbol,fqbol_err,ircorr,ircorr_err,uvcorr,uvcorr_err,fbol,fbol_err
2453619.47,1.136e-11,1.781e-13,1.687e-12,7.825e-15,3.633e-13,7.604e-15,1.341e-11,1.785e-13
2453620.54,1.118e-11,1.346e-13,1.647e-12,8.255e-15,3.441e-13,6.441e-15,1.317e-11,1.35e-13
2453625.57,1.058e-11,2.369e-14,1.444e-12,6.945e-15,2.46e-13,1.01e-28,1.227e-11,2.469e-14
2453626.49,1.048e-11,2.286e-14,1.444e-12,7.606e-15,2.326e-13,5.048999999999999e-29,1.216e-11,2.409e-14
2453628.54,1.013e-11,1.83e-14,1.441e-12,4.951e-15,2.044e-13,7.573e-29,1.177e-11,1.895e-14
2453629.5,9.993e-12,2.261e-14,1.429e-12,6.829e-15,1.958e-13,0.0,1.162e-11,2.362e-14
2453630.51,9.865e-12,1.581e-14,1.434e-12,4.7e-15,1.885e-13,2.5239999999999998e-29,1.149e-11,1.649e-14
2453631.5,9.691e-12,1.981e-14,1.412e-12,6.423e-15,1.756e-13,0.0,1.128e-11,2.083e-14
2453632.56,9.576e-12,1.724e-14,1.432e-12,4.75e-15,1.721e-13,5.048999999999999e-29,1.118e-11,1.788e-14
2453633.52,9.43e-12,1.454e-14,1.432e-12,4.599e-15,1.578e-13,5.048999999999999e-29,1.102e-11,1.525e-14
2453634.59,9.324e-12,1.598e-14,1.436e-12,6.155e-15,1.5e-13,2.5239999999999998e-29,1.091e-11,1.713e-14
2453639.54,8.822e-12,2.281e-14,1.391e-12,4.796e-15,1.128e-13,1.2619999999999999e-29,1.033e-11,2.331e-14
2453640.52,8.683e-12,1.313e-14,1.37e-12,5.401e-15,1.144e-13,0.0,1.017e-11,1.42e-14
2453641.52,8.594e-12,1.309e-14,1.393e-12,3.987e-15,1.075e-13,3.7869999999999997e-29,1.009e-11,1.368e-14
2453643.51,8.432e-12,1.16e-14,1.369e-12,4.963e-15,1.015e-13,2.5239999999999998e-29,9.902e-12,1.262e-14
2453644.52,8.339e-12,1.363e-14,1.368e-12,5.181e-15,9.911e-14,1.2619999999999999e-29,9.806e-12,1.458e-14
2453649.6,7.91e-12,1.979e-14,1.346e-12,7.204e-15,8.498e-14,2.5239999999999998e-29,9.341e-12,2.106e-14
2453654.53,7.503e-12,1.991e-14,1.309e-12,6.559e-15,7.567e-14,0.0,8.888e-12,2.096e-14
2453655.53,7.426e-12,1.613e-14,1.292e-12,6.129e-15,7.055e-14,0.0,8.788e-12,1.725e-14
2453656.5,7.367e-12,1.372e-14,1.28e-12,6.072e-15,6.869e-14,0.0,8.717e-12,1.501e-14
2453658.51,7.247e-12,1.381e-14,1.262e-12,5.196e-15,6.591e-14,1.2619999999999999e-29,8.575e-12,1.475e-14
2453661.53,7.023e-12,1.099e-14,1.221e-12,5.067e-15,6.253e-14,1.2619999999999999e-29,8.307e-12,1.21e-14
2453662.56,6.961e-12,1.259e-14,1.23e-12,4.7e-15,5.709e-14,0.0,8.248e-12,1.343e-14
2453663.54,6.886e-12,1.196e-14,1.225e-12,4.452e-15,6.083e-14,1.2619999999999999e-29,8.172e-12,1.276e-14
2453666.52,6.522e-12,1.385e-14,1.21e-12,4.38e-15,5.025e-13,1.01e-28,8.234e-12,1.452e-14
2453668.5,6.364e-12,1.032e-14,1.183e-12,4.806e-15,4.874e-13,2.019e-28,8.034e-12,1.138e-14
2453669.53,6.285e-12,1.036e-14,1.167e-12,3.64e-15,4.821e-13,0.0,7.935e-12,1.098e-14
2453670.48,6.197e-12,9.041e-15,1.14e-12,4.336e-15,4.689e-13,2.019e-28,7.807e-12,1.003e-14
2453671.52,6.095e-12,9.975e-15,1.146e-12,3.752e-15,4.591e-13,0.0,7.7e-12,1.066e-14
2453673.53,5.907e-12,9.761e-15,1.114e-12,4.071e-15,4.36e-13,1.515e-28,7.457e-12,1.058e-14
2453678.47,5.386e-12,1.472e-14,1.046e-12,5.491e-15,3.875e-13,1.515e-28,6.82e-12,1.571e-14
2453681.52,5.096e-12,1.33e-14,9.304e-13,5.09e-15,3.483e-13,5.048999999999999e-29,6.375e-12,1.424e-14
2453682.52,5.022e-12,1.024e-14,9.723e-13,4.209e-15,3.4e-13,1.01e-28,6.334e-12,1.107e-14
2453688.48,4.342e-12,1.99e-14,8.799e-13,5.889e-15,2.447e-13,5.048999999999999e-29,5.467e-12,2.075e-14
2453694.53,3.016e-12,1.011e-14,6.386e-13,1.13e-14,1.703e-13,7.573e-29,3.825e-12,1.516e-14
2453697.48,2.335e-12,9.989e-15,5.015e-13,7.244e-15,1.344e-13,5.048999999999999e-29,2.971e-12,1.234e-14
2453699.52,1.972e-12,9.452e-15,4.595e-13,7.352e-15,1.102e-13,2.5239999999999998e-29,2.541e-12,1.197e-14
2453703.53,1.497e-12,9.258e-15,3.473e-13,7.549e-15,9.557e-14,3.7869999999999997e-29,1.94e-12,1.195e-14
2453704.48,1.437e-12,8.847e-15,3.149e-13,7.336e-15,9.236e-14,2.5239999999999998e-29,1.844e-12,1.149e-14
2453707.53,1.28e-12,2.1e-14,2.225e-13,1.596e-14,9.4e-14,2.5239999999999998e-29,1.596e-12,2.638e-14
