JD,fqbol,fqbol_err,ircorr,ircorr_err,uvcorr,uvcorr_err,fbol,fbol_err
2453625.66,6.894e-13,6.734e-15,5.338e-14,8.347e-16,5.548e-14,2.5239999999999998e-29,7.983e-13,6.786e-15
2453628.63,6.541e-13,6.623e-15,4.626e-14,9.883e-16,3.817e-14,6.311000000000001e-30,7.385e-13,6.697e-15
2453632.63,6.333e-13,6.891e-15,5.176e-14,1.202e-15,2.853e-14,0.0,7.136e-13,6.995e-15
2453633.62,6.284e-13,7.413e-15,5.085e-14,1.335e-15,2.641e-14,0.0,7.057e-13,7.532e-15
2453639.68,6.312e-13,7.403e-15,6.448e-14,1.522e-15,1.835e-14,3.155e-30,7.141e-13,7.558e-15
2453641.68,6.232e-13,7.231e-15,6.222e-14,9.293e-16,1.892e-14,0.0,7.044e-13,7.29e-15
2453650.74,6.048e-13,8.057e-15,7.299e-14,1.188e-15,8.796e-14,2.5239999999999998e-29,7.658e-13,8.144e-15
2453662.66,5.852e-13,9.785e-15,8.417e-14,2.84e-15,7.718e-14,1.2619999999999999e-29,7.466e-13,1.019e-14
2453675.53,5.58e-13,8.388e-15,7.8e-14,1.862e-15,5.893e-14,0.0,6.95e-13,8.592e-15
2453707.63,4.777e-13,7.666e-15,7.521e-14,1.681e-15,4.372e-14,6.311000000000001e-30,5.966e-13,7.848e-15
2453722.57,1.785e-13,1.082e-14,2.884e-13,5.076e-15,2.878e-14,0.0,4.957e-13,1.196e-14
2453728.57,1.505e-13,1.446e-14,2.649e-13,5.684e-15,2.37e-14,9.466e-30,4.391e-13,1.553e-14
