JD,fqbol,fqbol_err,ircorr,ircorr_err,uvcorr,uvcorr_err,fbol,fbol_err
2453625.61,1.926e-12,7.23e-15,2.059e-13,1.81e-15,1.173e-13,2.5239999999999998e-29,2.249e-12,7.453e-15
2453626.54,1.875e-12,6.286e-15,2.008e-13,1.65e-15,1.111e-13,1.2619999999999999e-29,2.187e-12,6.499e-15
2453628.58,1.81e-12,6.795e-15,2.031e-13,1.395e-15,9.404e-14,0.0,2.107e-12,6.937e-15
2453629.54,1.779e-12,5.467e-15,2.095e-13,1.341e-15,9.014e-14,2.5239999999999998e-29,2.079e-12,5.629e-15
2453630.56,1.734e-12,6.791e-15,2.059e-13,1.331e-15,8.768e-14,1.2619999999999999e-29,2.028e-12,6.92e-15
2453631.54,1.736e-12,5.51e-15,2.146e-13,1.324e-15,7.715e-14,1.2619999999999999e-29,2.028e-12,5.667e-15
2453632.6,1.683e-12,5.646e-15,2.082e-13,1.32e-15,7.644e-14,2.5239999999999998e-29,1.967e-12,5.798e-15
2453633.57,1.67e-12,4.649e-15,2.071e-13,1.145e-15,6.506e-14,2.5239999999999998e-29,1.942e-12,4.788e-15
2453634.66,1.626e-12,4.742e-15,1.903e-13,1.421e-15,5.906e-14,0.0,1.876e-12,4.951e-15
2453635.68,1.614e-12,5.452e-15,2.015e-13,1.487e-15,5.387e-14,1.893e-29,1.869e-12,5.651e-15
2453639.57,1.516e-12,5.911e-15,2.085e-13,1.209e-15,3.635e-14,6.311000000000001e-30,1.761e-12,6.033e-15
2453640.57,1.513e-12,4.442e-15,1.982e-13,1.461e-15,3.358e-14,0.0,1.745e-12,4.676e-15
2453641.56,1.501e-12,3.989e-15,2.051e-13,1.202e-15,2.963e-14,6.311000000000001e-30,1.736e-12,4.166e-15
2453642.63,1.492e-12,5.241e-15,2.021e-13,1.58e-15,2.727e-14,0.0,1.721e-12,5.474e-15
2453643.55,1.457e-12,5.35e-15,1.983e-13,1.623e-15,2.485e-14,6.311000000000001e-30,1.68e-12,5.591e-15
2453644.59,1.398e-12,6.849e-15,2.091e-13,1.36e-15,1.679e-13,5.048999999999999e-29,1.775e-12,6.983e-15
2453650.56,1.348e-12,5.332e-15,2.078e-13,1.441e-15,1.432e-13,0.0,1.699e-12,5.523e-15
2453656.54,1.283e-12,4.331e-15,2.031e-13,1.469e-15,1.296e-13,2.5239999999999998e-29,1.616e-12,4.573e-15
2453659.57,1.257e-12,3.838e-15,1.966e-13,1.429e-15,1.273e-13,5.048999999999999e-29,1.58e-12,4.095e-15
2453661.59,1.245e-12,4.164e-15,1.973e-13,1.505e-15,1.201e-13,0.0,1.562e-12,4.427e-15
2453662.61,1.229e-12,3.957e-15,1.96e-13,1.476e-15,1.203e-13,5.048999999999999e-29,1.545e-12,4.223e-15
2453666.55,1.205e-12,6.673e-15,1.932e-13,1.636e-15,1.056e-13,1.2619999999999999e-29,1.503e-12,6.871e-15
2453671.57,1.187e-12,4.323e-15,1.904e-13,1.525e-15,1.035e-13,0.0,1.481e-12,4.584e-15
2453672.53,1.177e-12,4.185e-15,1.948e-13,1.567e-15,1.033e-13,3.7869999999999997e-29,1.476e-12,4.469e-15
2453673.56,1.168e-12,3.639e-15,1.858e-13,1.821e-15,1.047e-13,2.5239999999999998e-29,1.459e-12,4.069e-15
2453679.47,1.099e-12,7.176e-15,1.573e-13,4.375e-15,9.262e-14,5.048999999999999e-29,1.349e-12,8.405e-15
2453684.56,1.032e-12,5.536e-15,1.629e-13,2.093e-15,8.557e-14,1.2619999999999999e-29,1.28e-12,5.919e-15
2453685.5,1.014e-12,5.277e-15,1.498e-13,3.241e-15,8.194e-14,0.0,1.246e-12,6.193e-15
2453693.6,8.612e-13,6.994e-15,1.245e-13,4.797e-15,6.563e-14,1.2619999999999999e-29,1.051e-12,8.481e-15
2453701.5,7.17e-13,5.382e-15,1.237e-13,3.705e-15,4.919e-14,1.893e-29,8.899e-13,6.534e-15
2453706.6,5.867e-13,3.775e-15,1.112e-13,1.869e-15,3.826e-14,1.893e-29,7.361e-13,4.213e-15
2453709.54,5.23e-13,5.126e-15,9.727e-14,2.695e-15,3.397e-14,6.311000000000001e-30,6.542e-13,5.791e-15
2453718.55,3.308e-13,4.148e-15,5.498e-14,1.631e-15,2.07e-14,0.0,4.064e-13,4.457e-15
2453723.52,2.587e-13,5.876e-15,6.365e-14,2.444e-15,1.533e-14,3.155e-30,3.377e-13,6.364e-15
2453726.56,2.211e-13,6.706e-15,5.651e-14,2.275e-15,1.266e-14,3.155e-30,2.903e-13,7.081e-15
