JD,fqbol,fqbol_err,ircorr,ircorr_err,uvcorr,uvcorr_err,fbol,fbol_err
2453625.9,4.383e-13,3.43e-15,7.379e-14,1.373e-15,2.677e-13,8.167e-15,7.798e-13,8.964e-15
2453626.85,4.364e-13,2.343e-15,7.503e-14,1.102e-15,2.56e-13,6.052e-15,7.674e-13,6.583e-15
2453628.86,4.207e-13,1.629e-15,7.67e-14,1.215e-15,1.082e-13,3.7869999999999997e-29,6.056e-13,2.032e-15
2453629.77,4.512e-13,1.59e-15,5.263e-14,6.605e-16,9.939e-14,2.5239999999999998e-29,6.032e-13,1.722e-15
2453630.8,4.472e-13,2.573e-15,5.595e-14,1.228e-15,9.413e-14,1.2619999999999999e-29,5.973e-13,2.851e-15
2453631.73,4.318e-13,1.706e-15,5.493e-14,5.921e-16,7.822e-14,1.2619999999999999e-29,5.65e-13,1.806e-15
2453632.86,4.196e-13,3.266e-15,6.313e-14,6.345e-16,6.621e-14,1.2619999999999999e-29,5.489e-13,3.327e-15
2453633.85,4.115e-13,2.037e-15,6.17e-14,5.472e-16,5.584e-14,0.0,5.29e-13,2.109e-15
2453634.81,4.014e-13,1.899e-15,6.24e-14,5.397e-16,4.958e-14,1.2619999999999999e-29,5.133e-13,1.974e-15
2453636.89,4.143e-13,1.329e-15,3.204e-14,3.602e-16,3.628e-14,6.311000000000001e-30,4.826e-13,1.377e-15
2453638.88,3.597e-13,1.31e-15,6.474e-14,6.167e-16,2.543e-14,6.311000000000001e-30,4.499e-13,1.448e-15
2453639.82,3.502e-13,1.352e-15,6.561e-14,6.538e-16,2.485e-14,6.311000000000001e-30,4.407e-13,1.501e-15
2453640.74,3.469e-13,1.162e-15,6.31e-14,6.373e-16,2.283e-14,3.155e-30,4.328e-13,1.326e-15
2453641.82,3.404e-13,1.095e-15,6.585e-14,6.189e-16,2.221e-14,6.311000000000001e-30,4.285e-13,1.257e-15
2453643.84,3.324e-13,1.81e-15,6.819e-14,6.688e-16,1.839e-14,6.311000000000001e-30,4.19e-13,1.93e-15
2453644.81,3.218e-13,1.495e-15,6.836e-14,7.312e-16,1.746e-14,0.0,4.076e-13,1.664e-15
2453656.78,2.627e-13,2.731e-15,7.003e-14,1.79e-15,4.707e-14,6.311000000000001e-30,3.798e-13,3.266e-15
2453666.84,2.555e-13,1.456e-15,6.829e-14,1.112e-15,3.847e-14,1.893e-29,3.623e-13,1.833e-15
2453674.8,2.463e-13,2.467e-15,6.426e-14,2.662e-15,3.406e-14,6.311000000000001e-30,3.446e-13,3.629e-15
2453678.81,2.407e-13,2.565e-15,6.747e-14,3.797e-15,3.17e-14,0.0,3.399e-13,4.583e-15
2453681.78,2.67e-13,1.602e-15,3.734e-14,7.917e-16,2.964e-14,0.0,3.339e-13,1.787e-15
2453684.82,2.217e-13,1.062e-15,6.567e-14,1.184e-15,2.726e-14,0.0,3.146e-13,1.59e-15
2453688.74,2.071e-13,2.374e-15,6.17e-14,4.028e-15,2.37e-14,9.466e-30,2.925e-13,4.675e-15
2453713.72,1.188e-13,1.848e-15,4.037e-14,3.374e-15,7.912e-15,1.5780000000000002e-30,1.67e-13,3.847e-15
