JD,fqbol,fqbol_err,ircorr,ircorr_err,uvcorr,uvcorr_err,fbol,fbol_err
2453625.8,1.674e-12,4.085e-15,5.547e-14,4.707e-16,1.724e-12,2.981e-14,3.453e-12,3.01e-14
2453626.61,1.699e-12,3.86e-15,5.978e-14,3.963e-16,1.583e-12,2.12e-14,3.342e-12,2.155e-14
2453628.74,1.755e-12,4.655e-15,6.991e-14,6.2e-16,1.324e-12,2.266e-14,3.149e-12,2.314e-14
2453629.63,1.734e-12,4.409e-15,7.086e-14,4.306e-16,1.225e-12,1.388e-14,3.031e-12,1.457e-14
2453630.62,1.744e-12,7.564e-15,7.213e-14,1.117e-15,1.235e-12,3.82e-14,3.051e-12,3.896e-14
2453631.6,1.714e-12,5.734e-15,7.564e-14,5.124e-16,1.06e-12,1.241e-14,2.85e-12,1.368e-14
2453633.69,1.659e-12,5.378e-15,7.982e-14,8.841e-16,8.985e-13,1.811e-14,2.637e-12,1.892e-14
2453639.62,1.527e-12,3.315e-15,9.758e-14,5.343e-16,2.92e-13,0.0,1.917e-12,3.358e-15
2453640.62,1.517e-12,2.946e-15,9.567e-14,4.183e-16,2.583e-13,5.048999999999999e-29,1.87e-12,2.975e-15
2453641.62,1.497e-12,2.824e-15,1.027e-13,5.484e-16,2.294e-13,5.048999999999999e-29,1.829e-12,2.877e-15
2453642.67,1.463e-12,3.551e-15,9.891e-14,5.071e-16,2.088e-13,0.0,1.771e-12,3.587e-15
2453643.61,1.451e-12,3.812e-15,9.992e-14,5.331e-16,1.892e-13,2.5239999999999998e-29,1.74e-12,3.85e-15
2453644.66,1.427e-12,2.963e-15,1.074e-13,6.502e-16,1.697e-13,2.5239999999999998e-29,1.704e-12,3.034e-15
2453655.69,1.244e-12,3.52e-15,1.183e-13,9.499e-16,6.658e-14,1.2619999999999999e-29,1.428e-12,3.646e-15
2453657.58,1.219e-12,3.714e-15,1.161e-13,1.081e-15,5.978e-14,0.0,1.395e-12,3.868e-15
2453664.56,1.163e-12,3.439e-15,1.214e-13,1.068e-15,4.48e-14,0.0,1.329e-12,3.601e-15
2453665.6,1.162e-12,3.43e-15,1.21e-13,9.669e-16,4.399e-14,6.311000000000001e-30,1.327e-12,3.563e-15
2453669.61,1.123e-12,2.969e-15,1.206e-13,9.853e-16,3.821e-14,6.311000000000001e-30,1.281e-12,3.128e-15
2453674.58,1.022e-12,3.616e-15,1.158e-13,1.236e-15,1.699e-13,7.573e-29,1.308e-12,3.821e-15
2453675.56,1.018e-12,3.614e-15,1.179e-13,1.213e-15,1.676e-13,5.048999999999999e-29,1.304e-12,3.812e-15
2453677.48,1.012e-12,3.405e-15,1.163e-13,1.207e-15,1.661e-13,0.0,1.294e-12,3.612e-15
2453683.53,9.917e-13,4.943e-15,1.136e-13,1.383e-15,1.647e-13,5.048999999999999e-29,1.27e-12,5.133e-15
2453686.52,9.857e-13,5.342e-15,1.068e-13,1.662e-15,1.571e-13,5.048999999999999e-29,1.25e-12,5.595e-15
2453689.6,9.87e-13,6.071e-15,1.116e-13,1.694e-15,1.495e-13,2.5239999999999998e-29,1.248e-12,6.303e-15
2453697.52,9.482e-13,4.978e-15,1.047e-13,1.45e-15,1.465e-13,5.048999999999999e-29,1.199e-12,5.185e-15
2453699.58,9.245e-13,4.616e-15,1.023e-13,1.409e-15,1.417e-13,5.048999999999999e-29,1.169e-12,4.826e-15
2453702.59,9.015e-13,4.838e-15,9.953e-14,1.468e-15,1.423e-13,2.5239999999999998e-29,1.143e-12,5.056e-15
2453707.59,8.39e-13,4.729e-15,9.429e-14,1.45e-15,1.244e-13,2.5239999999999998e-29,1.058e-12,4.946e-15
2453716.59,6.87e-13,6.835e-15,8.162e-14,2.853e-15,1.048e-13,2.5239999999999998e-29,8.735e-13,7.407e-15
2453717.55,6.721e-13,4.66e-15,7.472e-14,2.787e-15,9.177e-14,2.5239999999999998e-29,8.385e-13,5.43e-15
2453721.54,5.882e-13,8.735e-15,7.351e-14,5.531e-15,7.17e-14,1.2619999999999999e-29,7.334e-13,1.034e-14
2453725.57,4.646e-13,7.029e-15,6.017e-14,4.641e-15,5.758e-14,1.2619999999999999e-29,5.823e-13,8.423e-15
2453730.56,3.412e-13,5.403e-15,4.675e-14,3.574e-15,3.244e-14,6.311000000000001e-30,4.204e-13,6.478e-15
2453737.55,2.134e-13,4.415e-15,3.266e-14,2.854e-15,1.598e-14,3.155e-30,2.621e-13,5.258e-15
