JD,fqbol,fqbol_err,ircorr,ircorr_err,uvcorr,uvcorr_err,fbol,fbol_err
2453650.67,5.955e-13,4.321e-15,2.148e-14,2.713e-16,5.831e-13,1.418e-14,1.2e-12,1.483e-14
2453654.65,5.759e-13,4.595e-15,2.391e-14,3.45e-16,4.333e-13,1.12e-14,1.033e-12,1.211e-14
2453655.65,5.608e-13,4.527e-15,2.358e-14,4.262e-16,1.457e-13,0.0,7.301e-13,4.547e-15
2453663.64,4.466e-13,5.316e-15,3.425e-14,8.614e-16,1.362e-13,2.5239999999999998e-29,6.171e-13,5.386e-15
2453666.61,4.446e-13,5.251e-15,3.821e-14,9.069e-16,1.056e-13,1.2619999999999999e-29,5.884e-13,5.329e-15
2453670.53,4.481e-13,3.325e-15,4.355e-14,6.424e-16,8.463e-14,1.2619999999999999e-29,5.763e-13,3.387e-15
2453671.63,4.417e-13,5.761e-15,4.605e-14,9.917e-16,7.811e-14,0.0,5.659e-13,5.845e-15
2453673.6,4.27e-13,5.549e-15,4.427e-14,1.061e-15,7.243e-14,1.2619999999999999e-29,5.437e-13,5.65e-15
2453674.53,4.311e-13,2.993e-15,4.586e-14,8.337e-16,6.791e-14,0.0,5.449e-13,3.107e-15
2453703.6,3.729e-13,6.11e-15,6.216e-14,1.463e-15,3.59e-14,6.311000000000001e-30,4.71e-13,6.283e-15
