JD,fqbol,fqbol_err,ircorr,ircorr_err,uvcorr,uvcorr_err,fbol,fbol_err
2453655.74,6.665e-13,3.825e-15,1.08e-13,2.049e-15,8.052e-14,0.0,8.55e-13,4.339e-15
2453656.64,6.621e-13,3.99e-15,1.066e-13,2.916e-15,7.898e-14,2.5239999999999998e-29,8.476e-13,4.942e-15
2453658.67,6.532e-13,4.063e-15,1.079e-13,1.953e-15,8.045e-14,1.2619999999999999e-29,8.416e-13,4.508e-15
2453659.64,6.402e-13,4.887e-15,1.106e-13,2.115e-15,7.276e-14,0.0,8.235e-13,5.325e-15
2453661.75,6.392e-13,3.891e-15,1.064e-13,2.786e-15,6.872e-14,1.2619999999999999e-29,8.144e-13,4.785e-15
2453665.74,6.14e-13,3.559e-15,9.914e-14,1.871e-15,6.533e-14,0.0,7.785e-13,4.021e-15
2453668.68,5.861e-13,3.095e-15,8.672e-14,2.163e-15,5.748e-14,0.0,7.303e-13,3.776e-15
2453669.7,5.844e-13,2.855e-15,9.778e-14,1.928e-15,5.469e-14,1.2619999999999999e-29,7.369e-13,3.445e-15
2453678.68,5.589e-13,8.061e-15,1.037e-13,2.989e-15,4.524e-14,6.311000000000001e-30,7.078e-13,8.597e-15
2453683.7,5.505e-13,9.855e-15,9.958e-14,7.406e-15,3.933e-14,1.2619999999999999e-29,6.894e-13,1.233e-14
2453695.78,5.044e-13,1.544e-14,9.745e-14,7.589e-15,3.209e-14,0.0,6.34e-13,1.721e-14
2453703.74,4.792e-13,8.996e-15,1.045e-13,7.547e-15,2.805e-14,1.2619999999999999e-29,6.118e-13,1.174e-14
2453713.63,3.988e-13,7.95e-15,9.599e-14,6.937e-15,3.836e-14,6.311000000000001e-30,5.332e-13,1.055e-14
