JD,fqbol,fqbol_err,ircorr,ircorr_err,uvcorr,uvcorr_err,fbol,fbol_err
2453669.79,9.226e-13,2.953e-15,1.654e-13,1.862e-15,6.757e-14,0.0,1.156e-12,3.491e-15
2453670.77,1.002e-12,3.095e-15,8.419e-14,8.44e-16,6.311e-14,1.2619999999999999e-29,1.149e-12,3.208e-15
2453671.8,8.869e-13,2.62e-15,1.664e-13,1.482e-15,6.139e-14,1.2619999999999999e-29,1.115e-12,3.01e-15
2453671.81,9.914e-13,3.296e-15,8.581e-14,9.405e-16,5.934e-14,1.2619999999999999e-29,1.137e-12,3.428e-15
2453675.79,8.439e-13,2.781e-15,1.659e-13,1.504e-15,4.314e-14,1.2619999999999999e-29,1.053e-12,3.162e-15
2453678.75,9.077e-13,3.564e-15,8.379e-14,1.011e-15,4.008e-14,6.311000000000001e-30,1.032e-12,3.705e-15
2453682.86,7.912e-13,3.672e-15,1.634e-13,1.777e-15,3.228e-14,6.311000000000001e-30,9.869e-13,4.079e-15
2453683.78,7.795e-13,2.366e-15,1.596e-13,1.571e-15,3.137e-14,1.2619999999999999e-29,9.706e-13,2.84e-15
2453685.75,8.01e-13,3.431e-15,8.519e-14,1.107e-15,1.389e-13,0.0,1.025e-12,3.606e-15
2453689.78,6.575e-13,3.239e-15,1.577e-13,1.896e-15,1.247e-13,2.5239999999999998e-29,9.399e-13,3.753e-15
2453690.8,6.481e-13,3.399e-15,1.492e-13,1.902e-15,1.12e-13,2.5239999999999998e-29,9.093e-13,3.895e-15
2453692.78,6.062e-13,2.371e-15,1.466e-13,1.947e-15,1.036e-13,5.048999999999999e-29,8.565e-13,3.068e-15
2453694.79,5.534e-13,2.465e-15,1.452e-13,1.844e-15,8.837e-14,2.5239999999999998e-29,7.87e-13,3.079e-15
2453698.8,4.591e-13,2.047e-15,1.303e-13,1.73e-15,7.411e-14,0.0,6.635e-13,2.68e-15
2453699.74,4.209e-13,2.071e-15,1.299e-13,1.885e-15,5.223e-14,1.2619999999999999e-29,6.03e-13,2.801e-15
2453700.75,3.914e-13,2.089e-15,1.185e-13,1.584e-15,5.099e-14,1.893e-29,5.609e-13,2.621e-15
2453702.73,3.345e-13,1.904e-15,1.165e-13,2.017e-15,4.222e-14,0.0,4.932e-13,2.773e-15
2453703.8,3.056e-13,1.87e-15,1.154e-13,1.979e-15,3.701e-14,6.311000000000001e-30,4.58e-13,2.723e-15
2453706.75,2.524e-13,1.742e-15,9.86e-14,2.341e-15,3e-14,0.0,3.81e-13,2.918e-15
2453709.75,2.204e-13,1.983e-15,7.539e-14,2.078e-15,0.0,0.0,2.958e-13,2.872e-15
2453713.76,2.058e-13,1.334e-15,7.588e-14,1.471e-15,0.0,0.0,2.817e-13,1.986e-15
2453719.64,2.275e-13,1.515e-15,3.547e-14,6.635e-16,0.0,0.0,2.63e-13,1.654e-15
