JD,fqbol,fqbol_err,ircorr,ircorr_err,uvcorr,uvcorr_err,fbol,fbol_err
2453695.84,4.616e-13,7.27e-15,3.176e-14,1.462e-15,0,0,4.933e-13,7.416e-15
2453706.86,4.304e-13,8.069e-15,3.125e-14,2.112e-15,0,0,4.617e-13,8.341e-15
2453712.81,4.095e-13,6.535e-15,2.16e-14,8.748e-16,0,0,4.311e-13,6.593e-15
2453720.8,3.982e-13,7.031e-15,2.873e-14,1.637e-15,0,0,4.269e-13,7.219e-15
2453729.79,3.649e-13,5.77e-15,1.788e-14,8.119e-16,0,0,3.828e-13,5.827e-15
2453737.82,3.389e-13,5.085e-15,1.539e-14,7.39e-16,0,0,3.543e-13,5.139e-15
2453740.82,3.392e-13,5.228e-15,1.482e-14,7.019e-16,0,0,3.541e-13,5.275e-15
2453747.79,3.275e-13,5.955e-15,1.732e-14,1.311e-15,0,0,3.448e-13,6.098e-15
2453748.79,3.059e-13,5.433e-15,1.402e-14,1.152e-15,0,0,3.199e-13,5.554e-15
2453755.79,3.046e-13,4.989e-15,1.417e-14,8.231e-16,0,0,3.187e-13,5.056e-15
2453762.74,2.904e-13,4.42e-15,1.206e-14,5.555e-16,0,0,3.025e-13,4.454e-15
2453763.74,2.877e-13,4.267e-15,1.177e-14,5.207e-16,0,0,2.995e-13,4.299e-15
2453764.75,2.873e-13,4.234e-15,1.235e-14,5.268e-16,0,0,2.997e-13,4.267e-15
2453765.73,2.815e-13,4.082e-15,1.113e-14,4.47e-16,0,0,2.926e-13,4.106e-15
2453772.75,2.681e-13,3.789e-15,9.405e-15,3.969e-16,0,0,2.775e-13,3.81e-15
2453786.73,2.473e-13,3.782e-15,1.036e-14,5.352e-16,0,0,2.577e-13,3.82e-15
2453799.66,2.172e-13,3.396e-15,7.979e-15,4.658e-16,0,0,2.251e-13,3.427e-15
2453841.61,1.5e-13,2.687e-15,6.888e-15,5.938e-16,0,0,1.569e-13,2.752e-15
