JD,fqbol,fqbol_err,ircorr,ircorr_err,uvcorr,uvcorr_err,fbol,fbol_err
2453721.81,1.283e-12,1.465e-14,1.221e-13,2.132e-15,1.841e-13,4.088e-15,1.589e-12,1.536e-14
2453722.83,1.298e-12,1.533e-14,1.203e-13,2.13e-15,1.371e-13,2.5239999999999998e-29,1.555e-12,1.547e-14
2453724.82,1.303e-12,1.173e-14,1.296e-13,1.144e-15,1.417e-13,0.0,1.574e-12,1.179e-14
2453725.83,1.309e-12,1.309e-14,1.324e-13,1.941e-15,1.489e-13,0.0,1.59e-12,1.323e-14
2453726.85,1.329e-12,1.669e-14,1.428e-13,2.17e-15,1.439e-13,0.0,1.616e-12,1.683e-14
2453729.84,1.265e-12,2.492e-14,1.432e-13,2.848e-15,1.124e-13,0.0,1.52e-12,2.509e-14
2453736.84,1.277e-12,3.378e-14,2.225e-13,4.27e-15,6.027e-14,1.2619999999999999e-29,1.56e-12,3.405e-14
2453737.85,1.208e-12,3.519e-14,2.309e-13,5.087e-15,1.547e-13,5.048999999999999e-29,1.594e-12,3.555e-14
2453738.82,1.187e-12,3.374e-14,2.165e-13,7.435e-15,1.429e-13,2.5239999999999998e-29,1.546e-12,3.455e-14
2453739.85,1.211e-12,3.524e-14,2.128e-13,5.335e-15,1.399e-13,0.0,1.563e-12,3.564e-14
2453741.79,1.147e-12,3.367e-14,2.082e-13,4.36e-15,1.267e-13,2.5239999999999998e-29,1.481e-12,3.395e-14
2453746.81,1.087e-12,3.115e-14,2.208e-13,5.129e-15,9.888e-14,2.5239999999999998e-29,1.406e-12,3.157e-14
2453747.83,1.081e-12,2.956e-14,2.311e-13,5.2e-15,9.194e-14,2.5239999999999998e-29,1.404e-12,3.002e-14
2453750.83,1.053e-12,2.638e-14,2.267e-13,6.205e-15,8.134e-14,2.5239999999999998e-29,1.361e-12,2.71e-14
2453752.84,1.041e-12,2.288e-14,2.219e-13,5.688e-15,7.058e-14,1.2619999999999999e-29,1.333e-12,2.358e-14
2453757.84,9.647e-13,5.709e-15,1.458e-13,1.842e-15,6.08e-14,2.5239999999999998e-29,1.171e-12,5.999e-15
2453760.73,9.454e-13,1.185e-14,1.794e-13,4.912e-15,5.354e-14,6.311000000000001e-30,1.178e-12,1.283e-14
2453761.83,9.243e-13,1.424e-14,1.867e-13,6.09e-15,5.774e-14,2.5239999999999998e-29,1.169e-12,1.549e-14
2453762.84,9.234e-13,1.706e-14,1.899e-13,6.954e-15,4.545e-14,0.0,1.159e-12,1.842e-14
2453763.84,9.086e-13,1.784e-14,1.923e-13,7.829e-15,4.821e-14,1.2619999999999999e-29,1.149e-12,1.948e-14
2453764.82,9.095e-13,2.046e-14,1.936e-13,8.172e-15,4.328e-14,1.2619999999999999e-29,1.146e-12,2.204e-14
2453765.8,9.061e-13,2.137e-14,1.97e-13,8.874e-15,5.271e-14,0.0,1.156e-12,2.314e-14
2453772.79,8.433e-13,1.944e-14,2.033e-13,8.689e-15,3.78e-14,6.311000000000001e-30,1.084e-12,2.13e-14
2453774.78,8.259e-13,1.579e-14,1.994e-13,8.119e-15,3.721e-14,0.0,1.063e-12,1.775e-14
2453779.74,7.851e-13,5.938e-15,1.632e-13,3.937e-15,3.2e-14,6.311000000000001e-30,9.803e-13,7.124e-15
2453784.8,7.382e-13,6.76e-15,1.576e-13,2.443e-15,2.789e-14,0.0,9.237e-13,7.188e-15
2453788.76,6.892e-13,4.222e-15,1.44e-13,2.014e-15,2.532e-14,6.311000000000001e-30,8.585e-13,4.678e-15
2453797.86,6.066e-13,5.269e-15,1.135e-13,3.982e-15,2.159e-14,3.155e-30,7.417e-13,6.604e-15
2453798.77,6.127e-13,4.372e-15,1.23e-13,3.075e-15,2.12e-14,3.155e-30,7.569e-13,5.345e-15
2453800.72,6.142e-13,5.001e-15,1.262e-13,3.324e-15,2.1e-14,0.0,7.614e-13,6.005e-15
2453808.7,5.39e-13,6.152e-15,1.051e-13,4.275e-15,2.053e-14,9.466e-30,6.646e-13,7.491e-15
2453809.71,5.186e-13,5.522e-15,1.058e-13,3.265e-15,3.998e-14,1.2619999999999999e-29,6.644e-13,6.415e-15
2453813.71,4.763e-13,6.591e-15,1.055e-13,3.261e-15,3.67e-14,6.311000000000001e-30,6.185e-13,7.354e-15
2453820.77,3.944e-13,6.99e-15,1.021e-13,4.949e-15,7.264e-14,1.2619999999999999e-29,5.692e-13,8.565e-15
2453834.6,2.736e-13,1.851e-15,7.09e-14,1.217e-15,4.609e-14,1.2619999999999999e-29,3.906e-13,2.215e-15
2453834.64,2.407e-13,1.503e-15,7.092e-14,1.246e-15,1.094e-13,3.7869999999999997e-29,4.21e-13,1.952e-15
2453844.59,1.787e-13,5.909e-15,5.218e-14,1.835e-15,9.141e-14,2.5239999999999998e-29,3.223e-13,6.187e-15
