JD,fqbol,fqbol_err,ircorr,ircorr_err,uvcorr,uvcorr_err,fbol,fbol_err
2453736.6,1.377e-12,1.238e-14,8.711e-14,1.198e-15,1.959e-13,0.0,1.66e-12,1.244e-14
2453738.6,1.296e-12,1.14e-14,8.829e-14,1.558e-15,1.504e-13,0.0,1.534e-12,1.151e-14
2453740.58,1.224e-12,1.123e-14,8.734e-14,1.26e-15,1.122e-13,3.7869999999999997e-29,1.423e-12,1.13e-14
2453741.58,1.205e-12,1.222e-14,9.033e-14,1.589e-15,1.088e-13,0.0,1.404e-12,1.232e-14
2453748.6,9.468e-13,1.193e-14,9.848e-14,2.095e-15,1.793e-13,0.0,1.225e-12,1.211e-14
2453752.58,8.748e-13,1.122e-14,9.897e-14,1.954e-15,1.539e-13,2.5239999999999998e-29,1.128e-12,1.139e-14
2453760.57,7.908e-13,1.082e-14,9.767e-14,1.792e-15,1.117e-13,5.048999999999999e-29,1e-12,1.097e-14
2453762.57,7.61e-13,9.902e-15,9.655e-14,1.859e-15,1.028e-13,3.7869999999999997e-29,9.603e-13,1.008e-14
2453764.56,7.583e-13,1.048e-14,1.001e-13,2.132e-15,9.87e-14,1.2619999999999999e-29,9.571e-13,1.07e-14
2453768.57,7.158e-13,1.04e-14,9.404e-14,1.962e-15,9.331e-14,2.5239999999999998e-29,9.031e-13,1.058e-14
2453772.56,7.016e-13,1.03e-14,1.009e-13,2.428e-15,8.052e-14,0.0,8.83e-13,1.058e-14
2453775.39,6.714e-13,1.001e-14,9.57e-14,2.518e-15,7.256e-14,1.2619999999999999e-29,8.397e-13,1.032e-14
2453778.54,6.51e-13,1.006e-14,8.792e-14,2.766e-15,7.789e-14,2.5239999999999998e-29,8.168e-13,1.043e-14
2453785.53,6.062e-13,9.185e-15,9.354e-14,2.657e-15,6.485e-14,1.2619999999999999e-29,7.646e-13,9.562e-15
2453798.51,4.952e-13,9.442e-15,7.529e-14,3.242e-15,4.482e-14,1.2619999999999999e-29,6.153e-13,9.983e-15
