JD,fqbol,fqbol_err,ircorr,ircorr_err,uvcorr,uvcorr_err,fbol,fbol_err
2453775.49,1.719e-12,6.509e-15,7.554e-14,6.93e-16,1.116e-12,1.938e-14,2.91e-12,2.045e-14
2453776.66,1.66e-12,4.793e-15,7.987e-14,6.582e-16,9.208e-13,1.32e-14,2.66e-12,1.406e-14
2453777.63,1.611e-12,4.499e-15,8.267e-14,8.08e-16,3.938e-13,5.139e-14,2.087e-12,5.159e-14
2453778.6,1.549e-12,6.255e-15,8.399e-14,1.215e-15,3.399e-13,5.048999999999999e-29,1.973e-12,6.372e-15
2453779.63,1.495e-12,4.901e-15,8.629e-14,9.421e-16,3.123e-13,0.0,1.894e-12,4.99e-15
2453781.67,1.377e-12,8.337e-15,8.802e-14,1.664e-15,2.557e-13,0.0,1.721e-12,8.501e-15
2453783.58,1.193e-12,4.84e-15,7.989e-14,1.045e-15,2.105e-13,7.573e-29,1.484e-12,4.951e-15
2453784.64,1.117e-12,4.664e-15,7.476e-14,1.057e-15,1.976e-13,5.048999999999999e-29,1.389e-12,4.782e-15
2453785.63,1.055e-12,2.231e-15,7.199e-14,5.541e-16,1.651e-13,2.5239999999999998e-29,1.292e-12,2.299e-15
2453786.65,9.937e-13,3.432e-15,7.84e-14,3.602e-16,1.495e-13,7.573e-29,1.222e-12,3.451e-15
2453788.59,9.017e-13,2.089e-15,7.237e-14,3.687e-16,1.209e-13,0.0,1.095e-12,2.121e-15
2453788.64,9.009e-13,3.596e-15,7.435e-14,4.138e-16,1.108e-13,3.7869999999999997e-29,1.086e-12,3.62e-15
2453790.53,8.392e-13,3.672e-15,7.181e-14,6.679e-16,9.775e-14,5.048999999999999e-29,1.009e-12,3.732e-15
2453796.6,6.821e-13,3.955e-15,7.821e-14,9.679e-16,1.553e-13,5.048999999999999e-29,9.156e-13,4.071e-15
2453798.56,6.675e-13,4.027e-15,7.779e-14,1.172e-15,1.506e-13,2.5239999999999998e-29,8.959e-13,4.194e-15
2453799.58,6.568e-13,3.862e-15,7.47e-14,1.105e-15,1.385e-13,2.5239999999999998e-29,8.7e-13,4.017e-15
2453801.58,6.505e-13,4.02e-15,7.676e-14,1.177e-15,1.375e-13,0.0,8.647e-13,4.188e-15
2453802.62,6.464e-13,3.826e-15,7.492e-14,1.056e-15,1.35e-13,2.5239999999999998e-29,8.563e-13,3.969e-15
2453803.54,6.372e-13,3.769e-15,7.281e-14,8.985e-16,1.328e-13,0.0,8.428e-13,3.875e-15
2453805.59,6.303e-13,3.661e-15,7.782e-14,1.205e-15,1.261e-13,2.5239999999999998e-29,8.342e-13,3.854e-15
2453808.57,6.34e-13,3.687e-15,8.036e-14,1.228e-15,1.21e-13,2.5239999999999998e-29,8.353e-13,3.886e-15
2453809.57,6.382e-13,3.846e-15,8.267e-14,1.154e-15,1.255e-13,2.5239999999999998e-29,8.464e-13,4.016e-15
2453813.55,6.158e-13,4.074e-15,8.597e-14,1.174e-15,1.028e-13,3.7869999999999997e-29,8.046e-13,4.239e-15
2453818.58,5.563e-13,3.864e-15,7.709e-14,1.328e-15,7.654e-14,2.5239999999999998e-29,7.1e-13,4.086e-15
2453820.53,5.265e-13,4.243e-15,7.454e-14,1.36e-15,6.879e-14,1.2619999999999999e-29,6.699e-13,4.456e-15
2453823.51,4.581e-13,4.395e-15,6.981e-14,1.521e-15,5.669e-14,0.0,5.846e-13,4.651e-15
2453824.49,4.421e-13,4.558e-15,6.157e-14,2.551e-15,5.011e-14,1.893e-29,5.538e-13,5.223e-15
2453826.48,3.849e-13,4.157e-15,5.412e-14,2.705e-15,4.433e-14,6.311000000000001e-30,4.833e-13,4.96e-15
2453832.5,2.339e-13,1.785e-15,4.498e-14,9.956e-16,3.79e-14,6.311000000000001e-30,3.167e-13,2.044e-15
2453832.52,2.307e-13,2.025e-15,4.622e-14,1.071e-15,3.701e-14,0.0,3.14e-13,2.291e-15
2453837.52,1.694e-13,3.221e-15,3.78e-14,1.913e-15,0.0,0.0,2.072e-13,3.747e-15
2453838.55,1.602e-13,2.583e-15,3.346e-14,1.711e-15,0.0,0.0,1.937e-13,3.098e-15
2453841.52,1.502e-13,2.108e-15,3.085e-14,1.391e-15,0.0,0.0,1.81e-13,2.525e-15
2453844.48,1.426e-13,2.704e-15,3.5e-14,1.739e-15,0.0,0.0,1.776e-13,3.215e-15
