JD,fqbol,fqbol_err,ircorr,ircorr_err,uvcorr,uvcorr_err,fbol,fbol_err
2453786.6,8.458e-12,2.146e-14,3.007e-13,1.455e-15,8.952e-12,9.843e-14,1.771e-11,1.008e-13
2453786.81,8.486e-12,2.047e-14,3.087e-13,1.227e-15,8.492e-12,8.171e-14,1.729e-11,8.424e-14
2453787.64,8.515e-12,1.552e-14,3.236e-13,1.211e-15,7.86e-12,6.366e-14,1.67e-11,6.553e-14
2453788.65,8.526e-12,1.431e-14,3.457e-13,1.314e-15,6.983e-12,4.978e-14,1.585e-11,5.181e-14
2453788.73,8.516e-12,1.738e-14,3.546e-13,1.212e-15,6.606e-12,5.503e-14,1.548e-11,5.772e-14
2453789.68,8.568e-12,1.176e-14,3.714e-13,1.267e-15,6.08e-12,3.868e-14,1.502e-11,4.045e-14
2453790.55,8.543e-12,1.718e-14,3.924e-13,1.604e-15,5.428e-12,4.285e-14,1.436e-11,4.62e-14
2453795.57,7.702e-12,1.432e-14,4.45e-13,1.712e-15,1.627e-12,4.039000000000001e-28,9.774e-12,1.442e-14
2453796.65,7.4e-12,9.599e-15,4.412e-13,1.478e-15,1.475e-12,2.019e-28,9.317e-12,9.712e-15
2453798.59,6.851e-12,1.394e-14,4.411e-13,1.67e-15,1.274e-12,2.019e-28,8.567e-12,1.404e-14
2453799.61,6.513e-12,1.302e-14,4.32e-13,1.474e-15,1.104e-12,0.0,8.049e-12,1.31e-14
2453800.6,6.274e-12,8.168e-15,4.1e-13,1.352e-15,1.052e-12,2.019e-28,7.736e-12,8.279e-15
2453801.6,6.032e-12,1.342e-14,4.188e-13,1.822e-15,1.006e-12,2.019e-28,7.456e-12,1.354e-14
2453802.65,5.681e-12,1.212e-14,4.067e-13,1.784e-15,8.482e-13,2.019e-28,6.936e-12,1.225e-14
2453803.69,5.447e-12,8.781e-15,3.846e-13,1.573e-15,7.953e-13,3.029e-28,6.627e-12,8.921e-15
2453804.71,5.233e-12,1.258e-14,3.903e-13,1.914e-15,6.788e-13,3.029e-28,6.302e-12,1.272e-14
2453808.64,4.567e-12,1.006e-14,3.708e-13,2.418e-15,4.999e-13,0.0,5.438e-12,1.035e-14
2453809.6,4.461e-12,1.621e-14,3.603e-13,2.089e-15,4.963e-13,1.01e-28,5.317e-12,1.634e-14
2453810.56,4.332e-12,9.888e-15,3.554e-13,2.166e-15,4.17e-13,1.01e-28,5.104e-12,1.012e-14
2453817.56,3.777e-12,8.372e-15,3.745e-13,2.264e-15,2.188e-13,7.573e-29,4.37e-12,8.672e-15
2453818.63,3.71e-12,1.028e-14,3.603e-13,6.161e-15,1.956e-13,5.048999999999999e-29,4.266e-12,1.198e-14
2453819.66,3.653e-12,1.118e-14,3.446e-13,3.249e-15,1.837e-13,7.573e-29,4.181e-12,1.164e-14
2453823.56,3.46e-12,1.669e-14,3.439e-13,4.153e-15,1.316e-13,0.0,3.935e-12,1.72e-14
2453824.55,3.397e-12,1.753e-14,3.411e-13,4.206e-15,1.215e-13,2.5239999999999998e-29,3.86e-12,1.803e-14
2453833.53,2.876e-12,9.785e-15,3.465e-13,2.73e-15,4.34e-13,2.019e-28,3.656e-12,1.016e-14
2453835.51,2.811e-12,7.763e-15,3.411e-13,2.625e-15,4.028e-13,1.515e-28,3.554e-12,8.194e-15
2453839.5,2.652e-12,8.001e-15,3.366e-13,2.91e-15,3.547e-13,0.0,3.344e-12,8.514e-15
2453840.51,2.589e-12,8.031e-15,3.337e-13,2.75e-15,3.206e-13,0.0,3.244e-12,8.488e-15
2453845.48,2.327e-12,7.214e-15,3.25e-13,2.343e-15,2.589e-13,0.0,2.911e-12,7.584e-15
2453845.51,2.332e-12,6.654e-15,3.209e-13,2.199e-15,2.686e-13,1.01e-28,2.921e-12,7.008e-15
2453852.54,1.61e-12,7.649e-15,2.632e-13,3.55e-15,1.52e-13,0.0,2.025e-12,8.432e-15
2453853.54,1.491e-12,7.583e-15,2.473e-13,3.696e-15,1.297e-13,2.5239999999999998e-29,1.868e-12,8.436e-15
2453861.46,6.677e-13,5.675e-15,2.915e-13,6.617e-15,8.052e-14,0.0,1.04e-12,8.718e-15
2453862.49,6.313e-13,5.112e-15,2.69e-13,6.104e-15,0.0,0.0,9.002e-13,7.962e-15
2453863.52,6.078e-13,3.98e-15,2.456e-13,4.757e-15,0.0,0.0,8.533e-13,6.202e-15
2453867.46,5.672e-13,5.234e-15,1.912e-13,4.446e-15,0.0,0.0,7.584e-13,6.867e-15
2453869.46,5.4e-13,4.686e-15,2.033e-13,4.819e-15,0.0,0.0,7.433e-13,6.722e-15
2453872.45,5.314e-13,6.968e-15,2.15e-13,7.672e-15,0.0,0.0,7.464e-13,1.036e-14
