JD,fqbol,fqbol_err,ircorr,ircorr_err,uvcorr,uvcorr_err,fbol,fbol_err
2453821.59,4.319e-12,1.523e-14,1.784e-13,1.437e-15,3.459e-12,5.198e-14,7.956e-12,5.418e-14
2453822.53,4.181e-12,1.316e-14,1.763e-13,1.459e-15,3.122e-12,4.233e-14,7.479e-12,4.435e-14
2453823.54,4.085e-12,1.501e-14,1.9e-13,1.443e-15,2.517e-12,3.343e-14,6.791e-12,3.668e-14
2453824.52,3.936e-12,1.52e-14,1.941e-13,1.497e-15,2.194e-12,2.98e-14,6.324e-12,3.348e-14
2453829.6,3.592e-12,1.051e-14,2.104e-13,1.689e-15,7.415e-13,0.0,4.544e-12,1.065e-14
2453830.5,3.554e-12,7.989e-15,2.217e-13,1.159e-15,6.92e-13,0.0,4.467e-12,8.073e-15
2453831.55,3.517e-12,1.778e-14,2.297e-13,1.278e-15,6.548e-13,2.019e-28,4.402e-12,1.783e-14
2453833.55,3.435e-12,1.617e-14,2.389e-13,1.264e-15,5.604e-13,0.0,4.235e-12,1.622e-14
2453835.49,3.344e-12,9.001e-15,2.482e-13,1.343e-15,4.67e-13,2.019e-28,4.059e-12,9.1e-15
2453840.49,3.199e-12,9.527e-15,2.76e-13,9.824e-16,2.732e-13,5.048999999999999e-29,3.748e-12,9.577e-15
2453843.5,3.185e-12,8.518e-15,2.85e-13,2.78e-15,2.453e-13,5.048999999999999e-29,3.715e-12,8.961e-15
2453846.49,3.202e-12,7.256e-15,3.021e-13,1.607e-15,1.924e-13,5.048999999999999e-29,3.696e-12,7.431e-15
2453846.52,2.909e-12,9.052e-15,5.798e-13,2.069e-15,1.918e-13,0.0,3.681e-12,9.285e-15
2453852.49,2.981e-12,7.231e-15,6.401e-13,7.758e-15,1.172e-13,2.5239999999999998e-29,3.738e-12,1.061e-14
2453853.5,2.989e-12,8.454e-15,6.522e-13,3.971e-15,1.095e-13,2.5239999999999998e-29,3.751e-12,9.34e-15
2453858.47,2.945e-12,1.189e-14,7.096e-13,6.503e-15,5.581e-13,1.01e-28,4.213e-12,1.355e-14
2453863.47,3.128e-12,7.708e-15,7.928e-13,7.722e-15,5.622e-13,1.01e-28,4.483e-12,1.091e-14
2453866.5,3.25e-12,8.846e-15,8.135e-13,9.975e-15,5.685e-13,0.0,4.632e-12,1.333e-14
2453871.47,3.436e-12,1.704e-14,8.794e-13,1.629e-14,5.586e-13,1.01e-28,4.874e-12,2.357e-14
