JD,fqbol,fqbol_err,ircorr,ircorr_err,uvcorr,uvcorr_err,fbol,fbol_err
2453823.81,8.7e-12,3.04e-14,6.48e-13,4.059e-15,8.728e-13,1.01e-28,1.022e-11,3.067e-14
2453824.83,8.549e-12,2.813e-14,6.706e-13,4.294e-15,7.916e-13,1.01e-28,1.001e-11,2.846e-14
2453830.85,7.958e-12,9.89e-15,7.286e-13,2.891e-15,4.757e-13,2.019e-28,9.162e-12,1.03e-14
2453831.81,7.924e-12,1.658e-14,7.91e-13,3.293e-15,4.374e-13,1.515e-28,9.152e-12,1.69e-14
2453833.85,7.761e-12,1.876e-14,8.07e-13,3.086e-15,3.727e-13,0.0,8.941e-12,1.901e-14
2453835.84,7.66e-12,1.514e-14,8.121e-13,2.848e-15,3.484e-13,0.0,8.82e-12,1.54e-14
2453837.81,7.582e-12,7.97e-15,7.792e-13,2.489e-15,2.938e-13,0.0,8.655e-12,8.35e-15
2453840.78,7.444e-12,1.686e-14,8.447e-13,2.261e-15,2.467e-13,1.01e-28,8.536e-12,1.701e-14
2453841.81,7.412e-12,1.507e-14,8.482e-13,2.219e-15,2.332e-13,0.0,8.493e-12,1.523e-14
2453843.79,7.325e-12,6.087e-15,7.845e-13,1.906e-15,2.103e-13,2.5239999999999998e-29,8.32e-12,6.379e-15
2453845.78,7.26e-12,9.856e-15,8.188e-13,1.769e-15,1.908e-13,2.5239999999999998e-29,8.269e-12,1.001e-14
2453845.79,7.255e-12,6.415e-15,7.627e-13,1.855e-15,1.908e-13,2.5239999999999998e-29,8.209e-12,6.678e-15
2453846.79,7.254e-12,1.042e-14,8.586e-13,2.031e-15,1.847e-13,2.5239999999999998e-29,8.298e-12,1.061e-14
2453848.77,7.244e-12,7.333e-15,8.356e-13,2.34e-15,1.669e-13,5.048999999999999e-29,8.247e-12,7.698e-15
2453850.78,7.189e-12,1.262e-14,8.857e-13,2.325e-15,1.535e-13,5.048999999999999e-29,8.228e-12,1.283e-14
2453852.75,7.118e-12,7.86e-15,8.403e-13,2.739e-15,1.422e-13,2.5239999999999998e-29,8.1e-12,8.323e-15
2453859.74,6.99e-12,1.202e-14,8.925e-13,3.437e-15,1.115e-13,3.7869999999999997e-29,7.994e-12,1.25e-14
2453861.76,6.923e-12,1.718e-14,9.116e-13,3.283e-15,1.035e-13,0.0,7.938e-12,1.75e-14
2453862.72,6.891e-12,1.943e-14,9.118e-13,3.472e-15,1.004e-13,1.2619999999999999e-29,7.903e-12,1.974e-14
2453866.73,6.47e-12,1.736e-14,9.025e-13,3.659e-15,4.184e-13,1.073e-15,7.791e-12,1.777e-14
2453867.73,6.452e-12,1.423e-14,8.964e-13,4.035e-15,4.011e-13,8.796e-16,7.75e-12,1.482e-14
2453868.76,6.411e-12,8.821e-15,8.676e-13,3.39e-15,3.801e-13,5.952e-16,7.659e-12,9.469e-15
2453870.73,6.306e-12,8.497e-14,8.671e-13,9.778e-15,3.612e-13,4.422e-15,7.535e-12,8.564e-14
2453890.67,4.421e-12,6.909e-14,8.091e-13,9.002e-15,1.34e-13,1.842e-15,5.364e-12,6.97e-14
2453891.69,4.169e-12,6.437e-14,7.743e-13,9.674e-15,1.219e-13,1.671e-15,5.065e-12,6.511e-14
