JD,fqbol,fqbol_err,ircorr,ircorr_err,uvcorr,uvcorr_err,fbol,fbol_err
2453832.83,2.296e-12,5.719e-15,1.05e-13,9.083e-16,1.399e-12,2.305e-14,3.8e-12,2.376e-14
2453832.84,2.297e-12,4.629e-15,1.053e-13,7.409e-16,1.365e-12,1.716e-14,3.767e-12,1.779e-14
2453833.76,2.226e-12,5.317e-15,1.067e-13,8.887e-16,1.252e-12,1.891e-14,3.584e-12,1.966e-14
2453834.83,2.153e-12,5.834e-15,1.082e-13,9.463e-16,1.145e-12,1.843e-14,3.406e-12,1.935e-14
2453835.8,2.065e-12,5.037e-15,1.022e-13,1.034e-15,4.986e-13,1.01e-28,2.666e-12,5.142e-15
2453835.84,2.066e-12,3.385e-15,1.044e-13,6.08e-16,4.999e-13,0.0,2.671e-12,3.439e-15
2453838.77,1.858e-12,9.19e-15,1.036e-13,1.495e-15,3.892e-13,5.048999999999999e-29,2.351e-12,9.311e-15
2453840.75,1.736e-12,6.877e-15,9.321e-14,1.317e-15,3.334e-13,1.01e-28,2.163e-12,7.001e-15
2453841.78,1.677e-12,6.297e-15,9.381e-14,1.371e-15,3.475e-13,5.048999999999999e-29,2.118e-12,6.445e-15
2453844.79,1.55e-12,3.314e-15,8.856e-14,4.865e-16,2.382e-13,1.515e-28,1.877e-12,3.35e-15
2453845.74,1.529e-12,3.394e-15,9.367e-14,4.643e-16,2.075e-13,2.5239999999999998e-29,1.83e-12,3.426e-15
2453846.79,1.477e-12,2.676e-15,9.813e-14,5.213e-16,1.804e-13,2.5239999999999998e-29,1.755e-12,2.727e-15
2453850.75,1.222e-12,1.351e-14,1.015e-13,1.731e-15,3.112e-13,5.048999999999999e-29,1.635e-12,1.362e-14
2453853.81,1.162e-12,1.299e-14,1.029e-13,1.878e-15,2.567e-13,5.048999999999999e-29,1.522e-12,1.312e-14
2453858.73,1.043e-12,1.25e-14,9.605e-14,1.863e-15,2.019e-13,7.573e-29,1.341e-12,1.263e-14
2453862.77,1.008e-12,1.263e-14,1.113e-13,1.885e-15,1.741e-13,7.573e-29,1.293e-12,1.277e-14
2453866.67,9.426e-13,1.276e-14,1.023e-13,2.393e-15,1.608e-13,2.5239999999999998e-29,1.206e-12,1.299e-14
2453867.71,9.22e-13,1.236e-14,1.003e-13,2.531e-15,1.469e-13,2.5239999999999998e-29,1.169e-12,1.262e-14
2453870.75,8.847e-13,1.302e-14,1.159e-13,3.107e-15,1.271e-13,5.048999999999999e-29,1.128e-12,1.339e-14
2453886.67,7.068e-13,1.491e-14,9.306e-14,4.968e-15,7.898e-14,2.5239999999999998e-29,8.788e-13,1.572e-14
2453890.65,6.461e-13,1.022e-14,9.195e-14,2.471e-15,6.091e-14,0.0,7.99e-13,1.051e-14
2453893.63,6.187e-13,8.846e-15,8.329e-14,1.319e-15,6.019e-14,2.5239999999999998e-29,7.621e-13,8.944e-15
2453894.58,5.919e-13,8.692e-15,8.719e-14,1.507e-15,5.535e-14,1.2619999999999999e-29,7.345e-13,8.821e-15
2453897.58,5.627e-13,8.066e-15,7.5e-14,1.579e-15,5.002e-14,1.893e-29,6.877e-13,8.219e-15
