JD,fqbol,fqbol_err,ircorr,ircorr_err,uvcorr,uvcorr_err,fbol,fbol_err
2453979.88,1.768e-12,7.372e-15,1.078e-13,1.9e-15,1.571e-13,2.5239999999999998e-29,2.032e-12,7.613e-15
2453980.83,1.743e-12,6.457e-15,1.094e-13,1.671e-15,1.446e-13,2.5239999999999998e-29,1.997e-12,6.669e-15
2453981.78,1.709e-12,6.657e-15,1.315e-13,2.604e-15,1.311e-13,0.0,1.971e-12,7.148e-15
2453982.84,1.7e-12,6.905e-15,1.375e-13,2.905e-15,1.297e-13,2.5239999999999998e-29,1.967e-12,7.491e-15
2453986.78,1.511e-12,6.316e-15,1.451e-13,2.392e-15,3.162e-13,5.048999999999999e-29,1.972e-12,6.754e-15
2453987.83,1.506e-12,5.214e-15,1.521e-13,2.334e-15,3.295e-13,0.0,1.987e-12,5.713e-15
2453991.78,1.496e-12,5.252e-15,1.599e-13,2.134e-15,2.975e-13,5.048999999999999e-29,1.954e-12,5.669e-15
2453993.78,1.509e-12,4.364e-15,1.593e-13,2.384e-15,2.826e-13,5.048999999999999e-29,1.951e-12,4.972e-15
2453994.81,1.516e-12,4.594e-15,1.615e-13,1.959e-15,2.792e-13,0.0,1.956e-12,4.995e-15
2453995.81,1.523e-12,4.272e-15,1.594e-13,2.144e-15,2.701e-13,5.048999999999999e-29,1.952e-12,4.779e-15
2453998.77,1.551e-12,4.677e-15,1.692e-13,1.717e-15,2.504e-13,1.01e-28,1.97e-12,4.982e-15
2454001.8,1.575e-12,4.921e-15,1.762e-13,1.754e-15,2.475e-13,5.048999999999999e-29,1.999e-12,5.224e-15
2454002.8,1.581e-12,5.784e-15,1.813e-13,2.957e-15,2.379e-13,0.0,2e-12,6.496e-15
2454003.78,1.578e-12,5.219e-15,1.8e-13,1.872e-15,2.379e-13,0.0,1.996e-12,5.545e-15
2454008.76,1.612e-12,4.961e-15,1.818e-13,1.967e-15,2.128e-13,0.0,2.007e-12,5.337e-15
2454009.73,1.622e-12,6.309e-15,1.801e-13,2.578e-15,2.171e-13,5.048999999999999e-29,2.019e-12,6.816e-15
2454021.75,1.648e-12,1.917e-14,1.96e-13,4.975e-15,1.949e-13,5.048999999999999e-29,2.039e-12,1.981e-14
2454025.78,1.633e-12,4.885e-15,1.748e-13,1.993e-15,1.909e-13,7.573e-29,1.999e-12,5.276e-15
2454027.74,1.623e-12,1.057e-14,1.716e-13,3.676e-15,1.851e-13,7.573e-29,1.98e-12,1.119e-14
2454037.76,1.569e-12,6.981e-15,1.745e-13,3.033e-15,1.639e-13,0.0,1.907e-12,7.612e-15
2454038.71,1.556e-12,4.716e-15,1.75e-13,2.079e-15,1.58e-13,2.5239999999999998e-29,1.889e-12,5.154e-15
2454041.62,1.511e-12,1.094e-14,1.746e-13,4.169e-15,1.53e-13,2.5239999999999998e-29,1.838e-12,1.171e-14
2454045.68,1.455e-12,1.131e-14,1.82e-13,5.216e-15,1.401e-13,5.048999999999999e-29,1.777e-12,1.246e-14
2454048.7,1.386e-12,4.517e-15,1.674e-13,2.029e-15,1.354e-13,0.0,1.689e-12,4.952e-15
2454053.67,1.29e-12,2.189e-14,1.805e-13,5.093e-15,1.104e-13,2.5239999999999998e-29,1.581e-12,2.247e-14
2454067.6,7.971e-13,5.764e-15,1.086e-13,2.941e-15,5.806e-14,1.2619999999999999e-29,9.637e-13,6.471e-15
2454068.62,7.324e-13,4.125e-15,9.573e-14,2.23e-15,5.137e-14,6.311000000000001e-30,8.795e-13,4.689e-15
2454074.58,4.142e-13,6.612e-15,5.386e-14,3.328e-15,3.756e-14,0.0,5.056e-13,7.402e-15
2454078.58,2.983e-13,3.976e-15,4.13e-14,2.557e-15,2.841e-14,0.0,3.68e-13,4.727e-15
2454080.63,2.142e-13,2.831e-15,5.945e-14,3.458e-15,2.443e-14,3.155e-30,2.981e-13,4.468e-15
