JD,fqbol,fqbol_err,ircorr,ircorr_err,uvcorr,uvcorr_err,fbol,fbol_err
2454017.51,1.572e-12,1.388e-14,9.081e-14,6.107e-16,7.633e-13,3.029e-28,2.426e-12,1.39e-14
2454021.52,1.516e-12,7.518e-15,9.434e-14,2.853e-15,5.812e-13,1.01e-28,2.191e-12,8.041e-15
2454023.53,1.501e-12,7.019e-15,9.782e-14,2.082e-15,5.123e-13,1.01e-28,2.111e-12,7.321e-15
2454025.52,1.698e-12,7.385e-15,1.155e-13,6.705e-16,2.196e-13,5.048999999999999e-29,2.033e-12,7.415e-15
2454028.54,1.614e-12,7.422e-15,1.258e-13,1.164e-15,1.481e-13,0.0,1.888e-12,7.512e-15
2454030.52,1.586e-12,5.051e-15,1.392e-13,2.837e-15,1.251e-13,0.0,1.851e-12,5.793e-15
2454033.54,1.529e-12,7.847e-15,1.379e-13,8.521e-16,9.929e-14,1.2619999999999999e-29,1.766e-12,7.893e-15
2454034.49,1.535e-12,1.105e-14,1.413e-13,8.198e-16,9.165e-14,1.2619999999999999e-29,1.768e-12,1.108e-14
2454037.54,1.456e-12,4.114e-15,1.37e-13,1.579e-15,7.873e-14,2.5239999999999998e-29,1.672e-12,4.406e-15
2454040.51,1.458e-12,6.62e-15,1.566e-13,9.875e-16,7.422e-14,0.0,1.689e-12,6.693e-15
2454040.51,1.467e-12,4.177e-15,1.545e-13,1.199e-15,7.273e-14,1.2619999999999999e-29,1.694e-12,4.346e-15
2454042.53,1.365e-12,5.192e-15,1.629e-13,1.003e-15,2.318e-13,0.0,1.76e-12,5.288e-15
2454043.52,1.347e-12,6.815e-15,1.46e-13,4.214e-15,2.228e-13,2.5239999999999998e-29,1.716e-12,8.013e-15
2454049.52,1.351e-12,9.295e-15,1.855e-13,2.334e-15,2.026e-13,5.048999999999999e-29,1.739e-12,9.583e-15
