JD,fqbol,fqbol_err,ircorr,ircorr_err,uvcorr,uvcorr_err,fbol,fbol_err
2454015.52,9.011e-13,7.109e-15,3.283e-14,4.921e-16,8.44e-13,3.218e-14,1.778e-12,3.296e-14
2454016.66,9.041e-13,5.087e-15,3.285e-14,4.56e-16,8.182e-13,2.699e-14,1.755e-12,2.747e-14
2454017.66,8.815e-13,4.082e-15,3.286e-14,3.918e-16,7.937e-13,2.226e-14,1.708e-12,2.263e-14
2454017.7,8.456e-13,8.711e-15,3.013e-14,1.216e-15,8.181e-13,6.407e-14,1.694e-12,6.467e-14
2454018.66,8.835e-13,5.173e-15,3.228e-14,5.148e-16,8.238e-13,2.713e-14,1.74e-12,2.762e-14
2454021.58,8.455e-13,3.573e-15,3.533e-14,3.322e-16,5.905e-13,1.077e-14,1.471e-12,1.135e-14
2454025.61,7.799e-13,4.974e-15,3.716e-14,5.848e-16,4.388e-13,1.073e-14,1.256e-12,1.184e-14
2454027.57,7.637e-13,4.258e-15,4.146e-14,3.05e-16,3.462e-13,4.351e-15,1.151e-12,6.095e-15
2454028.64,7.572e-13,5.181e-15,4.13e-14,7.882e-16,3.308e-13,8.613e-15,1.129e-12,1.008e-14
2454036.62,6.573e-13,4.581e-15,5.205e-14,6.656e-16,6.682e-14,0.0,7.762e-13,4.629e-15
2454038.51,5.703e-13,1.462e-15,4.706e-14,4.06e-16,1.547e-13,5.048999999999999e-29,7.72e-13,1.517e-15
2454044.58,5.369e-13,2.094e-15,4.925e-14,5.592e-16,1.243e-13,0.0,7.104e-13,2.167e-15
2454044.59,5.375e-13,4.23e-15,4.935e-14,8.073e-16,1.243e-13,0.0,7.111e-13,4.307e-15
2454046.51,5.273e-13,4.026e-15,5.298e-14,9.203e-16,1.172e-13,2.5239999999999998e-29,6.976e-13,4.13e-15
2454048.59,5.285e-13,1.704e-15,4.874e-14,8.604e-16,1.095e-13,5.048999999999999e-29,6.868e-13,1.909e-15
2454052.58,5.205e-13,4.739e-15,5.059e-14,1.782e-15,9.842e-14,3.7869999999999997e-29,6.695e-13,5.063e-15
2454073.54,4.667e-13,2.025e-15,5.554e-14,1.051e-15,6.879e-14,1.2619999999999999e-29,5.91e-13,2.281e-15
2454075.59,4.511e-13,7.816e-15,5.697e-14,4.782e-15,6.685e-14,0.0,5.75e-13,9.162e-15
2454085.57,4.657e-13,7.568e-15,6.397e-14,5.022e-15,5.839e-14,0.0,5.881e-13,9.083e-15
2454092.54,4.308e-13,7.244e-15,5.851e-14,4.588e-15,5.085e-14,1.2619999999999999e-29,5.402e-13,8.575e-15
