JD,fqbol,fqbol_err,ircorr,ircorr_err,uvcorr,uvcorr_err,fbol,fbol_err
2454047.52,1.533e-12,6.759e-15,1.379e-13,1.668e-15,3.813e-13,1.01e-28,2.052e-12,6.961e-15
2454048.56,1.48e-12,5.213e-15,1.52e-13,2.188e-15,3.057e-13,5.048999999999999e-29,1.938e-12,5.654e-15
2454049.52,1.444e-12,4.905e-15,1.555e-13,2.297e-15,2.571e-13,5.048999999999999e-29,1.856e-12,5.417e-15
2454052.51,1.325e-12,4.595e-15,1.704e-13,2.186e-15,1.433e-13,2.5239999999999998e-29,1.638e-12,5.089e-15
2454056.53,1.229e-12,4.728e-15,1.861e-13,2.373e-15,8.948e-14,2.5239999999999998e-29,1.505e-12,5.29e-15
2454057.53,1.098e-12,4.82e-15,1.89e-13,1.774e-15,2.924e-13,0.0,1.579e-12,5.136e-15
2454068.53,1.087e-12,5.499e-15,2.292e-13,4.046e-15,2.032e-13,5.048999999999999e-29,1.519e-12,6.827e-15
2454077.54,1.021e-12,5.344e-15,2.422e-13,4.773e-15,2.741e-13,5.048999999999999e-29,1.537e-12,7.165e-15
2454078.54,1.151e-12,5.744e-15,1.27e-13,2.494e-15,2.703e-13,5.048999999999999e-29,1.548e-12,6.262e-15
2454079.53,1.019e-12,5.766e-15,2.415e-13,4.38e-15,2.664e-13,0.0,1.527e-12,7.241e-15
2454083.53,1.022e-12,9.085e-15,2.316e-13,8.395e-15,2.544e-13,5.048999999999999e-29,1.508e-12,1.237e-14
