JD,fqbol,fqbol_err,ircorr,ircorr_err,uvcorr,uvcorr_err,fbol,fbol_err
2454070.85,1.353e-12,6.728e-15,6.622e-14,9.618e-16,6.401e-13,1.417e-14,2.06e-12,1.571e-14
2454071.79,1.344e-12,5.393e-15,6.702e-14,7.656e-16,6.177e-13,1.095e-14,2.029e-12,1.223e-14
2454072.79,1.329e-12,4.108e-15,6.751e-14,5.406e-16,5.852e-13,7.364e-15,1.982e-12,8.449e-15
2454073.8,1.318e-12,5.727e-15,6.897e-14,9.01e-16,5.49e-13,1.125e-14,1.936e-12,1.266e-14
2454074.83,1.296e-12,5.5e-15,7.072e-14,6.22e-16,5.051e-13,6.854e-15,1.871e-12,8.809e-15
2454075.83,1.27e-12,5.783e-15,6.829e-14,1.071e-15,4.916e-13,1.19e-14,1.83e-12,1.328e-14
2454077.83,1.239e-12,5.69e-15,7.564e-14,1.192e-15,2.807e-13,6.78e-14,1.595e-12,6.805e-14
2454078.85,1.226e-12,6.263e-15,7.857e-14,1.385e-15,2.172e-13,2.5239999999999998e-29,1.522e-12,6.414e-15
2454082.87,1.166e-12,5.407e-15,1.05e-13,9.811e-16,1.336e-13,5.048999999999999e-29,1.405e-12,5.496e-15
2454083.81,1.16e-12,5.202e-15,1.032e-13,1.091e-15,1.181e-13,2.5239999999999998e-29,1.382e-12,5.315e-15
2454085.76,1.141e-12,5.113e-15,1.131e-13,9.854e-16,9.199e-14,2.5239999999999998e-29,1.347e-12,5.208e-15
2454086.85,1.12e-12,4.978e-15,1.14e-13,8.168e-16,8.034e-14,2.5239999999999998e-29,1.315e-12,5.044e-15
2454087.76,1.1e-12,5.273e-15,1.187e-13,1.009e-15,7.108e-14,0.0,1.29e-12,5.368e-15
2454090.81,1.07e-12,3.349e-15,1.24e-13,9.623e-16,5.279e-14,6.311000000000001e-30,1.247e-12,3.484e-15
2454091.82,1.05e-12,4.936e-15,1.22e-13,1.105e-15,4.895e-14,0.0,1.221e-12,5.058e-15
2454092.85,1.033e-12,5.11e-15,1.221e-13,1.061e-15,4.505e-14,0.0,1.2e-12,5.219e-15
2454093.82,9.507e-13,4.635e-15,1.146e-13,1.025e-15,1.611e-13,7.573e-29,1.226e-12,4.747e-15
2454098.85,9.067e-13,4.557e-15,1.185e-13,9.553e-16,1.346e-13,2.5239999999999998e-29,1.16e-12,4.656e-15
2454099.82,8.997e-13,4.864e-15,1.208e-13,1.09e-15,1.273e-13,5.048999999999999e-29,1.148e-12,4.984e-15
2454100.77,8.993e-13,5.135e-15,1.213e-13,1.253e-15,1.303e-13,2.5239999999999998e-29,1.151e-12,5.286e-15
2454102.77,8.898e-13,9.034e-15,1.235e-13,1.863e-15,1.135e-13,0.0,1.127e-12,9.224e-15
2454103.82,8.899e-13,2.855e-15,1.251e-13,1.103e-15,1.169e-13,0.0,1.132e-12,3.061e-15
2454105.75,8.985e-13,5.249e-15,1.208e-13,1.959e-15,1.17e-13,0.0,1.136e-12,5.603e-15
2454107.8,8.749e-13,4.644e-15,1.274e-13,2.155e-15,1.068e-13,2.5239999999999998e-29,1.109e-12,5.119e-15
2454108.84,8.591e-13,4.463e-15,1.236e-13,2.107e-15,1.047e-13,2.5239999999999998e-29,1.087e-12,4.936e-15
2454109.74,8.519e-13,2.979e-15,1.279e-13,1.792e-15,1.025e-13,1.2619999999999999e-29,1.082e-12,3.477e-15
2454112.82,8.317e-13,5.014e-15,1.31e-13,2.306e-15,9.654e-14,3.7869999999999997e-29,1.059e-12,5.519e-15
2454114.8,8.235e-13,4.713e-15,1.358e-13,2.208e-15,9.194e-14,2.5239999999999998e-29,1.051e-12,5.204e-15
2454118.76,7.928e-13,5.199e-15,1.329e-13,2.675e-15,8.455e-14,2.5239999999999998e-29,1.01e-12,5.846e-15
2454120.83,7.786e-13,2.879e-15,1.307e-13,2.115e-15,8.015e-14,2.5239999999999998e-29,9.894e-13,3.572e-15
2454122.78,7.597e-13,4.607e-15,1.152e-13,2.233e-15,7.647e-14,2.5239999999999998e-29,9.513e-13,5.12e-15
2454123.79,7.589e-13,4.857e-15,1.145e-13,2.167e-15,7.418e-14,1.2619999999999999e-29,9.477e-13,5.318e-15
2454126.72,7.477e-13,3.233e-15,1.313e-13,2.36e-15,6.968e-14,1.2619999999999999e-29,9.487e-13,4.003e-15
2454127.74,7.291e-13,4.484e-15,1.176e-13,2.367e-15,6.716e-14,0.0,9.139e-13,5.071e-15
2454129.7,7.239e-13,4.407e-15,1.144e-13,2.429e-15,6.509e-14,1.2619999999999999e-29,9.034e-13,5.033e-15
2454130.69,7.285e-13,4.785e-15,1.166e-13,2.276e-15,6.551e-14,0.0,9.107e-13,5.299e-15
2454133.75,6.917e-13,5.367e-15,1.233e-13,2.584e-15,6.136e-14,1.2619999999999999e-29,8.763e-13,5.957e-15
2454135.7,6.76e-13,2.791e-15,1.163e-13,1.721e-15,5.764e-14,0.0,8.499e-13,3.279e-15
2454136.77,6.641e-13,3.869e-15,1.143e-13,2.03e-15,5.335e-14,1.2619999999999999e-29,8.318e-13,4.369e-15
2454138.7,6.469e-13,3.916e-15,1.053e-13,2.138e-15,5.449e-14,1.893e-29,8.067e-13,4.462e-15
2454140.67,6.328e-13,2.798e-15,1.055e-13,1.696e-15,5.266e-14,6.311000000000001e-30,7.91e-13,3.272e-15
2454143.73,6.011e-13,3.941e-15,1.05e-13,2.167e-15,5.006e-14,1.893e-29,7.561e-13,4.498e-15
2454146.68,5.743e-13,4.314e-15,8.735e-14,2.416e-15,4.737e-14,2.5239999999999998e-29,7.091e-13,4.945e-15
2454147.66,5.732e-13,4.61e-15,9.379e-14,2.381e-15,4.834e-14,6.311000000000001e-30,7.153e-13,5.188e-15
2454158.66,4.63e-13,3.76e-15,8.477e-14,2.249e-15,3.479e-14,6.311000000000001e-30,5.825e-13,4.381e-15
2454158.71,4.587e-13,3.5e-15,9.671e-14,2.946e-15,5.985e-14,1.2619999999999999e-29,6.153e-13,4.574e-15
2454161.64,4.137e-13,3.614e-15,9.038e-14,2.513e-15,5.354e-14,1.893e-29,5.576e-13,4.402e-15
2454163.72,3.833e-13,4.15e-15,9.159e-14,2.561e-15,4.676e-14,0.0,5.216e-13,4.876e-15
2454164.56,3.77e-13,2.62e-15,9.039e-14,1.966e-15,4.724e-14,6.311000000000001e-30,5.146e-13,3.276e-15
