JD,fqbol,fqbol_err,ircorr,ircorr_err,uvcorr,uvcorr_err,fbol,fbol_err
2454125.77,1.014e-12,4.088e-15,9.285e-14,9.099e-16,2.71e-12,8.015e-14,3.817e-12,8.026e-14
2454126.81,1.1e-12,4.646e-15,2.943e-14,2.056e-16,2.162e-12,3.631e-14,3.292e-12,3.661e-14
2454127.78,1.098e-12,6.715e-15,3.197e-14,3.689e-16,1.743e-12,4.536e-14,2.873e-12,4.586e-14
2454128.73,1.107e-12,7.314e-15,3.327e-14,3.309e-16,1.586e-12,3.357e-14,2.727e-12,3.436e-14
2454128.78,1.097e-12,4.823e-15,3.313e-14,2.18e-16,1.608e-12,2.178e-14,2.738e-12,2.231e-14
2454131.71,1.081e-12,6.61e-15,3.898e-14,5.34e-16,1.076e-12,2.831e-14,2.196e-12,2.908e-14
2454132.69,1.069e-12,4.284e-15,3.969e-14,3.376e-16,9.618e-13,1.44e-14,2.07e-12,1.503e-14
2454133.78,1.062e-12,7.571e-15,4.311e-14,8.255e-16,8.554e-13,3.14e-14,1.961e-12,3.231e-14
2454136.87,9.418e-13,6.719e-15,4.208e-14,8.011e-16,2.48e-13,1.01e-28,1.232e-12,6.766e-15
2454137.84,9.413e-13,3.732e-15,4.292e-14,7.023e-16,2.602e-13,5.048999999999999e-29,1.244e-12,3.798e-15
2454137.85,9.402e-13,2.561e-15,4.201e-14,5.598e-16,2.593e-13,0.0,1.242e-12,2.622e-15
2454139.73,8.706e-13,3.871e-15,3.794e-14,4.839e-16,2.248e-13,2.5239999999999998e-29,1.133e-12,3.901e-15
2454140.81,8.497e-13,4.331e-15,4.084e-14,5.988e-16,2.059e-13,5.048999999999999e-29,1.097e-12,4.372e-15
2454143.79,7.72e-13,6.386e-15,4.021e-14,9.164e-16,1.651e-13,2.5239999999999998e-29,9.773e-13,6.451e-15
2454146.78,6.892e-13,5.027e-15,3.899e-14,7.501e-16,1.157e-13,0.0,8.439e-13,5.083e-15
2454147.7,6.686e-13,6.119e-15,3.942e-14,1.176e-15,1.045e-13,2.5239999999999998e-29,8.125e-13,6.231e-15
2454150.67,6.215e-13,4.651e-15,4.19e-14,7.961e-16,7.354e-14,0.0,7.369e-13,4.718e-15
2454154.61,5.611e-13,5.559e-15,4.707e-14,9.278e-16,4.17e-14,6.311000000000001e-30,6.499e-13,5.636e-15
2454159.63,4.677e-13,1.66e-15,4.446e-14,3.525e-16,1.016e-13,1.2619999999999999e-29,6.137e-13,1.697e-15
2454159.63,4.631e-13,2.74e-15,4.246e-14,4.813e-16,1.042e-13,0.0,6.098e-13,2.782e-15
2454160.62,4.697e-13,4.625e-15,4.429e-14,1.232e-15,1.056e-13,1.2619999999999999e-29,6.195e-13,4.786e-15
2454161.61,4.639e-13,5.595e-15,4.399e-14,2.536e-15,8.424e-14,1.2619999999999999e-29,5.921e-13,6.143e-15
2454165.69,4.376e-13,5.904e-15,4.681e-14,3.118e-15,7.522e-14,1.2619999999999999e-29,5.596e-13,6.677e-15
2454166.62,4.321e-13,5.769e-15,4.652e-14,3.053e-15,8.596e-14,1.2619999999999999e-29,5.646e-13,6.527e-15
2454170.68,4.017e-13,4.119e-15,4.568e-14,1.919e-15,6.361e-14,1.2619999999999999e-29,5.11e-13,4.544e-15
2454171.61,3.981e-13,1.92e-15,4.422e-14,7.309e-16,6.355e-14,1.2619999999999999e-29,5.058e-13,2.054e-15
2454179.6,4.051e-13,6.665e-15,5.558e-14,4.275e-15,4.906e-14,2.5239999999999998e-29,5.097e-13,7.918e-15
2454199.63,3.459e-13,6.422e-15,5.816e-14,4.631e-15,3.735e-14,0.0,4.414e-13,7.917e-15
