JD,fqbol,fqbol_err,ircorr,ircorr_err,uvcorr,uvcorr_err,fbol,fbol_err
2454137.63,2.458e-12,5.682e-15,7.683e-14,6.58e-16,3.131e-12,5.69e-14,5.666e-12,5.719e-14
2454137.66,2.463e-12,5.599e-15,7.713e-14,6.415e-16,3.133e-12,5.549e-14,5.673e-12,5.578e-14
2454138.55,2.556e-12,6.646e-15,8.002e-14,6.777e-16,3.119e-12,5.239e-14,5.755e-12,5.281e-14
2454143.62,2.705e-12,1.627e-14,1.085e-13,7.73e-16,2.112e-12,2.718e-14,4.926e-12,3.169e-14
2454146.53,2.638e-12,5.968e-15,1.182e-13,7.408e-16,1.65e-12,1.728e-14,4.406e-12,1.83e-14
2454147.6,2.573e-12,1.322e-14,1.185e-13,1.209e-15,6.794e-13,9.039e-14,3.371e-12,9.136e-14
2454150.57,2.436e-12,9.695e-15,1.21e-13,3.266e-15,5.201e-13,1.01e-28,3.077e-12,1.023e-14
2454158.58,2.084e-12,5.572e-15,1.54e-13,6.304e-16,2.188e-13,7.573e-29,2.456e-12,5.607e-15
2454159.58,2.053e-12,1.071e-14,1.686e-13,1.104e-15,1.949e-13,7.573e-29,2.417e-12,1.077e-14
2454160.61,2.014e-12,3.446e-15,1.619e-13,1.843e-15,1.741e-13,7.573e-29,2.35e-12,3.908e-15
2454161.55,1.96e-12,1.331e-14,1.716e-13,1.345e-15,1.539e-13,0.0,2.286e-12,1.338e-14
2454165.6,1.783e-12,1.604e-14,1.716e-13,1.566e-15,1.113e-13,2.5239999999999998e-29,2.066e-12,1.612e-14
2454167.57,1.716e-12,4.967e-15,1.588e-13,1.421e-15,8.585e-14,0.0,1.961e-12,5.166e-15
2454169.57,1.633e-12,1.127e-14,1.715e-13,1.499e-15,7.206e-14,1.2619999999999999e-29,1.877e-12,1.137e-14
2454170.59,1.489e-12,4.471e-15,1.599e-13,8.97e-16,2.603e-13,5.048999999999999e-29,1.909e-12,4.56e-15
2454183.54,1.217e-12,7.578e-15,1.541e-13,2.071e-15,1.604e-13,0.0,1.531e-12,7.856e-15
2454185.53,1.182e-12,1.332e-14,1.634e-13,2.447e-15,1.531e-13,0.0,1.498e-12,1.354e-14
2454191.51,1.09e-12,1.4e-14,1.401e-13,2.816e-15,1.34e-13,0.0,1.364e-12,1.428e-14
2454199.49,1.045e-12,1.603e-14,1.446e-13,2.938e-15,1.156e-13,2.5239999999999998e-29,1.305e-12,1.63e-14
2454205.49,1.019e-12,2.153e-14,1.301e-13,4.794e-15,1.072e-13,3.7869999999999997e-29,1.257e-12,2.206e-14
