JD,fqbol,fqbol_err,ircorr,ircorr_err,uvcorr,uvcorr_err,fbol,fbol_err
2454147.81,1.589e-11,1.396e-13,6.558e-13,8.996e-15,1.012e-11,2.782e-13,2.667e-11,3.114e-13
2454150.89,1.681e-11,4.993e-14,6.937e-13,5.847e-15,1.153e-11,1.946e-13,2.903e-11,2.01e-13
2454153.85,1.718e-11,4.435e-14,7.635e-13,4.432e-15,1.046e-11,1.016e-13,2.841e-11,1.109e-13
2454154.89,1.72e-11,4.58e-14,7.804e-13,6.407e-15,9.631e-12,9.905e-14,2.762e-11,1.093e-13
2454156.89,1.682e-11,2.135e-14,8.31e-13,5.544e-15,3.751e-12,1.616e-27,2.14e-11,2.205e-14
2454159.87,1.618e-11,1.946e-14,9.562e-13,5.409e-15,2.832e-12,8.078000000000001e-28,1.997e-11,2.02e-14
2454159.88,1.608e-11,3.208e-14,9.059e-13,1.151e-14,2.827e-12,4.039000000000001e-28,1.981e-11,3.408e-14
2454161.8,1.588e-11,3.278e-14,1.023e-12,1.452e-14,2.277e-12,8.078000000000001e-28,1.918e-11,3.585e-14
2454162.84,1.582e-11,1.905e-14,1.029e-12,7.161e-15,2.027e-12,8.078000000000001e-28,1.888e-11,2.035e-14
2454163.83,1.578e-11,4.284e-14,1.329e-12,5.044e-15,1.863e-12,4.039000000000001e-28,1.897e-11,4.314e-14
2454165.84,1.521e-11,5.822e-14,1.368e-12,5.619e-15,1.397e-12,2.019e-28,1.797e-11,5.849e-14
2454166.85,1.509e-11,5.777e-14,1.377e-12,5.47e-15,1.223e-12,2.019e-28,1.769e-11,5.802e-14
2454169.91,1.407e-11,2.379e-14,1.33e-12,4.482e-15,8.744e-13,3.029e-28,1.627e-11,2.42e-14
2454170.86,1.385e-11,2.973e-14,1.366e-12,4.38e-15,7.902e-13,3.029e-28,1.601e-11,3.005e-14
2454170.91,1.377e-11,1.636e-14,1.296e-12,4.544e-15,7.858e-13,2.019e-28,1.585e-11,1.698e-14
2454171.86,1.352e-11,3.008e-14,1.312e-12,6.515e-15,7.121e-13,1.01e-28,1.555e-11,3.078e-14
2454172.85,1.319e-11,5.703e-14,1.462e-12,6.011e-15,6.464e-13,1.01e-28,1.529e-11,5.734e-14
2454174.91,1.292e-11,1.113e-13,1.478e-12,5.992e-15,5.467e-13,0.0,1.495e-11,1.115e-13
2454179.86,1.202e-11,1.27e-13,1.496e-12,6.831e-15,3.556e-13,1.01e-28,1.387e-11,1.272e-13
2454181.84,1.161e-11,7.378e-14,1.486e-12,6.094e-15,3.34e-13,5.048999999999999e-29,1.343e-11,7.404e-14
2454182.81,1.153e-11,4.527e-14,1.486e-12,5.939e-15,3.117e-13,1.515e-28,1.332e-11,4.566e-14
2454183.83,1.141e-11,1.553e-14,1.447e-12,4.839e-15,2.909e-13,5.048999999999999e-29,1.315e-11,1.627e-14
2454185.85,1.121e-11,5.335e-14,1.483e-12,5.809e-15,2.612e-13,1.515e-28,1.295e-11,5.367e-14
2454189.87,1.057e-11,1.67e-14,1.428e-12,4.761e-15,2.052e-13,2.5239999999999998e-29,1.22e-11,1.736e-14
2454197.82,9.706e-12,4.163e-14,1.432e-12,7.858e-15,1.164e-13,0.0,1.125e-11,4.236e-14
2454198.75,9.585e-12,1.813e-14,1.402e-12,6.395e-15,1.265e-13,5.048999999999999e-29,1.111e-11,1.922e-14
2454204.87,9.003e-12,2.168e-13,1.408e-12,9.206e-15,1.018e-13,5.048999999999999e-29,1.051e-11,2.17e-13
2454218.81,8.124e-12,4.11e-14,1.335e-12,7.198e-15,6.813e-14,1.2619999999999999e-29,9.527e-12,4.172e-14
2454219.82,7.833e-12,1.356e-14,1.315e-12,4.781e-15,6.71e-13,0.0,9.819e-12,1.438e-14
2454226.88,7.374e-12,8.805e-14,1.258e-12,7.399e-15,6.159e-13,2.019e-28,9.247e-12,8.836e-14
2454230.86,7.063e-12,1.242e-14,1.226e-12,6.945e-15,5.489e-13,1.01e-28,8.838e-12,1.423e-14
2454231.84,6.968e-12,1.986e-14,1.207e-12,8.108e-15,5.34e-13,0.0,8.709e-12,2.145e-14
2454234.84,6.715e-12,1.388e-14,1.185e-12,7.697e-15,4.988e-13,1.01e-28,8.399e-12,1.587e-14
2454245.77,5.408e-12,2.041e-13,9.736e-13,1.82e-14,3.451e-13,1.01e-28,6.727e-12,2.049e-13
2454258.73,3.687e-12,2.914e-14,7.99e-13,5.6e-15,1.843e-13,2.5239999999999998e-29,4.67e-12,2.967e-14
2454259.67,3.559e-12,4.14e-14,7.766e-13,2.048e-14,1.75e-13,5.048999999999999e-29,4.51e-12,4.619e-14
2454274.7,1.846e-12,6.096e-14,3.754e-13,8.041e-15,0.0,0.0,2.222e-12,6.148e-14
2454331.55,8.764e-13,6.663e-14,1.891e-13,3.182e-14,0.0,0.0,1.066e-12,7.384e-14
2454348.5,7.318e-13,1.266e-14,1.299e-13,1.013e-14,0.0,0.0,8.617e-13,1.621e-14
2454350.52,4.673e-13,3.855e-15,2.452e-13,7.521e-15,0.0,0.0,7.125e-13,8.451e-15
