JD,fqbol,fqbol_err,ircorr,ircorr_err,uvcorr,uvcorr_err,fbol,fbol_err
2454150.76,1.13e-11,4.482e-14,7.907e-13,3.964e-15,1.236e-12,0.0,1.333e-11,4.499e-14
2454153.79,1.107e-11,2.403e-14,7.959e-13,4.84e-15,9.975e-13,2.019e-28,1.286e-11,2.452e-14
2454154.75,1.102e-11,2.214e-14,8.037e-13,5.057e-15,9.378e-13,0.0,1.276e-11,2.271e-14
2454158.75,1.088e-11,2.387e-14,8.667e-13,5.521e-15,7.273e-13,2.019e-28,1.247e-11,2.45e-14
2454159.7,1.088e-11,2.726e-14,8.701e-13,4.567e-15,6.882e-13,3.029e-28,1.244e-11,2.764e-14
2454161.7,1.096e-11,1.651e-14,9.253e-13,3.948e-15,6.185e-13,2.019e-28,1.25e-11,1.698e-14
2454162.66,1.094e-11,1.336e-14,9.557e-13,3.588e-15,5.863e-13,0.0,1.249e-11,1.383e-14
2454166.76,1.107e-11,1.681e-14,9.939e-13,3.93e-15,4.692e-13,2.019e-28,1.254e-11,1.726e-14
2454168.72,1.122e-11,1.546e-14,1.057e-12,4.179e-15,4.493e-13,5.048999999999999e-29,1.272e-11,1.602e-14
2454170.73,1.132e-11,1.956e-14,9.911e-13,7.888e-15,4.174e-13,1.515e-28,1.273e-11,2.109e-14
2454174.71,1.162e-11,2.653e-14,9.949e-13,1.168e-14,3.772e-13,1.01e-28,1.3e-11,2.898e-14
2454179.72,1.179e-11,2.728e-14,1.1e-12,1.149e-14,3.255e-13,5.048999999999999e-29,1.322e-11,2.96e-14
2454183.72,1.195e-11,1.748e-14,1.179e-12,6.501e-15,3.001e-13,5.048999999999999e-29,1.343e-11,1.865e-14
2454185.71,1.198e-11,2.07e-14,1.161e-12,9.25e-15,2.901e-13,0.0,1.343e-11,2.267e-14
2454194.72,1.175e-11,2.493e-14,1.111e-12,1.018e-14,2.246e-13,7.573e-29,1.309e-11,2.693e-14
2454196.69,1.166e-11,1.771e-14,1.137e-12,6.599e-15,2.213e-13,7.573e-29,1.302e-11,1.89e-14
2454197.74,1.162e-11,2.292e-14,1.118e-12,9.299e-15,2.277e-13,5.048999999999999e-29,1.296e-11,2.474e-14
2454199.69,1.143e-11,3.564e-14,1.033e-12,1.64e-14,1.978e-13,7.573e-29,1.266e-11,3.924e-14
2454222.69,5.776e-12,4.767e-14,5.414e-13,1.589e-14,6.08e-13,2.019e-28,6.925e-12,5.025e-14
2454226.63,4.465e-12,2.717e-14,4.264e-13,1.102e-14,4.694e-13,1.01e-28,5.36e-12,2.932e-14
2454229.62,3.608e-12,1.453e-14,3.818e-13,8.542e-15,3.868e-13,5.048999999999999e-29,4.376e-12,1.685e-14
2454234.64,2.875e-12,5.98e-14,3.481e-13,9.241e-15,2.836e-13,5.048999999999999e-29,3.507e-12,6.051e-14
2454249.59,1.8e-12,1.994e-13,2.292e-13,1.853e-14,0.0,0.0,2.03e-12,2.002e-13
