JD,fqbol,fqbol_err,ircorr,ircorr_err,uvcorr,uvcorr_err,fbol,fbol_err
2454153.87,1.708e-12,2.657e-14,2.357e-13,3.694e-15,2.1e-13,1.01e-28,2.154e-12,2.682e-14
2454158.86,1.637e-12,4.228e-15,2.229e-13,1.338e-15,1.726e-13,2.5239999999999998e-29,2.032e-12,4.435e-15
2454158.88,1.632e-12,4.532e-15,2.114e-13,1.894e-15,1.67e-13,5.048999999999999e-29,2.011e-12,4.911e-15
2454160.9,1.614e-12,1.034e-14,2.296e-13,2.739e-15,1.595e-13,5.048999999999999e-29,2.003e-12,1.07e-14
2454161.83,1.571e-12,6.462e-15,2.185e-13,1.978e-15,1.408e-13,2.5239999999999998e-29,1.93e-12,6.758e-15
2454162.88,1.54e-12,6.001e-15,2.11e-13,2.084e-15,1.499e-13,0.0,1.901e-12,6.353e-15
2454163.85,1.512e-12,6.835e-15,2.117e-13,2.017e-15,1.709e-13,2.5239999999999998e-29,1.895e-12,7.127e-15
2454164.87,1.484e-12,4.346e-15,2.101e-13,1.795e-15,1.399e-13,0.0,1.834e-12,4.702e-15
2454165.86,1.45e-12,7.428e-15,2.074e-13,1.834e-15,1.351e-13,0.0,1.792e-12,7.651e-15
2454166.89,1.4e-12,6.196e-15,2.043e-13,1.864e-15,1.303e-13,2.5239999999999998e-29,1.735e-12,6.47e-15
2454169.87,1.308e-12,4.181e-15,1.741e-13,1.921e-15,1.177e-13,0.0,1.6e-12,4.601e-15
2454170.9,1.288e-12,6.205e-15,1.882e-13,2.181e-15,1.089e-13,0.0,1.585e-12,6.577e-15
2454179.91,1.045e-12,6.499e-15,1.681e-13,2.624e-15,8.347e-14,1.2619999999999999e-29,1.297e-12,7.009e-15
2454181.89,1.015e-12,5.11e-15,1.633e-13,2.457e-15,7.19e-14,1.2619999999999999e-29,1.25e-12,5.67e-15
2454182.86,9.934e-13,4.675e-15,1.628e-13,2.458e-15,8.432e-14,3.7869999999999997e-29,1.24e-12,5.282e-15
2454183.89,9.709e-13,3.679e-15,1.618e-13,2.853e-15,7.296e-14,1.2619999999999999e-29,1.206e-12,4.656e-15
2454185.9,9.225e-13,4.339e-15,1.577e-13,2.562e-15,7.032e-14,2.5239999999999998e-29,1.151e-12,5.039e-15
2454189.92,8.175e-13,4.323e-15,1.489e-13,2.772e-15,5.964e-14,1.2619999999999999e-29,1.026e-12,5.135e-15
2454190.91,7.85e-13,4.372e-15,1.438e-13,2.833e-15,5.335e-14,1.2619999999999999e-29,9.822e-13,5.21e-15
2454191.89,7.479e-13,4.134e-15,1.33e-13,3.114e-15,9.017e-14,0.0,9.71e-13,5.175e-15
2454197.87,6.142e-13,1.267e-14,1.091e-13,9.138e-15,8.292e-14,2.5239999999999998e-29,8.063e-13,1.562e-14
2454199.82,5.605e-13,1.052e-14,1.062e-13,8.173e-15,6.63e-14,0.0,7.33e-13,1.332e-14
2454202.91,4.522e-13,8.755e-15,7.992e-14,6.48e-15,5.774e-14,0.0,5.898e-13,1.089e-14
2454207.82,3.071e-13,5.647e-15,5.137e-14,4.063e-15,4.099e-14,6.311000000000001e-30,3.994e-13,6.957e-15
2454224.84,1.806e-13,3.538e-15,2.86e-14,2.752e-15,0.0,0.0,2.092e-13,4.482e-15
2454227.93,1.867e-13,5.89e-15,3.287e-14,4.095e-15,0.0,0.0,2.196e-13,7.174e-15
2454232.78,1.671e-13,3.93e-15,2.655e-14,2.575e-15,0.0,0.0,1.936e-13,4.699e-15
2454235.82,1.552e-13,3.085e-15,2.313e-14,1.998e-15,0.0,0.0,1.783e-13,3.675e-15
