JD,fqbol,fqbol_err,ircorr,ircorr_err,uvcorr,uvcorr_err,fbol,fbol_err
2454180.75,7.148e-12,3.584e-14,4.149e-13,4.694e-15,2.216e-12,3.742e-14,9.779e-12,5.203e-14
2454181.75,7.145e-12,3.199e-14,4.166e-13,2.829e-15,2.257e-12,2.07e-14,9.819e-12,3.821e-14
2454182.76,7.216e-12,2.811e-14,4.25e-13,3.342e-15,2.278e-12,2.29e-14,9.919e-12,3.641e-14
2454194.65,6.67e-12,1.272e-14,7.191e-13,3.306e-15,5.73e-13,0.0,7.962e-12,1.314e-14
2454196.61,6.485e-12,1.005e-14,7.482e-13,2.685e-15,4.522e-13,1.515e-28,7.685e-12,1.04e-14
2454197.68,6.38e-12,1.206e-14,7.68e-13,3.005e-15,3.924e-13,2.019e-28,7.54e-12,1.243e-14
2454224.55,5.348e-12,9.105e-14,8.821e-13,9.031e-15,5.269e-14,1.2619999999999999e-29,6.283e-12,9.15e-14
2454236.54,5.035e-12,1.009e-14,8.346e-13,3.908e-15,4.158e-14,0.0,5.911e-12,1.082e-14
2454237.56,4.998e-12,1.472e-14,8.299e-13,5.062e-15,4.056e-14,1.2619999999999999e-29,5.869e-12,1.557e-14
2454247.57,4.491e-12,4.805e-14,7.358e-13,4.509e-15,3.34e-14,6.311000000000001e-30,5.26e-12,4.826e-14
2454256.53,4.106e-12,8.515e-15,6.576e-13,3.5e-15,2.888e-14,6.311000000000001e-30,4.793e-12,9.206e-15
2454258.48,3.917e-12,1.84e-14,6.274e-13,4.793e-15,3.908e-13,5.048999999999999e-29,4.935e-12,1.901e-14
