JD,fqbol,fqbol_err,ircorr,ircorr_err,uvcorr,uvcorr_err,fbol,fbol_err
2454349.63,7.775e-13,3.973e-15,6.334e-14,1.154e-15,6.813e-14,1.2619999999999999e-29,9.09e-13,4.137e-15
2454350.57,6.894e-13,2.987e-15,5.831e-14,8.753e-16,1.696e-13,2.5239999999999998e-29,9.173e-13,3.112e-15
2454354.55,6.638e-13,2.546e-15,6.132e-14,1.006e-15,1.563e-13,2.5239999999999998e-29,8.814e-13,2.737e-15
2454355.63,6.543e-13,1.451e-15,5.979e-14,6.271e-16,1.506e-13,2.5239999999999998e-29,8.647e-13,1.581e-15
2454362.52,6.167e-13,2.948e-15,6.012e-14,4.227e-16,1.252e-13,2.5239999999999998e-29,8.02e-13,2.978e-15
2454363.51,6.072e-13,1.56e-15,6.013e-14,4.458e-16,1.256e-13,2.5239999999999998e-29,7.93e-13,1.623e-15
2454363.52,5.925e-13,2.96e-15,6.094e-14,4.684e-16,1.216e-13,0.0,7.751e-13,2.997e-15
2454365.52,5.941e-13,1.756e-15,6.145e-14,5.028e-16,1.2e-13,2.5239999999999998e-29,7.756e-13,1.827e-15
2454365.58,5.987e-13,3.45e-15,6.165e-14,4.982e-16,1.214e-13,0.0,7.818e-13,3.486e-15
2454367.55,5.851e-13,1.169e-15,5.916e-14,2.994e-16,1.146e-13,2.5239999999999998e-29,7.588e-13,1.207e-15
2454368.58,5.847e-13,4.005e-15,5.992e-14,4.213e-16,1.222e-13,2.5239999999999998e-29,7.668e-13,4.027e-15
2454378.55,5.201e-13,2.675e-15,5.44e-14,4.031e-16,8.119e-14,0.0,6.556e-13,2.706e-15
2454381.54,4.995e-13,2.515e-15,5.687e-14,4.097e-16,8.339e-14,0.0,6.397e-13,2.548e-15
2454382.54,5.048e-13,2.473e-15,5.241e-14,3.724e-16,8.104e-14,1.2619999999999999e-29,6.383e-13,2.501e-15
2454383.53,4.873e-13,2.175e-15,5.072e-14,3.71e-16,8.278e-14,2.5239999999999998e-29,6.208e-13,2.207e-15
2454394.51,4.182e-13,4.264e-15,4.717e-14,7.005e-16,7.27e-14,1.2619999999999999e-29,5.381e-13,4.321e-15
2454395.58,4.171e-13,1.136e-15,4.519e-14,3.094e-16,6.097e-14,1.2619999999999999e-29,5.232e-13,1.178e-15
2454397.54,4.119e-13,2.509e-15,4.331e-14,4.372e-16,5.79e-14,1.2619999999999999e-29,5.131e-13,2.546e-15
2454403.52,3.581e-13,1.818e-15,3.867e-14,4.142e-16,4.956e-14,6.311000000000001e-30,4.463e-13,1.865e-15
2454426.54,1.984e-13,4.189e-15,2.644e-14,9.042e-16,3.124e-14,6.311000000000001e-30,2.561e-13,4.285e-15
2454426.54,2.02e-13,3.955e-15,2.487e-14,7.581e-16,3.124e-14,6.311000000000001e-30,2.581e-13,4.027e-15
