JD,fqbol,fqbol_err,ircorr,ircorr_err,uvcorr,uvcorr_err,fbol,fbol_err
2454362.79,1.677e-12,5.068e-15,7.089e-14,7.554e-16,1.156e-12,2.135e-14,2.904e-12,2.195e-14
2454363.75,1.661e-12,3.484e-15,7.434e-14,5.395e-16,1.048e-12,1.313e-14,2.783e-12,1.359e-14
2454364.74,1.644e-12,3.353e-15,7.764e-14,5.432e-16,9.601e-13,1.177e-14,2.681e-12,1.225e-14
2454365.75,1.633e-12,5.222e-15,7.69e-14,2.503e-15,9.211e-13,3.13e-14,2.631e-12,3.183e-14
2454365.76,1.637e-12,3.438e-15,7.715e-14,5.695e-16,9.195e-13,1.117e-14,2.633e-12,1.171e-14
2454368.77,1.617e-12,1.468e-14,8.117e-14,2.488e-15,7.72e-13,3.83e-14,2.47e-12,4.109e-14
2454378.71,1.494e-12,9.023e-15,1.079e-13,5.987e-16,1.764e-13,2.5239999999999998e-29,1.778e-12,9.043e-15
2454381.76,1.462e-12,3.896e-15,1.037e-13,8.326e-16,1.446e-13,2.5239999999999998e-29,1.71e-12,3.984e-15
2454383.67,1.434e-12,7.768e-15,1.155e-13,7.661e-16,1.257e-13,5.048999999999999e-29,1.675e-12,7.806e-15
2454394.75,1.373e-12,1.612e-14,1.301e-13,9.641e-16,6.027e-14,1.2619999999999999e-29,1.564e-12,1.615e-14
2454395.76,1.271e-12,1.872e-14,1.339e-13,1.021e-15,2.348e-13,3.143e-15,1.64e-12,1.901e-14
2454407.68,1.288e-12,1.673e-14,1.497e-13,1.093e-15,1.067e-13,1.255e-15,1.544e-12,1.682e-14
2454409.69,1.285e-12,1.684e-14,1.5e-13,1.195e-15,1.117e-13,1.332e-15,1.547e-12,1.694e-14
2454413.67,1.307e-12,1.649e-14,1.574e-13,1.171e-15,1.14e-13,1.299e-15,1.578e-12,1.658e-14
2454418.66,1.317e-12,1.399e-14,1.555e-13,1.189e-15,8.966e-14,8.667e-16,1.562e-12,1.407e-14
2454423.65,1.335e-12,5.522e-15,1.513e-13,9.43e-16,8.237e-14,3.134e-16,1.568e-12,5.611e-15
2454424.65,1.334e-12,1.983e-15,1.634e-13,4.672e-16,8.26e-14,1.201e-16,1.58e-12,2.041e-15
2454428.66,1.329e-12,5.349e-15,1.703e-13,9.564e-16,9.574e-14,3.179e-16,1.595e-12,5.443e-15
2454428.67,1.335e-12,1.966e-15,1.634e-13,4.869e-16,7.742e-14,1.112e-16,1.576e-12,2.029e-15
2454435.61,1.361e-12,1.936e-14,1.841e-13,2.641e-15,6.41e-14,8.371e-16,1.609e-12,1.956e-14
2454449.62,1.328e-12,1.837e-14,2.027e-13,2.463e-15,6.567e-14,8.164e-16,1.597e-12,1.855e-14
2454456.61,1.305e-12,1.985e-14,2.088e-13,4.482e-15,5.207e-14,7.422e-16,1.565e-12,2.037e-14
2454467.57,1.179e-12,1.746e-14,2.048e-13,2.835e-15,3.421e-14,4.557e-16,1.418e-12,1.77e-14
2454475.54,1.069e-12,1.669e-14,2.105e-13,3.527e-15,7.453e-14,1.2619999999999999e-29,1.354e-12,1.706e-14
