JD,fqbol,fqbol_err,ircorr,ircorr_err,uvcorr,uvcorr_err,fbol,fbol_err
2454381.5,1.812e-12,2.107e-14,8.086e-14,1.942e-15,1.295e-12,7.954e-14,3.188e-12,8.23e-14
2454383.49,1.769e-12,5.677e-15,7.36e-14,7.55e-16,1.266e-12,2.357e-14,3.109e-12,2.426e-14
2454384.54,1.748e-12,5.286e-15,7.564e-14,4.798e-16,1.171e-12,1.528e-14,2.995e-12,1.618e-14
2454385.51,1.713e-12,4.54e-15,7.755e-14,6.288e-16,1.083e-12,1.592e-14,2.874e-12,1.657e-14
2454386.5,1.671e-12,2.832e-15,7.754e-14,3.79e-16,9.931e-13,8.63e-15,2.741e-12,9.091e-15
2454386.51,1.662e-12,5.072e-15,7.755e-14,3.593e-16,9.983e-13,8.318e-15,2.738e-12,9.749e-15
2454387.46,1.646e-12,3.157e-15,7.803e-14,4.068e-16,9.556e-13,8.921e-15,2.679e-12,9.472e-15
2454387.51,1.655e-12,4.33e-15,7.8e-14,4.061e-16,9.484e-13,8.659e-15,2.681e-12,9.69e-15
2454388.5,1.617e-12,3.815e-15,7.801e-14,6.501e-16,4.127e-13,2.694e-14,2.107e-12,2.721e-14
2454388.51,1.607e-12,5.564e-15,7.857e-14,4.757e-16,4.109e-13,0.0,2.096e-12,5.584e-15
2454389.46,1.578e-12,3.372e-15,8.07e-14,5.709e-16,3.817e-13,0.0,2.041e-12,3.42e-15
2454392.5,1.364e-12,4.548e-15,7.524e-14,1.572e-15,2.367e-13,0.0,1.676e-12,4.812e-15
2454393.51,1.308e-12,6.173e-15,7.453e-14,1.619e-15,2.024e-13,0.0,1.585e-12,6.382e-15
2454396.52,1.206e-12,6.918e-15,7.923e-14,1.294e-15,1.359e-13,2.5239999999999998e-29,1.421e-12,7.038e-15
2454397.5,1.184e-12,6.221e-15,8.698e-14,8.386e-16,1.292e-13,2.5239999999999998e-29,1.4e-12,6.277e-15
2454399.52,1.136e-12,9.656e-15,8.42e-14,1.398e-15,1.063e-13,2.5239999999999998e-29,1.326e-12,9.757e-15
2454402.51,1.07e-12,1.396e-14,8.411e-14,2.133e-15,8.405e-14,0.0,1.238e-12,1.412e-14
2454407.52,1.001e-12,4.136e-15,9.363e-14,7.888e-16,6.066e-14,1.2619999999999999e-29,1.156e-12,4.21e-15
2454408.52,9.057e-13,5.074e-15,8.691e-14,1.477e-15,1.896e-13,5.048999999999999e-29,1.182e-12,5.284e-15
2454413.52,8.832e-13,4.391e-15,9.303e-14,8.346e-16,1.709e-13,2.5239999999999998e-29,1.147e-12,4.469e-15
2454415.52,8.709e-13,5.713e-15,9.338e-14,8.068e-16,1.629e-13,0.0,1.127e-12,5.77e-15
2454418.51,8.383e-13,4.797e-15,9.278e-14,6.754e-16,1.508e-13,0.0,1.082e-12,4.844e-15
2454423.54,8.007e-13,3.561e-15,8.765e-14,6.714e-16,1.349e-13,2.5239999999999998e-29,1.023e-12,3.624e-15
2454424.52,7.922e-13,3.063e-15,8.628e-14,6.189e-16,1.333e-13,0.0,1.012e-12,3.125e-15
2454425.53,7.867e-13,4.3e-15,8.663e-14,7.504e-16,1.3e-13,0.0,1.003e-12,4.365e-15
2454425.53,7.93e-13,3.631e-15,8.666e-14,7.608e-16,1.323e-13,2.5239999999999998e-29,1.012e-12,3.709e-15
2454427.53,7.345e-13,4.843e-15,8.432e-14,8.701e-16,1.739e-13,2.5239999999999998e-29,9.927e-13,4.921e-15
2454428.54,7.359e-13,5.779e-15,8.969e-14,8.288e-16,1.755e-13,5.048999999999999e-29,1.001e-12,5.838e-15
2454430.53,7.237e-13,2.964e-15,8.879e-14,7.923e-16,1.813e-13,2.5239999999999998e-29,9.938e-13,3.068e-15
