JD,fqbol,fqbol_err,ircorr,ircorr_err,uvcorr,uvcorr_err,fbol,fbol_err
2454408.59,2.983e-11,4.942e-14,2.487e-12,8.888e-15,2.424e-12,0.0,3.474e-11,5.021e-14
2454409.51,2.907e-11,3.79e-14,2.479e-12,5.787e-15,2.19e-12,4.039000000000001e-28,3.374e-11,3.833e-14
2454410.52,2.834e-11,3.082e-14,2.516e-12,7.336e-15,1.992e-12,4.039000000000001e-28,3.285e-11,3.168e-14
2454413.55,2.649e-11,2.503e-14,2.4e-12,1.041e-14,1.511e-12,2.019e-28,3.04e-11,2.711e-14
2454415.64,2.532e-11,2.242e-14,2.4e-12,5.695e-15,1.22e-12,4.039000000000001e-28,2.895e-11,2.313e-14
2454417.52,2.434e-11,2.542e-14,2.398e-12,5.581e-15,1.02e-12,2.019e-28,2.776e-11,2.602e-14
2454418.6,2.385e-11,3.434e-14,2.369e-12,5.89e-15,9.072e-13,2.019e-28,2.713e-11,3.484e-14
2454421.51,2.27e-11,2.234e-14,2.362e-12,5.273e-15,7.793e-13,2.019e-28,2.585e-11,2.295e-14
2454425.59,2.137e-11,2.325e-14,2.324e-12,4.634e-15,5.874e-13,1.01e-28,2.428e-11,2.371e-14
2454425.63,2.133e-11,2.191e-14,2.304e-12,7.661e-15,5.852e-13,2.019e-28,2.422e-11,2.321e-14
2454426.61,2.106e-11,2.28e-14,2.298e-12,7.91e-15,5.538e-13,1.01e-28,2.391e-11,2.413e-14
2454427.62,2.066e-11,2.407e-14,2.243e-12,7.813e-15,5.25e-13,0.0,2.343e-11,2.531e-14
2454431.57,1.985e-11,2.953e-14,2.288e-12,6.899e-15,4.366e-13,1.01e-28,2.257e-11,3.033e-14
2454435.53,1.878e-11,1.736e-14,2.148e-12,4.039e-15,3.856e-13,1.515e-28,2.132e-11,1.782e-14
2454439.57,1.787e-11,1.634e-14,2.078e-12,5.436e-15,3.252e-13,1.01e-28,2.028e-11,1.722e-14
2454442.6,1.724e-11,1.812e-14,2.037e-12,6.264e-15,2.941e-13,5.048999999999999e-29,1.957e-11,1.918e-14
2454443.56,1.701e-11,1.69e-14,2.027e-12,3.985e-15,2.906e-13,5.048999999999999e-29,1.933e-11,1.736e-14
2454445.58,1.653e-11,1.974e-14,1.991e-12,4.075e-15,2.555e-13,0.0,1.878e-11,2.016e-14
2454446.6,1.628e-11,1.582e-14,1.951e-12,5.571e-15,2.566e-13,1.01e-28,1.848e-11,1.677e-14
2454449.53,1.559e-11,1.628e-14,1.9e-12,3.615e-15,2.417e-13,5.048999999999999e-29,1.773e-11,1.668e-14
2454452.54,1.477e-11,1.377e-14,1.838e-12,4.621e-15,2.05e-13,5.048999999999999e-29,1.682e-11,1.452e-14
2454453.55,1.446e-11,1.833e-14,1.811e-12,4.092e-15,1.967e-13,5.048999999999999e-29,1.647e-11,1.878e-14
2454455.52,1.391e-11,2.122e-14,1.736e-12,4.549e-15,1.799e-13,2.5239999999999998e-29,1.583e-11,2.17e-14
2454456.52,1.359e-11,2.128e-14,1.704e-12,5.01e-15,1.735e-13,0.0,1.547e-11,2.187e-14
2454456.54,1.364e-11,1.466e-14,1.755e-12,5.446e-15,1.732e-13,0.0,1.557e-11,1.563e-14
2454462.53,1.152e-11,1.537e-14,1.489e-12,6.637e-15,1.341e-13,0.0,1.314e-11,1.674e-14
2454465.53,1.025e-11,1.451e-14,1.461e-12,6.324e-15,1.148e-13,2.5239999999999998e-29,1.183e-11,1.583e-14
2454468.53,8.933e-12,1.956e-14,1.367e-12,8.425e-15,1.049e-13,1.2619999999999999e-29,1.041e-11,2.13e-14
2454468.55,8.898e-12,1.28e-14,1.321e-12,7.11e-15,9.994e-14,2.5239999999999998e-29,1.032e-11,1.464e-14
2454470.53,7.988e-12,1.77e-14,1.276e-12,9.626e-15,8.412e-14,3.7869999999999997e-29,9.348e-12,2.015e-14
