JD,fqbol,fqbol_err,ircorr,ircorr_err,uvcorr,uvcorr_err,fbol,fbol_err
2454409.59,5.176e-11,1.041e-13,2.212e-12,1.351e-14,3.677e-11,4.083e-13,9.074e-11,4.216e-13
2454410.57,5.035e-11,5.917e-14,2.223e-12,7.614e-15,3.36e-11,2.059e-13,8.618e-11,2.144e-13
2454411.56,4.894e-11,8.559e-14,2.237e-12,1.302e-14,1.323e-11,1.304e-12,6.44e-11,1.307e-12
2454413.57,4.651e-11,8.427e-14,2.276e-12,1.056e-14,1.092e-11,3.231e-27,5.97e-11,8.493e-14
2454416.63,4.274e-11,3.961e-14,2.364e-12,6.91e-15,8.251e-12,1.616e-27,5.335e-11,4.021e-14
2454417.58,4.163e-11,6.53e-14,2.341e-12,1.638e-14,7.602e-12,1.616e-27,5.158e-11,6.732e-14
2454418.59,4.043e-11,8.252e-14,2.378e-12,2.288e-14,6.781e-12,8.078000000000001e-28,4.959e-11,8.563e-14
2454421.57,3.781e-11,6.446e-14,2.612e-12,1.056e-14,5.274e-12,8.078000000000001e-28,4.57e-11,6.531e-14
2454422.56,3.703e-11,6.092e-14,2.542e-12,9.556e-15,4.845e-12,0.0,4.442e-11,6.167e-14
2454422.59,3.687e-11,3.788e-14,2.482e-12,7.21e-15,4.788e-12,1.616e-27,4.414e-11,3.856e-14
2454424.62,3.556e-11,3.136e-14,2.609e-12,7.499e-15,4.045e-12,0.0,4.221e-11,3.225e-14
2454427.57,3.364e-11,9.317e-14,2.676e-12,1.455e-14,3.14e-12,1.616e-27,3.945e-11,9.429e-14
2454434.62,3.054e-11,3.431e-14,2.46e-12,1.484e-14,2.16e-12,0.0,3.516e-11,3.738e-14
2454440.57,2.924e-11,6.518e-14,2.802e-12,1.476e-14,1.751e-12,6.058e-28,3.379e-11,6.683e-14
2454442.54,2.892e-11,2.267e-14,2.769e-12,8.639e-15,1.631e-12,4.039000000000001e-28,3.332e-11,2.426e-14
2454443.53,2.863e-11,4.007e-14,2.811e-12,7.697e-15,1.588e-12,2.019e-28,3.303e-11,4.081e-14
2454445.53,2.834e-11,3.997e-14,2.797e-12,8.545e-15,1.489e-12,6.058e-28,3.262e-11,4.088e-14
2454446.54,2.794e-11,2.231e-14,2.758e-12,8.541e-15,1.445e-12,2.019e-28,3.214e-11,2.389e-14
2454449.56,2.712e-11,8.472e-14,2.793e-12,1.74e-14,1.271e-12,6.058e-28,3.119e-11,8.649e-14
2454455.55,2.55e-11,6.872e-14,2.723e-12,2.646e-14,1.032e-12,2.019e-28,2.926e-11,7.364e-14
2454456.53,2.516e-11,4.646e-14,2.67e-12,2.148e-14,1.063e-12,2.019e-28,2.89e-11,5.119e-14
2454457.55,2.486e-11,2.522e-14,2.544e-12,1.26e-14,9.509e-13,4.039000000000001e-28,2.835e-11,2.819e-14
2454464.53,2.256e-11,6.154e-14,2.552e-12,3.26e-14,6.857e-13,1.01e-28,2.58e-11,6.964e-14
2454466.54,2.184e-11,2.607e-14,2.405e-12,1.189e-14,6.253e-13,0.0,2.487e-11,2.866e-14
2454467.54,2.151e-11,4.521e-14,2.531e-12,2.539e-14,5.804e-13,2.019e-28,2.462e-11,5.185e-14
2454468.54,2.128e-11,6.473e-14,2.601e-12,3.801e-14,5.719e-13,0.0,2.446e-11,7.507e-14
2454469.53,2.111e-11,9.062e-14,2.681e-12,5.193e-14,5.815e-13,2.019e-28,2.437e-11,1.044e-13
