JD,fqbol,fqbol_err,ircorr,ircorr_err,uvcorr,uvcorr_err,fbol,fbol_err
2454452.82,1.297e-12,4.489e-15,3.667e-13,2.691e-15,8.612e-14,1.2619999999999999e-29,1.75e-12,5.234e-15
2454453.82,1.283e-12,3.885e-15,3.673e-13,2.123e-15,8.323e-14,3.7869999999999997e-29,1.734e-12,4.427e-15
2454454.79,1.277e-12,3.975e-15,3.667e-13,2.612e-15,7.942e-14,2.5239999999999998e-29,1.723e-12,4.756e-15
2454455.68,1.261e-12,4.58e-15,3.564e-13,2.811e-15,7.661e-14,2.5239999999999998e-29,1.694e-12,5.373e-15
2454456.72,1.233e-12,4.16e-15,3.539e-13,2.651e-15,7.344e-14,1.2619999999999999e-29,1.661e-12,4.933e-15
2454457.71,1.218e-12,4.273e-15,3.508e-13,2.382e-15,7.052e-14,1.2619999999999999e-29,1.64e-12,4.892e-15
2454457.8,1.214e-12,2.729e-15,3.464e-13,2.18e-15,7.032e-14,2.5239999999999998e-29,1.63e-12,3.493e-15
2454458.82,1.216e-12,4.755e-15,3.517e-13,2.842e-15,6.753e-14,0.0,1.635e-12,5.54e-15
2454461.76,1.232e-12,3.64e-15,3.774e-13,2.991e-15,6.03e-14,1.2619999999999999e-29,1.67e-12,4.711e-15
2454462.76,1.222e-12,3.418e-15,3.77e-13,2.388e-15,5.711e-14,0.0,1.656e-12,4.17e-15
2454463.73,1.209e-12,2.735e-15,3.827e-13,2.586e-15,5.602e-14,0.0,1.648e-12,3.764e-15
2454465.82,1.201e-12,3.185e-15,3.911e-13,3.025e-15,5.204e-14,1.2619999999999999e-29,1.644e-12,4.393e-15
2454466.71,1.178e-12,3.222e-15,3.691e-13,2.208e-15,5.31e-14,2.5239999999999998e-29,1.6e-12,3.905e-15
2454467.66,1.157e-12,2.86e-15,3.638e-13,2.158e-15,5.09e-14,1.893e-29,1.572e-12,3.583e-15
2454467.7,1.148e-12,2.606e-15,3.56e-13,2.231e-15,4.883e-14,6.311000000000001e-30,1.553e-12,3.431e-15
2454468.73,1.131e-12,4.061e-15,3.601e-13,2.936e-15,4.137e-14,0.0,1.533e-12,5.011e-15
2454469.72,1.14e-12,4.634e-15,3.55e-13,3.184e-15,4.676e-14,1.2619999999999999e-29,1.542e-12,5.622e-15
2454470.74,1.144e-12,4.783e-15,3.586e-13,3.351e-15,4.288e-14,1.2619999999999999e-29,1.545e-12,5.84e-15
2454471.8,1.157e-12,3.494e-15,3.879e-13,3.49e-15,4.292e-14,6.311000000000001e-30,1.588e-12,4.938e-15
2454476.71,1.134e-12,1.57e-14,3.679e-13,7.3e-15,3.773e-14,0.0,1.54e-12,1.731e-14
2454479.73,1.106e-12,3.124e-15,3.756e-13,2.747e-15,3.492e-14,6.311000000000001e-30,1.516e-12,4.16e-15
2454486.7,1.101e-12,1.584e-14,3.727e-13,9.041e-15,3.039e-14,0.0,1.504e-12,1.824e-14
2454489.77,1.04e-12,3.423e-15,3.655e-13,3.222e-15,2.886e-14,0.0,1.434e-12,4.7e-15
2454490.7,1.014e-12,3.72e-15,3.403e-13,2.591e-15,2.844e-14,6.311000000000001e-30,1.382e-12,4.533e-15
2454492.7,9.678e-13,1.913e-15,3.063e-13,1.63e-15,2.759e-14,1.2619999999999999e-29,1.302e-12,2.514e-15
2454493.74,9.562e-13,2.605e-15,3.143e-13,1.937e-15,2.792e-14,6.311000000000001e-30,1.298e-12,3.247e-15
2454494.71,9.568e-13,2.095e-15,3.096e-13,1.997e-15,2.681e-14,6.311000000000001e-30,1.293e-12,2.894e-15
2454496.76,9.352e-13,2.396e-15,3.082e-13,2.398e-15,2.606e-14,6.311000000000001e-30,1.269e-12,3.39e-15
2454497.7,9.317e-13,2.635e-15,3.142e-13,2.148e-15,2.546e-14,0.0,1.271e-12,3.4e-15
2454498.78,9.329e-13,2.752e-15,3.193e-13,2.568e-15,2.537e-14,9.466e-30,1.278e-12,3.764e-15
2454499.68,9.278e-13,4.998e-15,3.124e-13,4.202e-15,2.728e-14,0.0,1.268e-12,6.53e-15
2454512.77,7.01e-13,1.922e-14,2.316e-13,1.375e-14,1.942e-14,0.0,9.52e-13,2.363e-14
2454516.74,6.179e-13,3.544e-15,2.465e-13,4.393e-15,3.104e-14,6.311000000000001e-30,8.954e-13,5.645e-15
2454517.67,6.046e-13,5.223e-15,2.224e-13,5.948e-15,2.889e-14,6.311000000000001e-30,8.559e-13,7.916e-15
2454521.7,5.274e-13,9.449e-15,2.052e-13,7.87e-15,2.511e-14,0.0,7.577e-13,1.23e-14
2454524.62,4.581e-13,5.581e-15,2.208e-13,4.414e-15,2.205e-14,3.155e-30,7.01e-13,7.116e-15
2454527.62,3.767e-13,7.268e-15,1.438e-13,6.16e-15,1.923e-14,0.0,5.398e-13,9.527e-15
