JD,fqbol,fqbol_err,ircorr,ircorr_err,uvcorr,uvcorr_err,fbol,fbol_err
2454480.6,7.798e-13,7.128e-15,4.864e-14,8.788e-16,2.133e-13,5.536e-15,1.042e-12,9.068e-15
2454484.57,7.766e-13,6.8e-15,5.511e-14,1.391e-15,1.851e-13,7.602e-15,1.017e-12,1.029e-14
2454486.62,6.676e-13,3.858e-15,6.07e-14,1.613e-15,1.71e-13,2.5239999999999998e-29,8.994e-13,4.182e-15
2454487.61,6.624e-13,3.455e-15,6.104e-14,7.075e-16,1.579e-13,5.048999999999999e-29,8.813e-13,3.527e-15
2454488.6,6.753e-13,3.87e-15,6.442e-14,1.799e-15,1.456e-13,2.5239999999999998e-29,8.853e-13,4.268e-15
2454492.61,6.715e-13,3.088e-15,9.056e-14,6.484e-16,1.355e-13,2.5239999999999998e-29,8.975e-13,3.155e-15
2454493.61,6.674e-13,1.969e-15,8.559e-14,5.886e-16,1.288e-13,2.5239999999999998e-29,8.818e-13,2.055e-15
2454496.6,6.554e-13,2.05e-15,9.012e-14,6.091e-16,1.149e-13,5.048999999999999e-29,8.604e-13,2.139e-15
2454497.56,6.491e-13,3.338e-15,9.876e-14,6.08e-16,1.097e-13,3.7869999999999997e-29,8.576e-13,3.393e-15
2454515.54,7.042e-13,6.546e-15,1.165e-13,2.963e-15,7.732e-14,0.0,8.981e-13,7.185e-15
2454518.54,7.099e-13,4.055e-15,9.979e-14,2.247e-15,7.718e-14,1.2619999999999999e-29,8.869e-13,4.636e-15
2454519.53,7.098e-13,4.996e-15,1.118e-13,3.115e-15,7.754e-14,1.2619999999999999e-29,8.991e-13,5.888e-15
