JD,fqbol,fqbol_err,ircorr,ircorr_err,uvcorr,uvcorr_err,fbol,fbol_err
2454484.76,1.32e-12,7.178e-15,8.795e-14,1.209e-15,4.421e-13,5.048999999999999e-29,1.85e-12,7.279e-15
2454487.82,1.269e-12,3.114e-15,9.624e-14,1.21e-15,3.879e-13,5.048999999999999e-29,1.753e-12,3.341e-15
2454488.71,1.252e-12,4.262e-15,9.776e-14,2.392e-15,3.752e-13,0.0,1.725e-12,4.888e-15
2454490.77,1.207e-12,4.17e-15,1.004e-13,2.804e-15,3.295e-13,0.0,1.637e-12,5.025e-15
2454491.82,1.198e-12,3.118e-15,1.033e-13,1.052e-15,3.087e-13,1.01e-28,1.609e-12,3.291e-15
2454492.82,1.178e-12,2.172e-15,1.047e-13,1.035e-15,2.891e-13,5.048999999999999e-29,1.572e-12,2.406e-15
2454493.86,1.165e-12,2.021e-15,1.063e-13,1.048e-15,2.698e-13,5.048999999999999e-29,1.542e-12,2.276e-15
2454494.8,1.156e-12,2.642e-15,1.087e-13,1.978e-15,2.563e-13,0.0,1.521e-12,3.301e-15
2454494.82,1.149e-12,2.159e-15,1.074e-13,1.015e-15,2.537e-13,0.0,1.51e-12,2.386e-15
2454495.83,1.134e-12,2.103e-15,1.172e-13,6.813e-16,2.37e-13,5.048999999999999e-29,1.488e-12,2.211e-15
2454497.76,1.112e-12,3.159e-15,1.132e-13,6.802e-16,2.056e-13,5.048999999999999e-29,1.431e-12,3.232e-15
2454499.75,1.07e-12,5.185e-15,1.105e-13,7.589e-16,1.811e-13,2.5239999999999998e-29,1.362e-12,5.24e-15
2454508.83,8.969e-13,8.046e-15,1.095e-13,9.578e-16,1.128e-13,1.2619999999999999e-29,1.119e-12,8.103e-15
2454513.81,8.036e-13,4.619e-15,1.114e-13,1.165e-15,9.11e-14,0.0,1.006e-12,4.763e-15
2454515.74,7.783e-13,5.837e-15,1.054e-13,1.472e-15,1.09e-13,3.7869999999999997e-29,9.927e-13,6.02e-15
2454517.75,7.433e-13,4.373e-15,1.042e-13,1.244e-15,8.549e-14,1.2619999999999999e-29,9.329e-13,4.547e-15
2454518.83,7.329e-13,2.973e-15,1.076e-13,1.027e-15,7.577e-14,1.2619999999999999e-29,9.162e-13,3.146e-15
2454519.77,7.225e-13,3.355e-15,1.024e-13,1.005e-15,6.71e-14,1.2619999999999999e-29,8.919e-13,3.502e-15
2454521.81,7.073e-13,3.016e-15,9.945e-14,9.952e-16,6.803e-14,0.0,8.748e-13,3.176e-15
2454524.73,6.722e-13,2.373e-15,1.085e-13,1.022e-15,6.222e-14,0.0,8.429e-13,2.584e-15
2454527.7,6.425e-13,3.272e-15,9.426e-14,8.425e-16,5.612e-14,1.893e-29,7.929e-13,3.379e-15
2454538.75,5.495e-13,2.244e-15,7.548e-14,9.638e-16,4.356e-14,0.0,6.686e-13,2.442e-15
2454539.75,5.418e-13,1.854e-15,8.549e-14,1.002e-15,4.013e-14,0.0,6.674e-13,2.108e-15
2454540.65,5.309e-13,3.193e-15,9.049e-14,1.417e-15,3.209e-14,0.0,6.535e-13,3.493e-15
2454542.64,5.204e-13,1.937e-15,9.509e-14,9.606e-16,3.822e-14,1.893e-29,6.537e-13,2.162e-15
2454542.78,5.165e-13,1.31e-15,9.014e-14,7.161e-16,3.63e-14,0.0,6.429e-13,1.493e-15
2454548.85,4.664e-13,1.753e-15,8.226e-14,1.028e-15,2.929e-14,1.2619999999999999e-29,5.779e-13,2.032e-15
2454549.69,4.521e-13,3.161e-15,8.497e-14,1.13e-15,2.844e-14,6.311000000000001e-30,5.655e-13,3.357e-15
2454554.83,4.131e-13,1.586e-15,8.285e-14,9.5e-16,2.389e-14,6.311000000000001e-30,5.198e-13,1.849e-15
2454560.66,3.481e-13,1.819e-15,6.06e-14,9.683e-16,2.002e-14,6.311000000000001e-30,4.288e-13,2.061e-15
2454561.8,3.324e-13,2.012e-15,6.14e-14,1.685e-15,1.966e-14,0.0,4.134e-13,2.625e-15
2454566.74,2.767e-13,3.933e-15,5.31e-14,1.172e-15,1.821e-14,0.0,3.48e-13,4.104e-15
2454569.78,2.409e-13,5.429e-15,4.976e-14,1.208e-15,1.652e-14,6.311000000000001e-30,3.071e-13,5.561e-15
2454571.64,2.262e-13,6.235e-15,4.717e-14,1.157e-15,1.682e-14,6.311000000000001e-30,2.901e-13,6.341e-15
2454580.65,1.313e-13,6.369e-15,4.281e-14,1.184e-15,1.432e-14,6.311000000000001e-30,1.884e-13,6.478e-15
2454599.63,5.955e-14,1.005e-15,2.186e-14,9.029e-16,0.0,0.0,8.141e-14,1.351e-15
2454602.58,5.621e-14,1.397e-15,1.881e-14,1.228e-15,0.0,0.0,7.502e-14,1.86e-15
